Frequency/GHz	 Amplitude rel. 2	 Phase 2	 Ref.Amplitude rel. 2	 Ref.Phase 2
0.0	0.00443805	-0.0	0.008305526	-3.14159
1.0	0.008916567	0.28293	0.01652614	-2.9296
2.0	0.009034895	0.56323	0.01627306	-2.71654
3.0	0.009222346	0.83865	0.01585685	-2.50123
4.0	0.009465799	1.10756	0.01528609	-2.28236
5.0	0.009749406	1.3691	0.01457316	-2.05832
6.0	0.01005621	1.62301	0.01373488	-1.82707
7.0	0.01036944	1.86957	0.01279333	-1.58594
8.0	0.01067342	2.10936	0.01177747	-1.33135
9.0	0.01095409	2.34316	0.01072562	-1.05852
10.0	0.0111993	2.57185	0.009689277	-0.76122
11.0	0.01139893	2.79631	0.008737976	-0.43226
12.0	0.0115449	3.01743	0.007962737	-0.06567
13.0	0.01163113	3.23604	0.007469692	0.33784
14.0	0.01165353	3.45298	0.007351818	0.7642
15.0	0.01160992	3.66904	0.007644399	1.18755
16.0	0.01149999	3.88504	0.008305104	1.58411
17.0	0.01132532	4.10179	0.009242727	1.9437
18.0	0.01108932	4.32015	0.01036001	2.26803
19.0	0.01079726	4.541	0.0115763	2.56376
20.0	0.0104563	4.76531	0.01283115	2.83794
21.0	0.01007551	4.99414	0.01408055	3.09636
22.0	0.00966594	5.22858	0.01529249	3.34343
23.0	0.009240648	5.46981	0.01644369	3.58239
24.0	0.008814641	5.71892	0.01751727	3.81563
25.0	0.008404686	5.97689	0.01850141	4.04492
26.0	0.008028805	6.24426	0.01938835	4.27159
27.0	0.00770531	6.52091	0.02017374	4.49665
28.0	0.007451228	6.80573	0.02085612	4.72087
29.0	0.007280208	7.09642	0.02143646	4.94485
30.0	0.007200297	7.38961	0.02191772	5.16903
31.0	0.007212328	7.68132	0.02230439	5.39372
32.0	0.007309615	7.96764	0.02260199	5.61915
33.0	0.007479137	8.24544	0.02281654	5.84543
34.0	0.007703717	8.5127	0.02295403	6.07259
35.0	0.007964406	8.7685	0.02301986	6.30059
36.0	0.008242433	9.01279	0.02301831	6.52931
37.0	0.008520471	9.24607	0.02295207	6.75861
38.0	0.008783309	9.46911	0.02282191	6.98828
39.0	0.009018091	9.68272	0.02262636	7.21812
40.0	0.009214329	9.88767	0.02236168	7.44793
41.0	0.009363796	10.08459	0.02202191	7.67755
42.0	0.009460412	10.27393	0.02159907	7.90688
43.0	0.009500128	10.45597	0.02108361	8.13589
44.0	0.00948087	10.63076	0.02046488	8.36469
45.0	0.009402531	10.79818	0.01973175	8.59355
46.0	0.009267036	10.95783	0.01887342	8.82295
47.0	0.009078488	11.10912	0.01788015	9.05367
48.0	0.008843418	11.25116	0.01674436	9.28694
49.0	0.008571154	11.38281	0.01546183	9.52466
50.0	0.008274301	11.5027	0.01403363	9.76987
51.0	0.007969307	11.60928	0.01246931	10.02758
52.0	0.007676986	11.70107	0.01079326	10.30652
53.0	0.00742269	11.77704	0.009058849	10.62267
54.0	0.00723562	11.83727	0.007382867	11.00596
55.0	0.007146632	11.88359	0.006024788	11.5053
56.0	0.007184213	11.92014	0.005474085	12.14419
57.0	0.007369426	11.95296	0.00616294	12.79745
58.0	0.007711887	11.98872	0.007914371	13.31588
59.0	0.008208839	12.03312	0.01029116	13.70583
60.0	0.008847592	12.08973	0.01301239	14.01781
61.0	0.009609632	12.1599	0.01593221	14.28495
62.0	0.01047442	12.24326	0.01896615	14.52498
63.0	0.01142188	12.33852	0.02205564	14.74751
64.0	0.0124336	12.44397	0.0251534	14.95803
65.0	0.01349318	12.55786	0.02821731	15.15981
66.0	0.01458617	12.67859	0.03120785	15.35494
67.0	0.01569985	12.80476	0.03408701	15.54477
68.0	0.01682295	12.93515	0.03681795	15.73023
69.0	0.01794544	13.06877	0.03936501	15.91192
70.0	0.01905843	13.20476	0.04169393	16.09029
71.0	0.020154	13.34239	0.04377218	16.2656
72.0	0.02122521	13.48107	0.04556933	16.43802
73.0	0.0222661	13.62025	0.04705753	16.60763
74.0	0.02327168	13.75948	0.04821196	16.77441
75.0	0.02423807	13.89836	0.04901128	16.93828
76.0	0.02516248	14.03653	0.04943822	17.09907
77.0	0.0260434	14.17367	0.04948012	17.2565
78.0	0.02688065	14.3095	0.04912956	17.41019
79.0	0.0276755	14.44377	0.04838512	17.55962
80.0	0.02843075	14.57624	0.0472523	17.70407
81.0	0.02915084	14.70673	0.04574478	17.84261
