Frequency/GHz	 Amplitude rel. 2	 Phase 2	 Ref.Amplitude rel. 2	 Ref.Phase 2
0.0	0.004276118	-0.0	0.008305526	-3.14159
1.0	0.008577331	0.26843	0.01652614	-2.9296
2.0	0.008650878	0.53523	0.01627306	-2.71654
3.0	0.008767874	0.79895	0.01585685	-2.50123
4.0	0.008920616	1.05847	0.01528609	-2.28236
5.0	0.009099487	1.31306	0.01457316	-2.05832
6.0	0.009293802	1.56234	0.01373488	-1.82707
7.0	0.009492575	1.80631	0.01279333	-1.58594
8.0	0.009685144	2.04521	0.01177747	-1.33135
9.0	0.009861628	2.27945	0.01072562	-1.05852
10.0	0.01001323	2.5096	0.009689277	-0.76122
11.0	0.01013244	2.73625	0.008737976	-0.43226
12.0	0.01021314	2.96005	0.007962737	-0.06567
13.0	0.01025063	3.18168	0.007469692	0.33784
14.0	0.0102417	3.4018	0.007351818	0.7642
15.0	0.01018458	3.6211	0.007644399	1.18755
16.0	0.01007896	3.84025	0.008305104	1.58411
17.0	0.009925967	4.05997	0.009242727	1.9437
18.0	0.009728139	4.28096	0.01036001	2.26803
19.0	0.009489426	4.504	0.0115763	2.56376
20.0	0.009215168	4.72987	0.01283115	2.83794
21.0	0.008912086	4.9594	0.01408055	3.09636
22.0	0.00858824	5.19343	0.01529249	3.34343
23.0	0.008252981	5.4328	0.01644369	3.58239
24.0	0.007916819	5.67828	0.01751727	3.81563
25.0	0.007591199	5.93047	0.01850141	4.04492
26.0	0.007288101	6.18969	0.01938835	4.27159
27.0	0.007019411	6.45578	0.02017374	4.49665
28.0	0.006796033	6.72796	0.02085612	4.72087
29.0	0.006626779	7.00472	0.02143646	4.94485
30.0	0.006517234	7.28385	0.02191772	5.16903
31.0	0.006468868	7.56268	0.02230439	5.39372
32.0	0.006478704	7.8384	0.02260199	5.61915
33.0	0.006539695	8.10848	0.02281654	5.84543
34.0	0.006641682	8.37097	0.02295403	6.07259
35.0	0.006772654	8.62458	0.02301986	6.30059
36.0	0.00691998	8.86871	0.02301831	6.52931
37.0	0.007071392	9.10322	0.02295207	6.75861
38.0	0.007215657	9.32832	0.02282191	6.98828
39.0	0.00734296	9.54436	0.02262636	7.21812
40.0	0.007445095	9.75174	0.02236168	7.44793
41.0	0.007515527	9.9508	0.02202191	7.67755
42.0	0.007549402	10.14178	0.02159907	7.90688
43.0	0.007543541	10.32476	0.02108361	8.13589
44.0	0.007496461	10.49962	0.02046488	8.36469
45.0	0.007408432	10.66605	0.01973175	8.59355
46.0	0.007281604	10.8235	0.01887342	8.82295
47.0	0.007120207	10.97118	0.01788015	9.05367
48.0	0.006930856	11.10805	0.01674436	9.28694
49.0	0.006722937	11.23283	0.01546183	9.52466
50.0	0.006509074	11.34412	0.01403363	9.76987
51.0	0.006305542	11.44061	0.01246931	10.02758
52.0	0.006132409	11.52146	0.01079326	10.30652
53.0	0.006013001	11.58686	0.009058849	10.62267
54.0	0.005972195	11.63871	0.007382867	11.00596
55.0	0.006033324	11.68098	0.006024788	11.5053
56.0	0.006214279	11.7194	0.005474085	12.14419
57.0	0.006524327	11.76026	0.00616294	12.79745
58.0	0.006963194	11.80893	0.007914371	13.31588
59.0	0.007522679	11.86888	0.01029116	13.70583
60.0	0.008189638	11.94149	0.01301239	14.01781
61.0	0.008948865	12.02655	0.01593221	14.28495
62.0	0.009785084	12.12291	0.01896615	14.52498
63.0	0.01068399	12.229	0.02205564	14.74751
64.0	0.01163261	12.34318	0.0251534	14.95803
65.0	0.01261934	12.46394	0.02821731	15.15981
66.0	0.01363379	12.58992	0.03120785	15.35494
67.0	0.01466664	12.71997	0.03408701	15.54477
68.0	0.01570948	12.85312	0.03681795	15.73023
69.0	0.01675473	12.98854	0.03936501	15.91192
70.0	0.01779556	13.12555	0.04169393	16.09029
71.0	0.01882588	13.26354	0.04377218	16.2656
72.0	0.01984036	13.40203	0.04556933	16.43802
73.0	0.02083445	13.54057	0.04705753	16.60763
74.0	0.02180446	13.67879	0.04821196	16.77441
75.0	0.02274764	13.81637	0.04901128	16.93828
76.0	0.02366225	13.95301	0.04943822	17.09907
77.0	0.02454763	14.08846	0.04948012	17.2565
78.0	0.02540435	14.22251	0.04912956	17.41019
79.0	0.02623421	14.35496	0.04838512	17.55962
80.0	0.02704036	14.48567	0.0472523	17.70407
