Frequency/GHz	 Amplitude rel. 2	 Phase 2	 Ref.Amplitude rel. 2	 Ref.Phase 2
0.0	0.004142262	-0.0	0.008305526	-3.14159
1.0	0.008288769	0.23554	0.01652614	-2.9296
2.0	0.008300836	0.47047	0.01627306	-2.71654
3.0	0.008318771	0.70423	0.01585685	-2.50123
4.0	0.008339476	0.93634	0.01528609	-2.28236
5.0	0.008358929	1.16641	0.01457316	-2.05832
6.0	0.008372446	1.39419	0.01373488	-1.82707
7.0	0.008374968	1.61957	0.01279333	-1.58594
8.0	0.008361341	1.84253	0.01177747	-1.33135
9.0	0.00832657	2.06319	0.01072562	-1.05852
10.0	0.008266047	2.28177	0.009689277	-0.76122
11.0	0.008175739	2.49857	0.008737976	-0.43226
12.0	0.008052339	2.71398	0.007962737	-0.06567
13.0	0.00789339	2.92848	0.007469692	0.33784
14.0	0.007697384	3.14263	0.007351818	0.7642
15.0	0.00746384	3.35707	0.007644399	1.18755
16.0	0.00719338	3.57258	0.008305104	1.58411
17.0	0.006887803	3.79007	0.009242727	1.9437
18.0	0.006550177	4.01065	0.01036001	2.26803
19.0	0.006184957	4.23568	0.0115763	2.56376
20.0	0.005798159	4.46683	0.01283115	2.83794
21.0	0.005397602	4.70614	0.01408055	3.09636
22.0	0.004993247	4.95615	0.01529249	3.34343
23.0	0.004597614	5.21981	0.01644369	3.58239
24.0	0.004226203	5.50029	0.01751727	3.81563
25.0	0.003897612	5.80038	0.01850141	4.04492
26.0	0.003632732	6.12108	0.01938835	4.27159
27.0	0.003452078	6.45981	0.02017374	4.49665
28.0	0.003370871	6.80899	0.02085612	4.72087
29.0	0.003393563	7.1571	0.02143646	4.94485
30.0	0.0035115	7.49244	0.02191772	5.16903
31.0	0.003705808	7.8071	0.02230439	5.39372
32.0	0.003953232	8.09813	0.02260199	5.61915
33.0	0.004231129	8.36624	0.02281654	5.84543
34.0	0.004520035	8.61391	0.02295403	6.07259
35.0	0.004804286	8.84404	0.02301986	6.30059
36.0	0.005071741	9.05926	0.02301831	6.52931
37.0	0.005313255	9.26167	0.02295207	6.75861
38.0	0.005522199	9.45286	0.02282191	6.98828
39.0	0.005694122	9.6339	0.02262636	7.21812
40.0	0.005826543	9.80541	0.02236168	7.44793
41.0	0.00591888	9.96767	0.02202191	7.67755
42.0	0.005972473	10.12062	0.02159907	7.90688
43.0	0.005990707	10.26392	0.02108361	8.13589
44.0	0.005979215	10.397	0.02046488	8.36469
45.0	0.005946136	10.51915	0.01973175	8.59355
46.0	0.005902383	10.62963	0.01887342	8.82295
47.0	0.005861818	10.72789	0.01788015	9.05367
48.0	0.005841163	10.81384	0.01674436	9.28694
49.0	0.005859412	10.88825	0.01546183	9.52466
50.0	0.005936535	10.95303	0.01403363	9.76987
51.0	0.006091447	11.01133	0.01246931	10.02758
52.0	0.006339641	11.06726	0.01079326	10.30652
53.0	0.006691243	11.12518	0.009058849	10.62267
54.0	0.007150187	11.18889	0.007382867	11.00596
55.0	0.007714737	11.26107	0.006024788	11.5053
56.0	0.008378907	11.3431	0.005474085	12.14419
57.0	0.009134116	11.43524	0.00616294	12.79745
58.0	0.009970573	11.537	0.007914371	13.31588
59.0	0.01087821	11.64743	0.01029116	13.70583
60.0	0.01184719	11.76544	0.01301239	14.01781
61.0	0.01286815	11.88988	0.01593221	14.28495
62.0	0.01393222	12.01971	0.01896615	14.52498
63.0	0.01503104	12.15396	0.02205564	14.74751
64.0	0.01615663	12.29179	0.0251534	14.95803
65.0	0.01730142	12.43248	0.02821731	15.15981
66.0	0.01845809	12.57539	0.03120785	15.35494
67.0	0.01961964	12.71998	0.03408701	15.54477
68.0	0.02077931	12.86579	0.03681795	15.73023
69.0	0.02193061	13.0124	0.03936501	15.91192
70.0	0.02306738	13.15944	0.04169393	16.09029
71.0	0.02418378	13.30661	0.04377218	16.2656
72.0	0.02527438	13.45362	0.04556933	16.43802
73.0	0.02633425	13.60022	0.04705753	16.60763
74.0	0.02735902	13.74616	0.04821196	16.77441
75.0	0.02834497	13.89124	0.04901128	16.93828
76.0	0.02928916	14.03526	0.04943822	17.09907
77.0	0.0301895	14.17804	0.04948012	17.2565
78.0	0.03104489	14.3194	0.04912956	17.41019
