Frequency/GHz	 Amplitude rel. 2	 Phase 2	 Ref.Amplitude rel. 2	 Ref.Phase 2
120.0	0.08805562	19.62848	0.08681482	21.00937
121.0	0.08982129	19.76598	0.0863219	21.08179
122.0	0.09153346	19.90339	0.08621313	21.14947
123.0	0.09319093	20.04063	0.08657935	21.21358
124.0	0.09479333	20.17761	0.08748914	21.27561
125.0	0.09634115	20.31428	0.08898214	21.33722
126.0	0.0978357	20.45055	0.09106547	21.40006
127.0	0.09927912	20.58637	0.09371389	21.46558
128.0	0.1006743	20.72169	0.09687356	21.53491
129.0	0.102025	20.85645	0.1004683	21.60881
130.0	0.1033356	20.99063	0.1044065	21.68765
131.0	0.1046111	21.12419	0.1085884	21.77146
132.0	0.105857	21.25711	0.1129116	21.86005
133.0	0.1070796	21.38937	0.1172754	21.95301
134.0	0.1082852	21.52098	0.1215845	22.04987
135.0	0.1094807	21.65195	0.1257507	22.15007
136.0	0.110673	21.78227	0.1296946	22.25303
137.0	0.1118691	21.91197	0.1333466	22.35817
138.0	0.1130761	22.0411	0.1366478	22.46492
139.0	0.1143007	22.16967	0.1395502	22.57273
140.0	0.1155494	22.29774	0.1420173	22.68106
141.0	0.1168283	22.42536	0.1440248	22.7894
142.0	0.1181429	22.55258	0.1455609	22.89724
143.0	0.119498	22.67947	0.1466266	23.00408
144.0	0.120898	22.80608	0.1472362	23.10944
145.0	0.1223461	22.93249	0.1474181	23.21285
146.0	0.123845	23.05875	0.1472144	23.31385
147.0	0.1253963	23.18492	0.1466817	23.41201
148.0	0.127001	23.31108	0.1458903	23.50693
149.0	0.1286591	23.43727	0.144924	23.59827
150.0	0.1303698	23.56355	0.1438787	23.68577
151.0	0.1321315	23.68997	0.1428601	23.76929
152.0	0.1339419	23.81656	0.1419805	23.84883
153.0	0.1357983	23.94337	0.1413545	23.92457
154.0	0.1376973	24.07043	0.1410929	23.9969
155.0	0.1396351	24.19774	0.1412966	24.06643
156.0	0.1416076	24.32534	0.1420498	24.13393
157.0	0.1436104	24.45323	0.1434133	24.20035
158.0	0.1456392	24.58142	0.1454203	24.26669
159.0	0.1476893	24.70989	0.148074	24.33394
160.0	0.1497565	24.83865	0.1513477	24.40299
161.0	0.1518364	24.96768	0.1551882	24.47456
162.0	0.153925	25.09697	0.15952	24.5492
163.0	0.1560186	25.22649	0.1642515	24.62721
164.0	0.1581136	25.35622	0.1692806	24.70872
165.0	0.1602072	25.48615	0.1745005	24.7937
166.0	0.1622966	25.61624	0.179804	24.88196
167.0	0.1643798	25.74647	0.1850878	24.97324
168.0	0.1664549	25.87682	0.1902548	25.0672
169.0	0.1685207	26.00724	0.195217	25.16347
170.0	0.1705765	26.13772	0.1998964	25.26165
171.0	0.1726217	26.26824	0.2042264	25.36132
172.0	0.1746566	26.39876	0.2081529	25.46209
173.0	0.1766814	26.52927	0.2116345	25.56356
174.0	0.178697	26.65974	0.214643	25.66534
175.0	0.1807044	26.79016	0.2171641	25.76705
176.0	0.182705	26.9205	0.2191969	25.86835
177.0	0.1847002	27.05077	0.2207545	25.96887
178.0	0.1866916	27.18093	0.2218636	26.0683
179.0	0.1886811	27.311	0.2225641	26.16635
180.0	0.1906704	27.44095	0.2229087	26.26274
181.0	0.1926611	27.57079	0.2229622	26.35724
182.0	0.1946549	27.70051	0.2227998	26.44965
183.0	0.1966532	27.83011	0.2225055	26.53984
184.0	0.1986574	27.95961	0.2221701	26.62775
185.0	0.2006684	28.08899	0.2218882	26.71337
186.0	0.2026871	28.21827	0.2217547	26.7968
187.0	0.2047138	28.34745	0.2218612	26.8782
188.0	0.2067488	28.47655	0.2222921	26.95785
189.0	0.2087918	28.60555	0.2231199	27.03609
190.0	0.2108425	28.73449	0.2244021	27.11333
191.0	0.2129	28.86335	0.2261777	27.19002
192.0	0.2149634	28.99215	0.2284653	27.26665
193.0	0.2170313	29.1209	0.2312622	27.34366
194.0	0.2191024	29.2496	0.2345454	27.42149
195.0	0.2211751	29.37825	0.2382725	27.50049
196.0	0.2232477	29.50686	0.2423853	27.58095
197.0	0.2253186	29.63543	0.2468125	27.66306
198.0	0.2273864	29.76395	0.2514739	27.74694
199.0	0.2294495	29.89244	0.2562841	27.83262
200.0	0.2315069	30.02088	0.2611559	27.92005
201.0	0.2335577	30.14927	0.2660037	28.00914
202.0	0.2356013	30.27761	0.2707463	28.09973
203.0	0.2376376	30.40589	0.2753092	28.19162
204.0	0.2396672	30.53411	0.2796264	28.28461
205.0	0.2416908	30.66226	0.2836422	28.37844
206.0	0.24371	30.79034	0.2873122	28.47287
207.0	0.2457268	30.91834	0.2906041	28.56765
208.0	0.2477438	31.04625	0.2934985	28.66251
209.0	0.2497642	31.17408	0.2959891	28.7572
210.0	0.2517918	31.30181	0.2980827	28.85149
211.0	0.2538307	31.42945	0.2997995	28.94514
212.0	0.2558856	31.557	0.3011721	29.03793
213.0	0.2579615	31.68446	0.3022452	29.1297
214.0	0.2600638	31.81183	0.3030746	29.22026
215.0	0.2621978	31.93913	0.3037256	29.3095
216.0	0.2643691	32.06636	0.3042716	29.39732
217.0	0.2665832	32.19353	0.3047919	29.48368
218.0	0.2688453	32.32066	0.3053691	29.56859
219.0	0.2711603	32.44777	0.3060865	29.65209
220.0	0.2735329	32.57487	0.307025	29.73429
221.0	0.2759669	32.70198	0.3082597	29.81537
222.0	0.2784657	32.82912	0.3098572	29.89551
223.0	0.2810317	32.95632	0.3118723	29.97497
224.0	0.2836664	33.08359	0.3143459	30.05402
225.0	0.2863706	33.21096	0.317303	30.13296
226.0	0.2891439	33.33846	0.3207518	30.21206
227.0	0.2919849	33.46609	0.3246837	30.29161
228.0	0.294891	33.59389	0.3290735	30.37185
229.0	0.2978588	33.72187	0.3338817	30.45301
230.0	0.3008836	33.85004	0.3390558	30.53524
231.0	0.30396	33.97842	0.3445332	30.61867
232.0	0.3070814	34.10703	0.350244	30.70338
233.0	0.3102407	34.23585	0.3561137	30.78938
234.0	0.3134299	34.36491	0.3620658	30.87668
235.0	0.3166405	34.49421	0.3680246	30.9652
236.0	0.3198634	34.62373	0.3739172	31.05488
237.0	0.3230894	34.75349	0.3796755	31.1456
238.0	0.326309	34.88346	0.385238	31.23724
239.0	0.3295128	35.01364	0.390551	31.32965
240.0	0.3326915	35.14402	0.3955694	31.42268
241.0	0.3358359	35.27458	0.4002578	31.51619
242.0	0.3389375	35.40531	0.4045907	31.61001
243.0	0.3419882	35.53618	0.4085528	31.704
244.0	0.3449805	35.66718	0.4121391	31.798
245.0	0.3479079	35.79829	0.4153543	31.89188
246.0	0.3507645	35.92949	0.4182129	31.98551
247.0	0.3535456	36.06075	0.420738	32.07878
248.0	0.3562471	36.19205	0.4229609	32.17157
249.0	0.3588663	36.32337	0.4249199	32.26382
250.0	0.3614014	36.4547	0.426659	32.35545
251.0	0.3638515	36.58601	0.4282265	32.44641
252.0	0.3662168	36.71729	0.4296738	32.53669
253.0	0.3684987	36.84852	0.4310536	32.62627
254.0	0.370699	36.97969	0.4324178	32.71518
255.0	0.3728207	37.11077	0.4338167	32.80345
256.0	0.3748674	37.24178	0.4352964	32.89114
257.0	0.3768432	37.37269	0.4368982	32.97833
258.0	0.3787528	37.5035	0.4386563	33.0651
259.0	0.3806013	37.6342	0.4405974	33.15156
260.0	0.3823937	37.76481	0.4427398	33.2378
261.0	0.3841355	37.89531	0.4450926	33.32395
262.0	0.3858318	38.02571	0.4476559	33.41011
263.0	0.3874876	38.15602	0.4504208	33.49638
264.0	0.3891076	38.28624	0.4533703	33.58286
265.0	0.390696	38.41638	0.45648	33.66961
266.0	0.3922564	38.54645	0.4597192	33.75672
267.0	0.393792	38.67646	0.4630523	33.84422
268.0	0.3953049	38.80641	0.4664401	33.93215
269.0	0.396797	38.93633	0.4698415	34.02052
270.0	0.3982689	39.06621	0.4732148	34.10933
271.0	0.3997208	39.19607	0.4765192	34.19856
272.0	0.4011521	39.32592	0.4797157	34.28817
273.0	0.4025614	39.45576	0.4827691	34.37811
274.0	0.4039468	39.58559	0.4856482	34.46834
275.0	0.4053057	39.71543	0.4883269	34.55879
276.0	0.4066355	39.84527	0.4907848	34.64939
277.0	0.4079327	39.97511	0.4930078	34.74007
278.0	0.409194	40.10494	0.4949881	34.83074
279.0	0.4104161	40.23477	0.4967243	34.92134
280.0	0.4115954	40.36459	0.4982214	35.0118
281.0	0.4127289	40.49439	0.4994903	35.10204
282.0	0.4138137	40.62415	0.5005477	35.19201
283.0	0.4148476	40.75386	0.5014149	35.28164
284.0	0.4158288	40.88352	0.5021179	35.3709
285.0	0.4167562	41.01309	0.5026856	35.45975
286.0	0.4176296	41.14258	0.5031499	35.54815
