Frequency/GHz	 Amplitude rel. 2	 Phase 2	 Ref.Amplitude rel. 2	 Ref.Phase 2
0.0	0.004157781	-0.0	0.008305526	-3.14159
1.0	0.008347968	0.27886	0.01652614	-2.9296
2.0	0.008442843	0.55552	0.01627306	-2.71654
3.0	0.008593484	0.82808	0.01585685	-2.50123
4.0	0.008789722	1.09513	0.01528609	-2.28236
5.0	0.009019107	1.35581	0.01457316	-2.05832
6.0	0.009268112	1.60983	0.01373488	-1.82707
7.0	0.009523153	1.85733	0.01279333	-1.58594
8.0	0.009771336	2.09873	0.01177747	-1.33135
9.0	0.01000096	2.33468	0.01072562	-1.05852
10.0	0.01020179	2.56591	0.009689277	-0.76122
11.0	0.01036524	2.7932	0.008737976	-0.43226
12.0	0.01048438	3.01734	0.007962737	-0.06567
13.0	0.01055398	3.23912	0.007469692	0.33784
14.0	0.0105705	3.45931	0.007351818	0.7642
15.0	0.01053203	3.67865	0.007644399	1.18755
16.0	0.01043828	3.89792	0.008305104	1.58411
17.0	0.01029058	4.11787	0.009242727	1.9437
18.0	0.01009182	4.3393	0.01036001	2.26803
19.0	0.009846486	4.56304	0.0115763	2.56376
20.0	0.009560632	4.78995	0.01283115	2.83794
21.0	0.0092419	5.02096	0.01408055	3.09636
22.0	0.008899506	5.25702	0.01529249	3.34343
23.0	0.008544208	5.49908	0.01644369	3.58239
24.0	0.008188196	5.74801	0.01751727	3.81563
25.0	0.007844855	6.00454	0.01850141	4.04492
26.0	0.007528302	6.269	0.01938835	4.27159
27.0	0.00725261	6.5412	0.02017374	4.49665
28.0	0.007030672	6.82018	0.02085612	4.72087
29.0	0.006872763	7.10409	0.02143646	4.94485
30.0	0.006785067	7.39029	0.02191772	5.16903
31.0	0.006768602	7.67567	0.02230439	5.39372
32.0	0.006818929	7.95706	0.02260199	5.61915
33.0	0.006926794	8.23179	0.02281654	5.84543
34.0	0.007079491	8.49793	0.02295403	6.07259
35.0	0.007262469	8.75442	0.02301986	6.30059
36.0	0.007460793	9.00088	0.02301831	6.52931
37.0	0.007660211	9.23747	0.02295207	6.75861
38.0	0.007847812	9.46467	0.02282191	6.98828
39.0	0.008012355	9.68304	0.02262636	7.21812
40.0	0.008144381	9.89318	0.02236168	7.44793
41.0	0.008236207	10.09558	0.02202191	7.67755
42.0	0.008281868	10.29063	0.02159907	7.90688
43.0	0.008277054	10.47853	0.02108361	8.13589
44.0	0.008219075	10.65931	0.02046488	8.36469
45.0	0.008106856	10.83276	0.01973175	8.59355
46.0	0.007941005	10.99845	0.01887342	8.82295
47.0	0.00772396	11.15564	0.01788015	9.05367
48.0	0.007460245	11.30325	0.01674436	9.28694
49.0	0.00715689	11.43979	0.01546183	9.52466
50.0	0.006824047	11.56329	0.01403363	9.76987
51.0	0.006475861	11.67132	0.01246931	10.02758
52.0	0.006131547	11.7611	0.01079326	10.30652
53.0	0.005816472	11.82993	0.009058849	10.62267
54.0	0.005562549	11.87617	0.007382867	11.00596
55.0	0.005406625	11.90085	0.006024788	11.5053
56.0	0.005385366	11.90927	0.005474085	12.14419
57.0	0.005526867	11.91114	0.00616294	12.79745
58.0	0.005842947	11.91797	0.007914371	13.31588
59.0	0.006327432	11.93911	0.01029116	13.70583
60.0	0.006961217	11.97941	0.01301239	14.01781
61.0	0.007719713	12.03952	0.01593221	14.28495
62.0	0.008578421	12.11754	0.01896615	14.52498
63.0	0.009515557	12.2106	0.02205564	14.74751
64.0	0.01051266	12.31576	0.0251534	14.95803
65.0	0.0115543	12.4304	0.02821731	15.15981
66.0	0.01262746	12.55237	0.03120785	15.35494
67.0	0.01372106	12.67989	0.03408701	15.54477
68.0	0.01482553	12.81156	0.03681795	15.73023
69.0	0.01593248	12.94626	0.03936501	15.91192
70.0	0.01703459	13.08308	0.04169393	16.09029
71.0	0.01812545	13.22128	0.04377218	16.2656
72.0	0.01919954	13.36025	0.04556933	16.43802
73.0	0.02025222	13.49947	0.04705753	16.60763
74.0	0.0212798	13.63852	0.04821196	16.77441
75.0	0.02227956	13.77704	0.04901128	16.93828
76.0	0.02324984	13.9147	0.04943822	17.09907
77.0	0.02419011	14.05125	0.04948012	17.2565
78.0	0.02510104	14.18644	0.04912956	17.41019
79.0	0.02598458	14.32009	0.04838512	17.55962
80.0	0.02684401	14.45204	0.0472523	17.70407
81.0	0.02768395	14.58216	0.04574478	17.84261
82.0	0.02851035	14.71039	0.04388607	17.97394
83.0	0.02933047	14.83668	0.041712	18.09637
84.0	0.03015272	14.96104	0.0392743	18.20759
85.0	0.03098657	15.08353	0.03664607	18.3045
86.0	0.03184226	15.20427	0.0339298	18.3831
87.0	0.03273058	15.32341	0.03126838	18.43844
88.0	0.03366249	15.44116	0.02885751	18.46532
89.0	0.03464878	15.55779	0.02695154	18.46024
90.0	0.03569968	15.67359	0.0258431	18.42538
91.0	0.03682449	15.78888	0.0257938	18.37241
92.0	0.03803118	15.90399	0.02693275	18.32082
93.0	0.03932617	16.01926	0.02920335	18.28902
94.0	0.04071403	16.13502	0.03241055	18.28654
95.0	0.04219743	16.25156	0.03631353	18.31397
96.0	0.04377701	16.36914	0.04068934	18.36716
97.0	0.04545148	16.48798	0.04535417	18.44079
98.0	0.04721772	16.60826	0.05016164	18.53001
99.0	0.04907095	16.7301	0.05499464	18.63093
100.0	0.0510049	16.85358	0.05975761	18.74053
101.0	0.05301212	16.97874	0.0643709	18.85653
102.0	0.05508414	17.10559	0.06876701	18.97716
103.0	0.05721174	17.23408	0.07288841	19.10107
104.0	0.05938517	17.36417	0.07668615	19.22716
105.0	0.06159434	17.49578	0.08011925	19.35453
106.0	0.06382902	17.62882	0.08315451	19.48244
107.0	0.06607901	17.76318	0.08576654	19.61022
108.0	0.06833422	17.89874	0.08793808	19.73728
109.0	0.0705849	18.03539	0.08966042	19.86304
110.0	0.07282163	18.173	0.09093394	19.98696
111.0	0.0750355	18.31146	0.09176875	20.10851
112.0	0.07721814	18.45064	0.09218537	20.22715
113.0	0.0793618	18.59042	0.09221544	20.34231
114.0	0.08145942	18.73069	0.09190243	20.45346
115.0	0.08350463	18.87132	0.09130225	20.56003
116.0	0.08549186	19.01221	0.09048354	20.6615
117.0	0.08741631	19.15325	0.08952767	20.75742
118.0	0.08927402	19.29432	0.0885278	20.84744
119.0	0.09106188	19.43535	0.08758702	20.93139
120.0	0.09277766	19.57621	0.08681482	21.00937
121.0	0.09442	19.71684	0.0863219	21.08179
122.0	0.09598843	19.85713	0.08621313	21.14947
123.0	0.09748341	19.99701	0.08657935	21.21358
124.0	0.09890628	20.13641	0.08748914	21.27561
125.0	0.1002593	20.27524	0.08898214	21.33722
126.0	0.1015455	20.41345	0.09106547	21.40006
127.0	0.1027689	20.55098	0.09371389	21.46558
128.0	0.1039343	20.68778	0.09687356	21.53491
129.0	0.1050473	20.8238	0.1004683	21.60881
