Frequency/GHz	 Amplitude rel. 2	 Phase 2	 Ref.Amplitude rel. 2	 Ref.Phase 2
0.0	0.004164766	-0.0	0.008305526	-3.14159
1.0	0.008344694	0.25104	0.01652614	-2.9296
2.0	0.008388953	0.50094	0.01627306	-2.71654
3.0	0.008458746	0.74866	0.01585685	-2.50123
4.0	0.008548512	0.99334	0.01528609	-2.28236
5.0	0.008651167	1.2344	0.01457316	-2.05832
6.0	0.008758657	1.47148	0.01373488	-1.82707
7.0	0.008862487	1.70448	0.01279333	-1.58594
8.0	0.008954205	1.93351	0.01177747	-1.33135
9.0	0.009025782	2.15883	0.01072562	-1.05852
10.0	0.009069916	2.38084	0.009689277	-0.76122
11.0	0.009080244	2.60002	0.008737976	-0.43226
12.0	0.009051503	2.81694	0.007962737	-0.06567
13.0	0.008979632	3.03222	0.007469692	0.33784
14.0	0.00886185	3.24654	0.007351818	0.7642
15.0	0.00869672	3.46063	0.007644399	1.18755
16.0	0.008484199	3.67531	0.008305104	1.58411
17.0	0.008225704	3.89151	0.009242727	1.9437
18.0	0.007924196	4.11027	0.01036001	2.26803
19.0	0.007584289	4.33284	0.0115763	2.56376
20.0	0.007212421	4.56066	0.01283115	2.83794
21.0	0.006817077	4.79545	0.01408055	3.09636
22.0	0.006409093	5.0392	0.01529249	3.34343
23.0	0.006002	5.29417	0.01644369	3.58239
24.0	0.005612347	5.56267	0.01751727	3.81563
25.0	0.005259734	5.84666	0.01850141	4.04492
26.0	0.004966129	6.14696	0.01938835	4.27159
27.0	0.004753808	6.46214	0.02017374	4.49665
28.0	0.004641563	6.7876	0.02085612	4.72087
29.0	0.00463997	7.11578	0.02143646	4.94485
30.0	0.004748034	7.43791	0.02191772	5.16903
31.0	0.00495344	7.74659	0.02230439	5.39372
32.0	0.005236265	8.03744	0.02260199	5.61915
33.0	0.00557375	8.30916	0.02281654	5.84543
34.0	0.005943937	8.56254	0.02295403	6.07259
35.0	0.006327546	8.79939	0.02301986	6.30059
36.0	0.006708538	9.02179	0.02301831	6.52931
37.0	0.007074006	9.23165	0.02295207	6.75861
38.0	0.007413846	9.43058	0.02282191	6.98828
39.0	0.007720414	9.61984	0.02262636	7.21812
40.0	0.007988251	9.80035	0.02236168	7.44793
41.0	0.008213914	9.97274	0.02202191	7.67755
42.0	0.008395875	10.13738	0.02159907	7.90688
43.0	0.008534504	10.29444	0.02108361	8.13589
44.0	0.008632108	10.44388	0.02046488	8.36469
45.0	0.008693019	10.58554	0.01973175	8.59355
46.0	0.008723711	10.71915	0.01887342	8.82295
47.0	0.008732913	10.84441	0.01788015	9.05367
48.0	0.008731687	10.96105	0.01674436	9.28694
49.0	0.008733389	11.06894	0.01546183	9.52466
50.0	0.008753429	11.16824	0.01403363	9.76987
51.0	0.008808723	11.25954	0.01246931	10.02758
52.0	0.008916765	11.34394	0.01079326	10.30652
53.0	0.009094345	11.42315	0.009058849	10.62267
54.0	0.009356058	11.49935	0.007382867	11.00596
55.0	0.009712938	11.57496	0.006024788	11.5053
56.0	0.01017154	11.65239	0.005474085	12.14419
57.0	0.01073369	11.73368	0.00616294	12.79745
58.0	0.01139692	11.82033	0.007914371	13.31588
59.0	0.01215532	11.91324	0.01029116	13.70583
60.0	0.01300057	12.01274	0.01301239	14.01781
61.0	0.01392287	12.11875	0.01593221	14.28495
62.0	0.01491169	12.23088	0.01896615	14.52498
63.0	0.0159563	12.34858	0.02205564	14.74751
64.0	0.01704608	12.47119	0.0251534	14.95803
65.0	0.01817069	12.59807	0.02821731	15.15981
66.0	0.0193202	12.72857	0.03120785	15.35494
67.0	0.02048511	12.86209	0.03408701	15.54477
68.0	0.02165638	12.99809	0.03681795	15.73023
69.0	0.02282544	13.13607	0.03936501	15.91192
70.0	0.02398421	13.27557	0.04169393	16.09029
71.0	0.02512513	13.41618	0.04377218	16.2656
72.0	0.0262412	13.55755	0.04556933	16.43802
73.0	0.02732602	13.69934	0.04705753	16.60763
74.0	0.02837387	13.84124	0.04821196	16.77441
75.0	0.02937976	13.98298	0.04901128	16.93828
76.0	0.03033955	14.1243	0.04943822	17.09907
77.0	0.03125	14.26496	0.04948012	17.2565
78.0	0.0321089	14.40473	0.04912956	17.41019
79.0	0.03291514	14.54341	0.04838512	17.55962
80.0	0.03366882	14.6808	0.0472523	17.70407
81.0	0.03437134	14.81672	0.04574478	17.84261
82.0	0.03502548	14.951	0.04388607	17.97394
83.0	0.03563545	15.0835	0.041712	18.09637
84.0	0.03620694	15.21408	0.0392743	18.20759
85.0	0.03674714	15.34263	0.03664607	18.3045
86.0	0.03726469	15.46909	0.0339298	18.3831
87.0	0.0377696	15.59341	0.03126838	18.43844
88.0	0.03827314	15.71558	0.02885751	18.46532
89.0	0.03878759	15.83566	0.02695154	18.46024
90.0	0.03932602	15.95374	0.0258431	18.42538
91.0	0.03990192	16.06997	0.0257938	18.37241
92.0	0.04052879	16.18456	0.02693275	18.32082
93.0	0.04121976	16.29777	0.02920335	18.28902
94.0	0.04198703	16.40991	0.03241055	18.28654
95.0	0.04284152	16.52131	0.03631353	18.31397
96.0	0.0437924	16.63235	0.04068934	18.36716
97.0	0.04484677	16.7434	0.04535417	18.44079
98.0	0.04600944	16.85482	0.05016164	18.53001
99.0	0.04728279	16.96695	0.05499464	18.63093
100.0	0.04866679	17.08011	0.05975761	18.74053
101.0	0.05015909	17.19454	0.0643709	18.85653
102.0	0.05175522	17.31047	0.06876701	18.97716
103.0	0.05344886	17.42803	0.07288841	19.10107
104.0	0.05523214	17.54733	0.07668615	19.22716
105.0	0.05709594	17.66843	0.08011925	19.35453
106.0	0.05903022	17.79131	0.08315451	19.48244
107.0	0.06102433	17.91597	0.08576654	19.61022
108.0	0.06306725	18.04232	0.08793808	19.73728
109.0	0.06514782	18.17028	0.08966042	19.86304
110.0	0.067255	18.29975	0.09093394	19.98696
111.0	0.06937796	18.43061	0.09176875	20.10851
112.0	0.07150631	18.56273	0.09218537	20.22715
113.0	0.07363015	18.69597	0.09221544	20.34231
114.0	0.07574019	18.83021	0.09190243	20.45346
115.0	0.07782784	18.9653	0.09130225	20.56003
116.0	0.07988525	19.10111	0.09048354	20.6615
117.0	0.08190539	19.23751	0.08952767	20.75742
118.0	0.08388206	19.37437	0.0885278	20.84744
119.0	0.08580992	19.51157	0.08758702	20.93139
120.0	0.08768457	19.64899	0.08681482	21.00937
121.0	0.08950248	19.78653	0.0863219	21.08179
122.0	0.09126108	19.92407	0.08621313	21.14947
123.0	0.09295874	20.06151	0.08657935	21.21358
124.0	0.09459476	20.19876	0.08748914	21.27561
125.0	0.09616937	20.33574	0.08898214	21.33722
126.0	0.09768371	20.47237	0.09106547	21.40006
127.0	0.09913986	20.60858	0.09371389	21.46558
128.0	0.1005407	20.74429	0.09687356	21.53491
129.0	0.1018901	20.87946	0.1004683	21.60881
130.0	0.1031924	21.01404	0.1044065	21.68765
131.0	0.1044531	21.14799	0.1085884	21.77146
132.0	0.1056779	21.28128	0.1129116	21.86005
133.0	0.1068734	21.41388	0.1172754	21.95301
134.0	0.1080465	21.54579	0.1215845	22.04987
135.0	0.1092046	21.67701	0.1257507	22.15007
136.0	0.1103551	21.80755	0.1296946	22.25303
137.0	0.1115058	21.93742	0.1333466	22.35817
138.0	0.1126643	22.06665	0.1366478	22.46492
