freq(GHz)	real_ε	real_ε_SG_filtered	real_ε_SG_filtered+RA	loss_T	loss_T_SG_filtered	loss_T_SG_filtered+RA
75.0	2.789725123	2.797554098972827	2.7975206409603546	0.010464716	0.006159665086356066	0.006158797197431581
75.05	2.777744197	2.797608368368554	2.7975762770889867	0.006410679	0.006161104650714067	0.006160199391661366
75.1	2.791634292	2.7976614783340277	2.7976307059718666	0.004599428	0.0061624892256809125	0.006161560299644247
75.15	2.784766092	2.7977136221180974	2.797684103808521	0.004866234	0.006163806984516581	0.00616286689854636
75.2	2.786318361	2.797764998921907	2.7977366545956657	-0.000140147	0.006165047694314278	0.006164107778809767
75.25	2.805296224	2.79781581100566	2.797788547408356	-0.002051854	0.0061662026218457285	0.00616527306714687
75.3	2.815312414	2.797866260941248	2.7978399737690776	0.002231335	0.006167264437509093	0.00616635434492937
75.35	2.81646685	2.7979165490343267	2.7978911251070975	0.005492213	0.00616822711981906	0.006167344563332985
75.4	2.817735522	2.7979668709350043	2.7979421903029094	0.008511264	0.00616908586273799	0.006168237956334422
75.45	2.814475089	2.7980174154519073	2.797993353305154	0.011944043	0.006169836987974926	0.006169029952364721
75.5	2.802629137	2.7980683625800413	2.7980447910858177	0.015763132	0.006170477864181063	0.006169717097247056
75.55	2.78444184	2.798119881748756	2.7980966717964297	0.013954131	0.006171006834750222	0.006170296983984823
75.6	2.783436971	2.7981721302921434	2.798149153130555	0.011887965	0.006171423155695276	0.006170768190921736
75.65	2.771517784	2.7982252521405475	2.7982023808942884	0.006762362	0.006171726944819571	0.006171130229561517
75.7	2.779984925	2.7982793767285448	2.7982564877831706	0.003835728	0.006171919143137629	0.006171383503084842
75.75	2.783917478	2.798334618111777	2.7983115923609967	0.002864343	0.006172001489223396	0.0061715292763386805
75.8	2.788520496	2.798391074282499	2.798367798233441	0.002301997	0.006171976506878228	0.006171569657801139
75.85	2.78566829	2.7984488266716636	2.7984251934073052	0.002038532	0.006171847506216869	0.006171507593747027
75.9	2.797229707	2.798507939823829	2.798483849824534	-0.001186693	0.006171618597971245	0.00617134687455939
75.95	2.802494399	2.7985684612301633	2.798543823059025	-0.00163529	0.0061712947205133095	0.006171092152854751
76.0	2.815056569	2.7986304213044857	2.7986051521636366	-0.000388106	0.006170881678805647	0.006170748972819654
76.05	2.8187505	2.7986938334873974	2.7986678596547323	0.004452044	0.006170386194209096	0.006170323809898707
76.1	2.815804624	2.798758694464429	2.798731951622097	0.006871668	0.006169815963818904	0.006169824119735404
76.15	2.805664982	2.798824984485458	2.7987974179530837	0.010771928	0.006169179727773193	0.006169258395052266
76.2	2.801601422	2.7988926677746617	2.7988642326614483	0.007740409	0.006168487342786654	0.006168636228972331
76.25	2.801658335	2.798961693022739	2.798932354313392	0.006277526	0.006167749860013932	0.006167968383134787
76.3	2.805906674	2.7990319939561425	2.7990017265348697	0.007029249	0.006166979605245183	0.006167266858401238
76.35	2.806594756	2.7991034899815324	2.79907227858953	0.00781435	0.006166190259385488	0.006166544965973018
76.4	2.807897816	2.7991760869074738	2.799143926017348	0.00974344	0.006165396937171891	0.006165817396607339
76.45	2.800768885	2.7992496777496028	2.7992165713246724	0.012760278	0.00616461626213788	0.0061651002855193935
76.5	2.78851317	2.7993241435192635	2.7992901047169596	0.011663265	0.006163866431470156	0.0061644112704893105
76.55	2.785061793	2.799399354033997	2.7993644048659343	0.008535431	0.0061631672699268975	0.006163769540656431
76.6	2.78493615	2.799475168742614	2.7994393397031065	0.006266145	0.006162540270162112	0.006163195873477867
76.65	2.784940825	2.799551437558699	2.799514767231587	0.00331374	0.006162008616893739	0.006162712657352217
76.7	2.792597462	2.7996280016975352	2.7995905363478	-0.001867746	0.0061615971924858185	0.006162343897461209
76.75	2.811156698	2.7997046945124846	2.799666487664056	0.00069818	0.006161332561685137	0.006162115202460244
76.8	2.816144601	2.799781342327865	2.799742454332934	0.0049452	0.006161242933459552	0.006162053750198973
76.85	2.813899448	2.7998577652663323	2.7998182628707164	0.007418317	0.006161358098128983	0.006162188230689684
76.9	2.812061245	2.799933778069609	2.7998937339778918	0.009849783	0.006161709338261821	0.006162548764801933
76.95	2.804927311	2.800009190912156	2.7999686833555626	0.013240484	0.006162329312128231	0.006163166797457123
77.0	2.788223792	2.8000838102080494	2.8000429225171817	0.011500782	0.006163251908857438	0.00616407496442417
77.05	2.786746077	2.8001574394118176	2.8001162595956304	0.007596801	0.00616451207483401	0.006165306932173728
77.1	2.791504497	2.800229879814371	2.800188500146026	0.006068975	0.0061661456112846	0.006166897210629786
77.15	2.796144179	2.800300931335404	2.8002594479449896	0.005705184	0.006168188943445637	0.006168880939059121
77.2	2.795073723	2.8003703933137314	2.8003289057872602	0.00802526	0.0061706788621562975	0.0061712936457553064
77.25	2.790965175	2.8004380652969676	2.8003966762806174	0.007384773	0.006173652239180706	0.006174170982598791
77.3	2.788063359	2.8005037478318178	2.800462562640067	0.005694105	0.006177145718020136	0.0061775484360009235
77.35	2.787136337	2.8005672432559745	2.80052636948212	0.004202494	0.0061811953824223295	0.006181461016161274
77.4	2.786395608	2.8006283564923153	2.80058790361984	0.001369108	0.006185836405223677	0.006185942926977473
77.45	2.789450058	2.8006868958457245	2.8006469748591347	-0.002685004	0.006191102680563073	0.006191027219339182
77.5	2.816360444	2.8007426738025454	2.8007033967965933	-0.004165878	0.006197026442878773	0.006196745430907096
77.55	2.820468655	2.8007955078323516	2.800756987618994	0.002050289	0.006203637876437511	0.006203127215819792
77.6	2.817501569	2.800845221191567	2.8008075709040927	0.005400481	0.00621096471944659	0.006210199968064956
77.65	2.815638489	2.8008916437283498	2.8008549764219053	0.005803395	0.00621903186706273	0.006217988442511274
77.7	2.8174578	2.80093461268832	2.800899040935256	0.007533203	0.006227860977835428	0.006226514377813458
77.75	2.811641669	2.8009739735209735	2.800939608997926	0.008725305	0.00623747008830767	0.006235796125572102
77.8	2.809163223	2.801009580682807	2.8009765337482664	0.009342113	0.006247873240471784	0.006245848290249104
77.85	2.810375457	2.8010412984341024	2.801009677695641	0.00966924	0.006259080126885499	0.006256681384405381
77.9	2.808745343	2.801069001625819	2.801038913496539	0.013566775	0.006271095758245521	0.0062683015038373525
