Frequency/GHz, Amplitude rel., Phase
     0.0,  4.458419E-4,    -0.00000
    10.0,  2.039477E-3,     0.60951
    20.0,  1.640577E-3,     2.27432
    30.0,  2.909090E-3,     0.28107
    40.0,  9.777693E-3,     1.93608
    50.0,  1.236920E-2,     3.41564
    60.0,  4.321484E-3,     4.33528
    70.0,  1.626049E-2,     3.53709
    80.0,  3.373762E-2,     4.72701
    90.0,  3.932339E-2,     5.75527
   100.0,  4.291448E-2,     6.40869
   110.0,  6.080237E-2,     7.09908
   120.0,  7.806255E-2,     7.97657
   130.0,  8.733584E-2,     8.80670
   140.0,  1.002707E-1,     9.56225
   150.0,  1.191372E-1,    10.36279
   160.0,  1.356289E-1,    11.19232
   170.0,  1.509806E-1,    12.00738
   180.0,  1.660075E-1,    12.82218
   190.0,  1.786321E-1,    13.61556
   200.0,  1.961018E-1,    14.38940
   210.0,  2.146644E-1,    15.19247
   220.0,  2.252315E-1,    15.97755
   230.0,  2.439115E-1,    16.72849
   240.0,  2.674891E-1,    17.53775
   250.0,  2.710371E-1,    18.34902
   260.0,  2.778850E-1,    19.07828
   270.0,  3.053549E-1,    19.84682
   280.0,  3.171261E-1,    20.66221
   290.0,  3.226304E-1,    21.41789
   300.0,  3.455703E-1,    22.18606
   310.0,  3.544409E-1,    22.98851
   320.0,  3.579042E-1,    23.73315
   330.0,  3.807383E-1,    24.49316
   340.0,  3.858312E-1,    25.29132
   350.0,  3.828745E-1,    26.02301
   360.0,  4.071880E-1,    26.76216
   370.0,  4.199351E-1,    27.55394
   380.0,  4.248626E-1,    28.29961
   390.0,  4.559211E-1,    29.06201
   400.0,  4.701962E-1,    29.87998
   410.0,  4.653120E-1,    30.64618
   420.0,  4.860921E-1,    31.39619
   430.0,  4.989513E-1,    32.19377
   440.0,  4.929839E-1,    32.95170
   450.0,  5.116214E-1,    33.69487
   460.0,  5.239377E-1,    34.49048
   470.0,  5.140104E-1,    35.25630
   480.0,  5.278425E-1,    36.00198
   490.0,  5.410140E-1,    36.80108
   500.0,  5.295989E-1,    37.57970
   510.0,  5.378547E-1,    38.32579
   520.0,  5.518175E-1,    39.11464
   530.0,  5.418315E-1,    39.89162
   540.0,  5.439590E-1,    40.63399
   550.0,  5.505626E-1,    41.40703
   560.0,  5.363389E-1,    42.16474
   570.0,  5.400136E-1,    42.88891
   580.0,  5.556113E-1,    43.65842
   590.0,  5.492342E-1,    44.43551
   600.0,  5.508896E-1,    45.18422
   610.0,  5.634237E-1,    45.96378
   620.0,  5.571192E-1,    46.75014
   630.0,  5.538959E-1,    47.50637
   640.0,  5.591920E-1,    48.27957
   650.0,  5.470862E-1,    49.05335
   660.0,  5.383405E-1,    49.79224
   670.0,  5.429867E-1,    50.54717
   680.0,  5.351249E-1,    51.31624
   690.0,  5.279434E-1,    52.06447
   700.0,  5.314220E-1,    52.83017
   710.0,  5.240958E-1,    53.61123
   720.0,  5.165190E-1,    54.37332
   730.0,  5.174492E-1,    55.14914
   740.0,  5.040889E-1,    55.93504
   750.0,  4.862472E-1,    56.68343
   760.0,  4.837257E-1,    57.42599
   770.0,  4.771525E-1,    58.18917
   780.0,  4.640418E-1,    58.93625
   790.0,  4.589829E-1,    59.68074
   800.0,  4.510632E-1,    60.44052
   810.0,  4.414754E-1,    61.18769
   820.0,  4.420694E-1,    61.94155
   830.0,  4.386070E-1,    62.71946
   840.0,  4.278265E-1,    63.48372
   850.0,  4.238264E-1,    64.23775
   860.0,  4.188288E-1,    65.00571
   870.0,  4.068034E-1,    65.76282
   880.0,  3.982671E-1,    66.50756
   890.0,  3.892033E-1,    67.26093
   900.0,  3.764431E-1,    68.00418
   910.0,  3.703650E-1,    68.74128
   920.0,  3.662171E-1,    69.49877
   930.0,  3.575234E-1,    70.25690
   940.0,  3.524030E-1,    71.00716
   950.0,  3.492932E-1,    71.76912
   960.0,  3.424688E-1,    72.52956
   970.0,  3.370689E-1,    73.28085
   980.0,  3.315012E-1,    74.03859
   990.0,  3.217188E-1,    74.79018
  1000.0,  3.143586E-1,    75.53079
  1010.0,  3.090462E-1,    76.28432
  1020.0,  2.998414E-1,    77.04343
  1030.0,  2.913351E-1,    77.79357
  1040.0,  2.860208E-1,    78.55032
  1050.0,  2.796266E-1,    79.31334
  1060.0,  2.736842E-1,    80.07055
  1070.0,  2.692253E-1,    80.83143
  1080.0,  2.622805E-1,    81.59455
  1090.0,  2.540331E-1,    82.34645
  1100.0,  2.470715E-1,    83.09554
  1110.0,  2.393042E-1,    83.84815
  1120.0,  2.314689E-1,    84.59889
  1130.0,  2.245464E-1,    85.35937
  1140.0,  2.146176E-1,    86.12940
  1150.0,  2.030198E-1,    86.88386
  1160.0,  1.952320E-1,    87.63072
  1170.0,  1.871906E-1,    88.39558
  1180.0,  1.730650E-1,    89.14902
  1190.0,  1.585822E-1,    89.84483
  1200.0,  1.523736E-1,    90.49961
  1210.0,  1.541353E-1,    91.16789
  1220.0,  1.590456E-1,    91.87340
  1230.0,  1.632652E-1,    92.61284
  1240.0,  1.649756E-1,    93.37275
  1250.0,  1.642266E-1,    94.14155
  1260.0,  1.615745E-1,    94.91056
  1270.0,  1.583858E-1,    95.67224
  1280.0,  1.560715E-1,    96.43041
  1290.0,  1.536969E-1,    97.19255
  1300.0,  1.499271E-1,    97.95214
  1310.0,  1.456868E-1,    98.70246
  1320.0,  1.417213E-1,    99.45089
  1330.0,  1.372125E-1,   100.20160
  1340.0,  1.323079E-1,   100.95027
  1350.0,  1.277991E-1,   101.69971
  1360.0,  1.233403E-1,   102.45218
  1370.0,  1.192008E-1,   103.20074
  1380.0,  1.164069E-1,   103.94876
  1390.0,  1.139241E-1,   104.70526
  1400.0,  1.103764E-1,   105.45857
  1410.0,  1.071256E-1,   106.19702
  1420.0,  1.051657E-1,   106.93624
  1430.0,  1.027461E-1,   107.68684
  1440.0,  9.915163E-2,   108.43608
  1450.0,  9.566291E-2,   109.18010
  1460.0,  9.258876E-2,   109.92780
  1470.0,  8.955845E-2,   110.67848
  1480.0,  8.688491E-2,   111.42867
  1490.0,  8.467918E-2,   112.18022
  1500.0,  8.269786E-2,   112.93286
  1510.0,  8.073483E-2,   113.68620
  1520.0,  7.841040E-2,   114.43907
  1530.0,  7.569240E-2,   115.18673
  1540.0,  7.298345E-2,   115.93041
  1550.0,  7.021603E-2,   116.67622
  1560.0,  6.718613E-2,   117.42201
  1570.0,  6.439407E-2,   118.16448
  1580.0,  6.214716E-2,   118.91166
  1590.0,  5.985719E-2,   119.66575
  1600.0,  5.749876E-2,   120.41388
  1610.0,  5.578574E-2,   121.15713
  1620.0,  5.427211E-2,   121.90841
  1630.0,  5.224666E-2,   122.65876
  1640.0,  5.025358E-2,   123.40266
  1650.0,  4.808035E-2,   124.15476
  1660.0,  4.491943E-2,   124.90050
  1670.0,  4.211348E-2,   125.61387
  1680.0,  4.112310E-2,   126.32824
  1690.0,  4.056443E-2,   127.08350
  1700.0,  3.886840E-2,   127.85599
  1710.0,  3.652451E-2,   128.60549
  1720.0,  3.490471E-2,   129.32787
  1730.0,  3.425091E-2,   130.05640
  1740.0,  3.346099E-2,   130.80569
  1750.0,  3.201094E-2,   131.55336
  1760.0,  3.047008E-2,   132.28711
  1770.0,  2.913324E-2,   133.01924
  1780.0,  2.780120E-2,   133.75517
  1790.0,  2.648187E-2,   134.48924
  1800.0,  2.538667E-2,   135.21978
  1810.0,  2.461004E-2,   135.95386
  1820.0,  2.391998E-2,   136.69662
  1830.0,  2.313383E-2,   137.43870
  1840.0,  2.239534E-2,   138.17557
  1850.0,  2.163523E-2,   138.91446
  1860.0,  2.067398E-2,   139.64900
  1870.0,  1.974609E-2,   140.37223
  1880.0,  1.900583E-2,   141.09738
  1890.0,  1.826949E-2,   141.83192
  1900.0,  1.747952E-2,   142.57012
  1910.0,  1.668689E-2,   143.30783
  1920.0,  1.595827E-2,   144.03984
  1930.0,  1.541592E-2,   144.76718
  1940.0,  1.500381E-2,   145.49848
  1950.0,  1.456944E-2,   146.23158
  1960.0,  1.412554E-2,   146.96189
  1970.0,  1.367117E-2,   147.69409
  1980.0,  1.313055E-2,   148.42791
  1990.0,  1.254567E-2,   149.15853
  2000.0,  1.200066E-2,   149.88769
  2010.0,  1.152410E-2,   150.61883
  2020.0,  1.111104E-2,   151.35470
