Frequency/GHz, Amplitude rel., Phase
     0.0,  5.682096E-4,    -0.00000
    10.0,  2.075391E-3,     0.86771
    20.0,  2.093958E-3,     2.68632
    30.0,  2.471703E-3,    -0.11866
    40.0,  8.046214E-3,     1.90106
    50.0,  9.996543E-3,     3.44798
    60.0,  2.451652E-3,     3.92825
    70.0,  1.800771E-2,     3.53352
    80.0,  3.501752E-2,     4.75768
    90.0,  3.990032E-2,     5.78652
   100.0,  4.295507E-2,     6.42047
   110.0,  6.134665E-2,     7.09266
   120.0,  7.931900E-2,     7.96510
   130.0,  8.883119E-2,     8.79429
   140.0,  1.017697E-1,     9.54697
   150.0,  1.209628E-1,    10.34441
   160.0,  1.377533E-1,    11.17279
   170.0,  1.534076E-1,    11.98577
   180.0,  1.689685E-1,    12.79989
   190.0,  1.815076E-1,    13.59344
   200.0,  1.988471E-1,    14.36217
   210.0,  2.185423E-1,    15.16108
   220.0,  2.298811E-1,    15.94822
   230.0,  2.483901E-1,    16.69919
   240.0,  2.727196E-1,    17.50604
   250.0,  2.768377E-1,    18.31852
   260.0,  2.834286E-1,    19.04751
   270.0,  3.120198E-1,    19.81365
   280.0,  3.246135E-1,    20.63048
   290.0,  3.294114E-1,    21.38561
   300.0,  3.532215E-1,    22.14989
   310.0,  3.631884E-1,    22.95315
   320.0,  3.658751E-1,    23.69825
   330.0,  3.893613E-1,    24.45480
   340.0,  3.956188E-1,    25.25373
   350.0,  3.917542E-1,    25.98655
   360.0,  4.166362E-1,    26.72232
   370.0,  4.308864E-1,    27.51460
   380.0,  4.350943E-1,    28.26173
   390.0,  4.665066E-1,    29.02107
   400.0,  4.820994E-1,    29.83878
   410.0,  4.763167E-1,    30.60590
   420.0,  4.972452E-1,    31.35290
   430.0,  5.115991E-1,    32.15024
   440.0,  5.047548E-1,    32.90952
   450.0,  5.232489E-1,    33.64984
   460.0,  5.369832E-1,    34.44477
   470.0,  5.261207E-1,    35.21168
   480.0,  5.396235E-1,    35.95440
   490.0,  5.543455E-1,    36.75261
   500.0,  5.421134E-1,    37.53262
   510.0,  5.497400E-1,    38.27611
   520.0,  5.652580E-1,    39.06391
   530.0,  5.545610E-1,    39.84232
   540.0,  5.558499E-1,    40.58185
   550.0,  5.642876E-1,    41.35343
   560.0,  5.496956E-1,    42.11381
   570.0,  5.517966E-1,    42.83658
   580.0,  5.684232E-1,    43.60396
   590.0,  5.617960E-1,    44.38241
   600.0,  5.620453E-1,    45.12963
   610.0,  5.753153E-1,    45.90698
   620.0,  5.687448E-1,    46.69396
   630.0,  5.643031E-1,    47.44807
   640.0,  5.706992E-1,    48.21874
   650.0,  5.587701E-1,    48.99383
   660.0,  5.484858E-1,    49.73179
   670.0,  5.536203E-1,    50.48403
   680.0,  5.460172E-1,    51.25376
   690.0,  5.375657E-1,    52.00123
   700.0,  5.413379E-1,    52.76451
   710.0,  5.341387E-1,    53.54606
   720.0,  5.252107E-1,    54.30717
   730.0,  5.263159E-1,    55.07980
   740.0,  5.135332E-1,    55.86540
   750.0,  4.948964E-1,    56.61362
   760.0,  4.924734E-1,    57.35441
   770.0,  4.861224E-1,    58.11812
   780.0,  4.718236E-1,    58.86506
   790.0,  4.665444E-1,    59.60715
   800.0,  4.588923E-1,    60.36711
   810.0,  4.481290E-1,    61.11446
   820.0,  4.481299E-1,    61.86548
   830.0,  4.449231E-1,    62.64197
   840.0,  4.335823E-1,    63.40539
   850.0,  4.294924E-1,    64.15689
   860.0,  4.249775E-1,    64.92420
   870.0,  4.123518E-1,    65.68133
   880.0,  4.034327E-1,    66.42366
   890.0,  3.948480E-1,    67.17603
   900.0,  3.817014E-1,    67.91993
   910.0,  3.750313E-1,    68.65555
   920.0,  3.709419E-1,    69.41177
   930.0,  3.618193E-1,    70.16949
   940.0,  3.563299E-1,    70.91758
   950.0,  3.535061E-1,    71.67823
   960.0,  3.463679E-1,    72.43862
   970.0,  3.405110E-1,    73.18773
   980.0,  3.353101E-1,    73.94361
   990.0,  3.255240E-1,    74.69567
  1000.0,  3.175821E-1,    75.43550
  1010.0,  3.121245E-1,    76.18713
  1020.0,  3.028139E-1,    76.94529
  1030.0,  2.940637E-1,    77.69399
  1040.0,  2.887971E-1,    78.44933
  1050.0,  2.822947E-1,    79.21185
  1060.0,  2.760446E-1,    79.96777
  1070.0,  2.715029E-1,    80.72683
  1080.0,  2.645350E-1,    81.48827
  1090.0,  2.564937E-1,    82.23848
  1100.0,  2.498630E-1,    82.98800
  1110.0,  2.417091E-1,    83.74219
  1120.0,  2.331311E-1,    84.49179
  1130.0,  2.258954E-1,    85.24958
  1140.0,  2.158236E-1,    86.01701
  1150.0,  2.043709E-1,    86.76842
  1160.0,  1.970011E-1,    87.51461
  1170.0,  1.887650E-1,    88.27999
  1180.0,  1.743381E-1,    89.02961
  1190.0,  1.606762E-1,    89.72144
  1200.0,  1.554410E-1,    90.38136
  1210.0,  1.569320E-1,    91.05746
  1220.0,  1.609774E-1,    91.76544
  1230.0,  1.644572E-1,    92.50395
  1240.0,  1.655955E-1,    93.26146
  1250.0,  1.645663E-1,    94.02720
  1260.0,  1.618584E-1,    94.79437
  1270.0,  1.584730E-1,    95.55539
  1280.0,  1.558236E-1,    96.31187
  1290.0,  1.532760E-1,    97.07129
