Frequency/GHz, Amplitude rel., Phase
  1560.0,  6.861931E-2,   117.30482
  1570.0,  6.574537E-2,   118.04857
  1580.0,  6.333872E-2,   118.79644
  1590.0,  6.091957E-2,   119.54986
  1600.0,  5.848828E-2,   120.29774
  1610.0,  5.666036E-2,   121.04097
  1620.0,  5.503818E-2,   121.79057
  1630.0,  5.298835E-2,   122.53905
  1640.0,  5.096237E-2,   123.28182
  1650.0,  4.878065E-2,   124.03136
  1660.0,  4.576666E-2,   124.77585
  1670.0,  4.305828E-2,   125.49453
  1680.0,  4.185080E-2,   126.21500
  1690.0,  4.099506E-2,   126.96873
  1700.0,  3.923646E-2,   127.73592
  1710.0,  3.699879E-2,   128.48410
  1720.0,  3.537808E-2,   129.20987
  1730.0,  3.457896E-2,   129.93937
  1740.0,  3.370775E-2,   130.68560
  1750.0,  3.228128E-2,   131.43125
  1760.0,  3.074399E-2,   132.16544
  1770.0,  2.936791E-2,   132.89791
  1780.0,  2.800224E-2,   133.63377
  1790.0,  2.665448E-2,   134.36822
  1800.0,  2.552237E-2,   135.09960
  1810.0,  2.468935E-2,   135.83425
  1820.0,  2.394577E-2,   136.57610
  1830.0,  2.314590E-2,   137.31679
  1840.0,  2.240232E-2,   138.05331
  1850.0,  2.162362E-2,   138.79136
  1860.0,  2.067318E-2,   139.52449
  1870.0,  1.976744E-2,   140.24843
  1880.0,  1.899909E-2,   140.97531
  1890.0,  1.821039E-2,   141.70944
  1900.0,  1.739719E-2,   142.44587
  1910.0,  1.660248E-2,   143.18276
  1920.0,  1.586437E-2,   143.91489
  1930.0,  1.530471E-2,   144.64209
  1940.0,  1.488330E-2,   145.37301
  1950.0,  1.444471E-2,   146.10647
  1960.0,  1.398501E-2,   146.83745
  1970.0,  1.351005E-2,   147.56937
  1980.0,  1.295906E-2,   148.30239
  1990.0,  1.236725E-2,   149.03236
  2000.0,  1.181519E-2,   149.76067
  2010.0,  1.133267E-2,   150.49111
  2020.0,  1.090591E-2,   151.22606
  2030.0,  1.049497E-2,   151.96204
  2040.0,  1.014239E-2,   152.69161
  2050.0,  9.914956E-3,   153.42049
  2060.0,  9.705545E-3,   154.15795
  2070.0,  9.405997E-3,   154.89577
  2080.0,  9.075983E-3,   155.62752
  2090.0,  8.743320E-3,   156.35935
  2100.0,  8.388088E-3,   157.09161
  2110.0,  8.047958E-3,   157.82469
  2120.0,  7.710511E-3,   158.56130
