Frequency/GHz, Amplitude rel., Phase
  1560.0,  6.228838E-1,    60.12846
  1570.0,  6.126279E-1,    60.47206
  1580.0,  6.037300E-1,    60.81789
  1590.0,  5.944128E-1,    61.16571
  1600.0,  5.836929E-1,    61.51323
  1610.0,  5.742915E-1,    61.85715
  1620.0,  5.679605E-1,    62.20722
  1630.0,  5.561983E-1,    62.56342
  1640.0,  5.430756E-1,    62.90967
  1650.0,  5.336101E-1,    63.26249
  1660.0,  5.143580E-1,    63.61630
  1670.0,  4.977077E-1,    63.94172
  1680.0,  4.955096E-1,    64.27358
  1690.0,  4.914448E-1,    64.62491
  1700.0,  4.835505E-1,    64.98062
  1710.0,  4.686868E-1,    65.33596
  1720.0,  4.541607E-1,    65.66767
  1730.0,  4.514604E-1,    66.00416
  1740.0,  4.445084E-1,    66.36029
  1750.0,  4.332229E-1,    66.70760
  1760.0,  4.233042E-1,    67.05370
  1770.0,  4.118385E-1,    67.39553
  1780.0,  4.030879E-1,    67.73338
  1790.0,  3.939352E-1,    68.07354
  1800.0,  3.858401E-1,    68.40628
  1810.0,  3.813787E-1,    68.74293
  1820.0,  3.760350E-1,    69.08606
  1830.0,  3.698217E-1,    69.42940
  1840.0,  3.632129E-1,    69.77309
  1850.0,  3.562428E-1,    70.11773
  1860.0,  3.475450E-1,    70.46175
  1870.0,  3.390183E-1,    70.79775
  1880.0,  3.330305E-1,    71.13480
  1890.0,  3.261347E-1,    71.47555
  1900.0,  3.193031E-1,    71.81328
  1910.0,  3.125157E-1,    72.15357
  1920.0,  3.045126E-1,    72.48908
  1930.0,  2.988351E-1,    72.81943
  1940.0,  2.945639E-1,    73.15531
  1950.0,  2.900313E-1,    73.49342
  1960.0,  2.858143E-1,    73.83430
  1970.0,  2.806570E-1,    74.17858
  1980.0,  2.744251E-1,    74.52119
  1990.0,  2.680594E-1,    74.86037
  2000.0,  2.621753E-1,    75.19668
  2010.0,  2.571897E-1,    75.53125
  2020.0,  2.532524E-1,    75.86771
  2030.0,  2.488467E-1,    76.20729
  2040.0,  2.442898E-1,    76.54116
  2050.0,  2.423569E-1,    76.87519
  2060.0,  2.405721E-1,    77.22149
  2070.0,  2.365388E-1,    77.56942
  2080.0,  2.321650E-1,    77.91258
  2090.0,  2.281852E-1,    78.25501
  2100.0,  2.240880E-1,    78.59852
  2110.0,  2.194405E-1,    78.94007
  2120.0,  2.153324E-1,    79.27838
  2130.0,  2.113647E-1,    79.61795
  2140.0,  2.076538E-1,    79.95373
  2150.0,  2.049962E-1,    80.29506
  2160.0,  1.999515E-1,    80.63705
  2170.0,  1.966204E-1,    80.96233
  2180.0,  1.963624E-1,    81.30567
  2190.0,  1.915548E-1,    81.65718
  2200.0,  1.873331E-1,    81.98718
  2210.0,  1.856216E-1,    82.32974
  2220.0,  1.808505E-1,    82.67522
  2230.0,  1.770485E-1,    83.00592
  2240.0,  1.750743E-1,    83.34519
  2250.0,  1.716142E-1,    83.69186
  2260.0,  1.668164E-1,    84.03049
  2270.0,  1.635731E-1,    84.35795
  2280.0,  1.624231E-1,    84.69477
  2290.0,  1.602540E-1,    85.04156
  2300.0,  1.576569E-1,    85.38842
  2310.0,  1.542907E-1,    85.74102
  2320.0,  1.493732E-1,    86.08930
  2330.0,  1.442394E-1,    86.42862
  2340.0,  1.395401E-1,    86.75856
  2350.0,  1.361937E-1,    87.08432
  2360.0,  1.334520E-1,    87.41031
  2370.0,  1.319756E-1,    87.73623
  2380.0,  1.304623E-1,    88.07470
  2390.0,  1.275984E-1,    88.40441
  2400.0,  1.271322E-1,    88.72573
  2410.0,  1.276243E-1,    89.06747
  2420.0,  1.264139E-1,    89.41655
  2430.0,  1.244335E-1,    89.76085
  2440.0,  1.226922E-1,    90.10195
  2450.0,  1.207224E-1,    90.44916
  2460.0,  1.171372E-1,    90.78797
  2470.0,  1.152145E-1,    91.10899
  2480.0,  1.147745E-1,    91.44554
  2490.0,  1.128380E-1,    91.78422
  2500.0,  1.116346E-1,    92.11506
  2510.0,  1.105976E-1,    92.45304
  2520.0,  1.094302E-1,    92.78725
  2530.0,  1.089255E-1,    93.12607
  2540.0,  1.079439E-1,    93.46945
  2550.0,  1.069233E-1,    93.81378
  2560.0,  1.053883E-1,    94.16086
  2570.0,  1.037154E-1,    94.50471
  2580.0,  1.018667E-1,    94.85107
  2590.0,  9.966109E-2,    95.19214
  2600.0,  9.779876E-2,    95.53279
  2610.0,  9.571612E-2,    95.86845
  2620.0,  9.511310E-2,    96.20767
  2630.0,  9.233848E-2,    96.56931
  2640.0,  8.747428E-2,    96.87843
  2650.0,  8.953770E-2,    97.16987
  2660.0,  9.213692E-2,    97.53766
  2670.0,  9.002223E-2,    97.90333
  2680.0,  8.847442E-2,    98.24796
  2690.0,  8.660948E-2,    98.59771
  2700.0,  8.479519E-2,    98.93315
  2710.0,  8.379126E-2,    99.27403
  2720.0,  8.222612E-2,    99.61159
  2730.0,  8.161259E-2,    99.94517
  2740.0,  8.089665E-2,   100.28561
  2750.0,  8.091504E-2,   100.62175
  2760.0,  8.095833E-2,   100.98627
  2770.0,  7.754852E-2,   101.33982
  2780.0,  7.636737E-2,   101.64326
  2790.0,  7.849786E-2,   101.98873
  2800.0,  7.731459E-2,   102.36197
  2810.0,  7.514553E-2,   102.70346
  2820.0,  7.414173E-2,   103.04354
  2830.0,  7.283921E-2,   103.38321
  2840.0,  7.208319E-2,   103.71945
  2850.0,  7.131028E-2,   104.05937
  2860.0,  7.101762E-2,   104.39601
  2870.0,  7.096150E-2,   104.74879
  2880.0,  6.960043E-2,   105.10072
  2890.0,  6.892929E-2,   105.43814
  2900.0,  6.885373E-2,   105.79409
  2910.0,  6.744140E-2,   106.15441
  2920.0,  6.598799E-2,   106.50408
  2930.0,  6.433783E-2,   106.85541
  2940.0,  6.270656E-2,   107.19199
  2950.0,  6.217383E-2,   107.53651
  2960.0,  6.035678E-2,   107.89250
  2970.0,  5.828955E-2,   108.21426
  2980.0,  5.868318E-2,   108.53041
  2990.0,  6.005868E-2,   108.88798
  3000.0,  5.905049E-2,   109.28026
  3010.0,  5.502261E-2,   109.62697
  3020.0,  5.451001E-2,   109.91152
  3030.0,  5.667703E-2,   110.26913
  3040.0,  5.509301E-2,   110.65180
  3050.0,  5.328075E-2,   110.98238
  3060.0,  5.310615E-2,   111.32096
  3070.0,  5.238679E-2,   111.66679
  3080.0,  5.203441E-2,   112.00547
  3090.0,  5.191279E-2,   112.35294
  3100.0,  5.170250E-2,   112.70300
  3110.0,  5.159598E-2,   113.06056
  3120.0,  5.079312E-2,   113.42931
  3130.0,  4.895469E-2,   113.78116
  3140.0,  4.827170E-2,   114.10823
  3150.0,  4.847347E-2,   114.46899
  3160.0,  4.652489E-2,   114.83698
  3170.0,  4.475213E-2,   115.15274
  3180.0,  4.514055E-2,   115.47679
  3190.0,  4.517185E-2,   115.83160
  3200.0,  4.467223E-2,   116.18161
  3210.0,  4.437695E-2,   116.53276
  3220.0,  4.386667E-2,   116.89010
  3230.0,  4.310990E-2,   117.24421
  3240.0,  4.247376E-2,   117.59597
  3250.0,  4.181372E-2,   117.95265
  3260.0,  4.086135E-2,   118.30947
  3270.0,  3.970063E-2,   118.65941
  3280.0,  3.870084E-2,   118.99611
  3290.0,  3.837784E-2,   119.33176
  3300.0,  3.819709E-2,   119.68039
  3310.0,  3.791218E-2,   120.03310
  3320.0,  3.743514E-2,   120.39210
  3330.0,  3.663951E-2,   120.74077
  3340.0,  3.650982E-2,   121.08477
  3350.0,  3.628631E-2,   121.44991
  3360.0,  3.550243E-2,   121.80636
  3370.0,  3.513035E-2,   122.15937
  3380.0,  3.442480E-2,   122.52237
  3390.0,  3.349342E-2,   122.86771
  3400.0,  3.315763E-2,   123.20755
  3410.0,  3.302934E-2,   123.55752
  3420.0,  3.286714E-2,   123.91508
  3430.0,  3.249057E-2,   124.27728
  3440.0,  3.198660E-2,   124.63654
  3450.0,  3.149085E-2,   124.99715
  3460.0,  3.080145E-2,   125.35847
  3470.0,  3.003504E-2,   125.71265
  3480.0,  2.941375E-2,   126.06456
  3490.0,  2.870711E-2,   126.41872
  3500.0,  2.792565E-2,   126.76138
  3510.0,  2.766433E-2,   127.09753
  3520.0,  2.768958E-2,   127.45404
  3530.0,  2.722878E-2,   127.82400
  3540.0,  2.639571E-2,   128.17968
  3550.0,  2.597269E-2,   128.52310
  3560.0,  2.577383E-2,   128.88550
  3570.0,  2.506901E-2,   129.25207
