Frequency/GHz, Amplitude rel., Phase
     0.0,  4.081190E-4,    -0.00000
    10.0,  2.008543E-3,     0.27419
    20.0,  1.253056E-3,     1.51349
    30.0,  3.128265E-3,     0.22477
    40.0,  8.691148E-3,     1.66786
    50.0,  9.768204E-3,     3.08157
    60.0,  3.971638E-3,     3.28852
    70.0,  1.906306E-2,     3.43803
    80.0,  3.577023E-2,     4.66316
    90.0,  4.093661E-2,     5.74252
   100.0,  4.249488E-2,     6.43913
   110.0,  5.884684E-2,     7.10417
   120.0,  7.678780E-2,     7.97343
   130.0,  8.671418E-2,     8.80976
   140.0,  9.951092E-2,     9.56714
   150.0,  1.183159E-1,    10.36448
   160.0,  1.349341E-1,    11.19239
   170.0,  1.502640E-1,    12.00802
   180.0,  1.649556E-1,    12.82398
   190.0,  1.771550E-1,    13.61741
   200.0,  1.943924E-1,    14.39071
   210.0,  2.129978E-1,    15.19353
   220.0,  2.239735E-1,    15.97927
   230.0,  2.428288E-1,    16.73268
   240.0,  2.659616E-1,    17.54301
   250.0,  2.693309E-1,    18.35314
   260.0,  2.763459E-1,    19.08190
   270.0,  3.035987E-1,    19.85066
   280.0,  3.152603E-1,    20.66575
   290.0,  3.207429E-1,    21.42207
   300.0,  3.431555E-1,    22.19058
   310.0,  3.518613E-1,    22.99222
   320.0,  3.555533E-1,    23.73712
   330.0,  3.780536E-1,    24.49782
   340.0,  3.829876E-1,    25.29557
   350.0,  3.801866E-1,    26.02744
   360.0,  4.040861E-1,    26.76689
   370.0,  4.166569E-1,    27.55800
   380.0,  4.218041E-1,    28.30374
   390.0,  4.525136E-1,    29.06660
   400.0,  4.666161E-1,    29.88425
   410.0,  4.619760E-1,    30.65065
   420.0,  4.824314E-1,    31.40114
   430.0,  4.950655E-1,    32.19842
   440.0,  4.892780E-1,    32.95649
   450.0,  5.075429E-1,    33.69998
   460.0,  5.196346E-1,    34.49511
   470.0,  5.099759E-1,    35.26093
   480.0,  5.235127E-1,    36.00684
   490.0,  5.364458E-1,    36.80530
   500.0,  5.254101E-1,    37.58353
   510.0,  5.336535E-1,    38.32974
   520.0,  5.474647E-1,    39.11814
   530.0,  5.378058E-1,    39.89468
   540.0,  5.401115E-1,    40.63689
   550.0,  5.469133E-1,    41.40956
   560.0,  5.331955E-1,    42.16728
   570.0,  5.369691E-1,    42.89167
   580.0,  5.526078E-1,    43.66072
   590.0,  5.467719E-1,    44.43745
   600.0,  5.488752E-1,    45.18637
   610.0,  5.616716E-1,    45.96601
   620.0,  5.558342E-1,    46.75248
   630.0,  5.530023E-1,    47.50923
   640.0,  5.584872E-1,    48.28290
   650.0,  5.466520E-1,    49.05701
   660.0,  5.381971E-1,    49.79648
   670.0,  5.429713E-1,    50.55208
   680.0,  5.351933E-1,    51.32158
   690.0,  5.281978E-1,    52.07024
   700.0,  5.318261E-1,    52.83659
   710.0,  5.245085E-1,    53.61826
   720.0,  5.169471E-1,    54.38081
   730.0,  5.178599E-1,    55.15719
   740.0,  5.043927E-1,    55.94347
   750.0,  4.865353E-1,    56.69217
   760.0,  4.839277E-1,    57.43530
   770.0,  4.770969E-1,    58.19865
   780.0,  4.639612E-1,    58.94549
   790.0,  4.589986E-1,    59.69019
   800.0,  4.509699E-1,    60.45014
   810.0,  4.413987E-1,    61.19704
   820.0,  4.421124E-1,    61.95098
   830.0,  4.385776E-1,    62.72887
   840.0,  4.278842E-1,    63.49263
   850.0,  4.241570E-1,    64.24670
   860.0,  4.191732E-1,    65.01498
   870.0,  4.071327E-1,    65.77187
   880.0,  3.987711E-1,    66.51651
   890.0,  3.897803E-1,    67.27002
   900.0,  3.771242E-1,    68.01305
   910.0,  3.713205E-1,    68.75025
   920.0,  3.672810E-1,    69.50815
   930.0,  3.586407E-1,    70.26616
   940.0,  3.537787E-1,    71.01640
   950.0,  3.508290E-1,    71.77889
   960.0,  3.439955E-1,    72.53954
   970.0,  3.387004E-1,    73.29085
   980.0,  3.332499E-1,    74.04895
   990.0,  3.234869E-1,    74.80092
  1000.0,  3.161481E-1,    75.54192
  1010.0,  3.107808E-1,    76.29572
  1020.0,  3.015528E-1,    77.05453
  1030.0,  2.932141E-1,    77.80455
  1040.0,  2.879899E-1,    78.56161
  1050.0,  2.816529E-1,    79.32447
  1060.0,  2.759223E-1,    80.08193
  1070.0,  2.714239E-1,    80.84357
  1080.0,  2.643693E-1,    81.60598
  1090.0,  2.565520E-1,    82.35742
  1100.0,  2.498655E-1,    83.10864
  1110.0,  2.417178E-1,    83.86262
  1120.0,  2.337348E-1,    84.61259
  1130.0,  2.269375E-1,    85.37323
  1140.0,  2.168760E-1,    86.14315
  1150.0,  2.054803E-1,    86.89630
  1160.0,  1.982032E-1,    87.64476
  1170.0,  1.899726E-1,    88.41287
  1180.0,  1.752936E-1,    89.16642
  1190.0,  1.607514E-1,    89.86120
  1200.0,  1.546326E-1,    90.51733
  1210.0,  1.563310E-1,    91.18652
  1220.0,  1.613335E-1,    91.89209
  1230.0,  1.656563E-1,    92.63213
  1240.0,  1.673695E-1,    93.39225
