1_Frequency_Hz,1_EpsilonReal,1_TanDelta,2_Frequency_Hz,2_EpsilonReal,2_TanDelta,3_Frequency_Hz,3_EpsilonReal,3_TanDelta,4_Frequency_Hz,4_EpsilonReal,4_TanDelta,5_Frequency_Hz,5_EpsilonReal,5_TanDelta,6_Frequency_Hz,6_EpsilonReal,6_TanDelta
500000000000,2.73093711611404,0.0137506808689652,500000000000,2.72693491847156,0.0136321737148988,500000000000,2.73186987878568,0.0134323054764149,500000000000,2.71691402537275,0.0134654434581876,500000000000,2.72158154618116,0.0135533673121217,500000000000,2.72097770960502,0.0134671951481317
500333333333.333,2.73092294809711,0.0137550035555525,500333333333.333,2.72692207569796,0.0136363405879627,500333333333.333,2.73185313029923,0.0134371483347846,500333333333.333,2.71690599835205,0.0134704629884577,500333333333.333,2.72157211567842,0.0135578759393177,500333333333.333,2.72096807929296,0.0134719390368291
500666666666.667,2.73090879722934,0.0137593287376338,500666666666.667,2.72690924757393,0.0136405100564466,500666666666.667,2.73183639321478,0.0134419927174192,500666666666.667,2.71689797426114,0.0134754841885148,500666666666.667,2.72156269221001,0.0135623868932213,500666666666.667,2.72095845759768,0.013476684997325
501000000000,2.73089466351072,0.0137636564152092,501000000000,2.72689643409946,0.0136446821203505,501000000000,2.73181966753232,0.0134468386243189,501000000000,2.71688995310002,0.0134805070583587,501000000000,2.72155327577593,0.0135669001738325,501000000000,2.72094884451917,0.0134814330296192
501333333333.333,2.73088054694126,0.0137679865882788,501333333333.333,2.72688363527456,0.0136488567796744,501333333333.333,2.73180295325185,0.0134516860554834,501333333333.333,2.71688193486871,0.0134855315979897,501333333333.333,2.7215438663762,0.0135714157811513,501333333333.333,2.72093924005744,0.0134861831337117
501666666666.667,2.73086644752096,0.0137723192568426,501666666666.667,2.72687085109923,0.0136530340344182,501666666666.667,2.73178625037338,0.013456535010913,501666666666.667,2.71687391956719,0.0134905578074076,501666666666.667,2.72153446401079,0.0135759337151776,501666666666.667,2.72092964421248,0.0134909353096026
502000000000,2.73085236524982,0.0137766544209004,502000000000,2.72685808157347,0.0136572138845821,502000000000,2.7317695588969,0.0134613854906074,502000000000,2.71686590719547,0.0134955856866124,502000000000,2.72152506867972,0.0135804539759115,502000000000,2.7209200569843,0.0134956895572919
502333333333.333,2.73083830012783,0.0137809920804524,502333333333.333,2.72684532669727,0.0136613963301659,502333333333.333,2.73175287882242,0.0134662374945669,502333333333.333,2.71685789775354,0.0135006152356041,502333333333.333,2.72151568038299,0.013584976563353,502333333333.333,2.72091047837289,0.0135004458767795
502666666666.667,2.730824252155,0.0137853322354986,502666666666.667,2.72683258647063,0.0136655813711697,502666666666.667,2.73173621014993,0.0134710910227912,502666666666.667,2.71684989124142,0.0135056464543829,502666666666.667,2.72150629912059,0.0135895014775021,502666666666.667,2.72090090837827,0.0135052042680655
503000000000,2.73081022133132,0.0137896748860389,503000000000,2.72681986089357,0.0136697690075934,503000000000,2.73171955287943,0.0134759460752806,503000000000,2.71684188765909,0.0135106793429485,503000000000,2.72149692489253,0.0135940287183587,503000000000,2.72089134700042,0.0135099647311499
503333333333.333,2.73079620765681,0.0137940200320733,503333333333.333,2.72680714996607,0.0136739592394372,503333333333.333,2.73170290701093,0.0134808026520348,503333333333.333,2.71683388700656,0.0135157139013011,503333333333.333,2.7214875576988,0.0135985582859229,503333333333.333,2.72088179423934,0.0135147272660326
503666666666.667,2.73078221113145,0.0137983676736018,503666666666.667,2.72679445368813,0.0136781520667009,503666666666.667,2.73168627254442,0.013485660753054,503666666666.667,2.71682588928382,0.0135207501294406,503666666666.667,2.72147819753941,0.0136030901801947,503666666666.667,2.72087225009504,0.0135194918727136
504000000000,2.73076823175524,0.0138027178106245,504000000000,2.72678177205977,0.0136823474893846,504000000000,2.7316696494799,0.0134905203783382,504000000000,2.71681789449088,0.0135257880273671,504000000000,2.72146884441436,0.0136076244011741,504000000000,2.72086271456752,0.013524258551193
504333333333.333,2.7307542695282,0.0138070704431413,504333333333.333,2.72676910508096,0.0136865455074883,504333333333.333,2.73165303781738,0.0134953815278874,504333333333.333,2.71680990262774,0.0135308275950805,504333333333.333,2.72145949832363,0.0136121609488611,504333333333.333,2.72085318765677,0.0135290273014708
504666666666.667,2.7307403244503,0.0138114255711523,504666666666.667,2.72675645275173,0.0136907461210119,504666666666.667,2.73163643755686,0.0135002442017014,504666666666.667,2.7168019136944,0.0135358688325809,504666666666.667,2.72145015926725,0.0136166998232556,504666666666.667,2.7208436693628,0.0135337981235469
505000000000,2.73072639652157,0.0138157831946574,505000000000,2.72674381507206,0.0136949493299556,505000000000,2.73161984869832,0.0135051083997805,505000000000,2.71679392769086,0.0135409117398682,505000000000,2.7214408272452,0.0136212410243578,505000000000,2.72083415968561,0.0135385710174214
505333333333.333,2.730712485742,0.0138201433136566,505333333333.333,2.72673119204195,0.0136991551343192,505333333333.333,2.73160327124178,0.0135099741221244,505333333333.333,2.71678594461711,0.0135459563169425,505333333333.333,2.72143150225748,0.0136257845521675,505333333333.333,2.72082465862519,0.0135433459830942
