1_Freq_Hz,1_EpsReal,1_TanDelta,1_Thickness_mm,2_Freq_Hz,2_EpsReal,2_TanDelta,2_Thickness_mm,3_Freq_Hz,3_EpsReal,3_TanDelta,3_Thickness_mm,4_Freq_Hz,4_EpsReal,4_TanDelta,4_Thickness_mm,5_Freq_Hz,5_EpsReal,5_TanDelta,5_Thickness_mm,6_Freq_Hz,6_EpsReal,6_TanDelta,6_Thickness_mm
500000000000,2.73773467729769,0.0137646432570193,NaN,500000000000,2.73372198279575,0.0136461546683237,NaN,500000000000,2.73866940781282,0.0134463047207968,NaN,500000000000,2.72367571288664,0.013479449871195,NaN,500000000000,2.72835497756832,0.0135673753089975,NaN,500000000000,2.72774970436347,0.0134811719365042,NaN
500333333333.333,2.7377204602435,0.0137689732630401,NaN,500333333333.333,2.73370909683826,0.0136503289444768,NaN,500333333333.333,2.73865260551266,0.0134511549282656,NaN,500333333333.333,2.72366765941582,0.0134844766843644,NaN,500333333333.333,2.72834551530782,0.0135718912443579,NaN,500333333333.333,2.72774004177308,0.0134859231316681,NaN
500666666666.667,2.73770626040032,0.0137733057736453,NaN,500666666666.667,2.73369622557939,0.0136545058250971,NaN,500666666666.667,2.73863581465796,0.0134560066690979,NaN,500666666666.667,2.72365960888182,0.0134895051753029,NaN,500666666666.667,2.72833606010409,0.0135764095149881,NaN,500666666666.667,2.72773038782592,0.0134906764073812,NaN
501000000000,2.73769207776812,0.013777640788835,NaN,501000000000,2.73368336901914,0.0136586853101846,NaN,501000000000,2.73861903524873,0.0134608599432935,NaN,501000000000,2.72365156128463,0.0134945353440106,NaN,501000000000,2.72832661195714,0.0135809301208881,NaN,501000000000,2.72772074252202,0.0134954317636437,NaN
501333333333.333,2.73767791234693,0.0137819783086092,NaN,501333333333.333,2.73367052715751,0.0136628673997394,NaN,501333333333.333,2.73860226728497,0.0134657147508524,NaN,501333333333.333,2.72364351662426,0.0134995671904875,NaN,501333333333.333,2.72831717086696,0.0135854530620579,NaN,501333333333.333,2.72771110586137,0.0135001892004556,NaN
501666666666.667,2.73766376413672,0.0137863183329678,NaN,501666666666.667,2.73365769999451,0.0136670520937614,NaN,501666666666.667,2.73858551076666,0.0134705710917748,NaN,501666666666.667,2.7236354749007,0.0135046007147336,NaN,501666666666.667,2.72830773683356,0.0135899783384973,NaN,501666666666.667,2.72770147784396,0.0135049487178167,NaN
502000000000,2.73764963313752,0.013790660861911,NaN,502000000000,2.73364488753013,0.0136712393922506,NaN,502000000000,2.73856876569383,0.0134754289660605,NaN,502000000000,2.72362743611396,0.0135096359167488,NaN,502000000000,2.72829830985693,0.0135945059502066,NaN,502000000000,2.7276918584698,0.0135097103157272,NaN
502333333333.333,2.7376355193493,0.0137950058954386,NaN,502333333333.333,2.73363208976437,0.013675429295207,NaN,502333333333.333,2.73855203206645,0.0134802883737097,NaN,502333333333.333,2.72361940026403,0.0135146727965332,NaN,502333333333.333,2.72828888993707,0.0135990358971856,NaN,502333333333.333,2.72768224773889,0.013514473994187,NaN
502666666666.667,2.73762142277209,0.0137993534335507,NaN,502666666666.667,2.73361930669723,0.0136796218026307,NaN,502666666666.667,2.73853530988455,0.0134851493147222,NaN,502666666666.667,2.72361136735092,0.0135197113540868,NaN,502666666666.667,2.72827947707399,0.0136035681794343,NaN,502666666666.667,2.72767264565123,0.0135192397531961,NaN
503000000000,2.73760734340586,0.0138037034762473,NaN,503000000000,2.73360653832872,0.0136838169145216,NaN,503000000000,2.7385185991481,0.013490011789098,NaN,503000000000,2.72360333737463,0.0135247515894096,NaN,503000000000,2.72827007126768,0.0136081027969528,NaN,503000000000,2.72766305220681,0.0135240075927546,NaN
