1_Freq_Hz,1_S11_mag,1_S11_phase,1_S21_mag,1_S21_phase,1_S12_mag,1_S12_phase,1_S22_mag,1_S22_phase,2_Freq_Hz,2_S11_mag,2_S11_phase,2_S21_mag,2_S21_phase,2_S12_mag,2_S12_phase,2_S22_mag,2_S22_phase,3_Freq_Hz,3_S11_mag,3_S11_phase,3_S21_mag,3_S21_phase,3_S12_mag,3_S12_phase,3_S22_mag,3_S22_phase,4_Freq_Hz,4_S11_mag,4_S11_phase,4_S21_mag,4_S21_phase,4_S12_mag,4_S12_phase,4_S22_mag,4_S22_phase,5_Freq_Hz,5_S11_mag,5_S11_phase,5_S21_mag,5_S21_phase,5_S12_mag,5_S12_phase,5_S22_mag,5_S22_phase,6_Freq_Hz,6_S11_mag,6_S11_phase,6_S21_mag,6_S21_phase,6_S12_mag,6_S12_phase,6_S22_mag,6_S22_phase
500000000000,0.340446555709353,-172.397471654293,0.655414510934268,-82.0646387059241,0.657569358762163,-72.6391973114086,0.31943166077755,164.71062867521,500000000000,0.33692330199516,-168.474129063726,0.655682772488255,-79.9830872395083,0.657241648462807,-69.7708537753593,0.32605392705282,170.143768250669,500000000000,0.33700180786498,-171.833795480841,0.658533000544949,-83.1067819009571,0.661106741769194,-71.5482555333327,0.319294800507967,169.537808264223,500000000000,0.284895383901667,-168.643341297585,0.668504451691651,-74.0779254869054,0.671831588931177,-64.3667828942297,0.276247958730085,168.283600318894,500000000000,0.30207963165012,-167.425636489391,0.663142486735154,-75.9280245701797,0.665411572734467,-67.1985917152113,0.299481496419371,167.717789467261,500000000000,0.310266041535739,-169.524727400964,0.66294067718279,-75.1081405079673,0.665671595613559,-68.1009021684058,0.299386291470801,169.740427272185
500333333333.333,0.360838617443541,-172.491988605421,0.648264790575529,-84.282528937112,0.653086887509331,-74.5135935134407,0.3395858902682,163.638209001667,500333333333.333,0.345334785696039,-168.096972506126,0.648827942814431,-82.1722526533492,0.653170777100849,-71.7177009790075,0.34073870485309,168.349382547996,500333333333.333,0.357018552127465,-172.70318319239,0.652676005909358,-85.3130957745068,0.657532692008798,-73.6060526168693,0.335254519030524,167.482412269136,500333333333.333,0.306866480675589,-170.70734331882,0.663224774400152,-76.178956184709,0.666591734841161,-66.5197523607005,0.28643443789179,167.635340265588,500333333333.333,0.311424375037851,-168.247355555559,0.656166702198462,-77.9468598199494,0.660052152955046,-69.1303729649828,0.311692083822559,167.083666377824,500333333333.333,0.33367562249732,-171.63888326963,0.657177351572922,-77.0538019315587,0.662017700136941,-70.040017721838,0.308429253004354,167.497883533676
500666666666.667,0.3684161563861,-168.858397282824,0.64269765006461,-85.7063506293583,0.644596245067039,-76.4319019011329,0.342989759181647,164.774585914327,500666666666.667,0.348553302839459,-167.520166486781,0.643965791604268,-83.5666645416303,0.644820743044162,-73.5238629301266,0.34602145517077,169.134036573058,500666666666.667,0.372092793508772,-168.267708388239,0.648375753383219,-86.8314129313541,0.650203839072197,-75.4630553399826,0.343668429091032,168.288532747515,500666666666.667,0.326157229002612,-165.949681326668,0.657594875952501,-77.8809799507587,0.660423447477263,-68.3871909084271,0.294217735388109,167.542071273836,500666666666.667,0.320688339154437,-167.306269902374,0.651399719609941,-79.6961127678597,0.653505834302794,-71.0134389761619,0.315789590079481,167.288286733588,500666666666.667,0.354769682642573,-166.283001649729,0.652253264977373,-78.6430817765837,0.6554617474411,-71.889685801503,0.316128432850997,167.597794358746
501000000000,0.339860065977818,-166.862028042191,0.643309895309548,-87.3063449774578,0.64587458430606,-77.8960298651329,0.344838081923329,164.506228299637,501000000000,0.339618490469298,-167.390604784501,0.644744370202474,-85.3203303099336,0.648048649546623,-75.2554344188359,0.346941649163357,168.816826046301,501000000000,0.339362738152108,-165.132611724826,0.649561475152505,-88.5868288653866,0.652240764197331,-77.2757578679912,0.344404626698541,167.835594346926,501000000000,0.300921286093242,-163.957059104393,0.65804783856757,-79.6962509256099,0.660422960101355,-70.1245703890749,0.301047622652502,166.493997582532,501000000000,0.314521069929846,-167.682331968468,0.652300459137928,-81.3419900152879,0.654858278103684,-72.6296618481986,0.320855179660619,166.601644847761,501000000000,0.320573668777422,-163.110398638481,0.652894028200271,-80.3523876045083,0.655883529077665,-73.5739617011892,0.31693549890987,166.962542084637
501333333333.333,0.326231531620951,-169.454917655963,0.644819119781113,-89.6624314921321,0.647181428034403,-80.3262783896023,0.347495634522799,164.13769676591,501333333333.333,0.33725514528895,-168.191694029812,0.646296962699205,-87.5875571032447,0.64846587162359,-77.7719140927908,0.350002399888802,167.503763364777,501333333333.333,0.325229991038072,-168.60954896214,0.64966618643081,-91.0228107761219,0.652108378957828,-79.7087814921192,0.347517964909744,165.973879713245,501333333333.333,0.291470169890398,-168.097410584864,0.658737740506987,-81.9118633292505,0.660423490739279,-72.4822258504542,0.306475269758285,164.897388716028,501333333333.333,0.314659132888188,-169.258226594639,0.653897513986753,-83.6631906128194,0.654962549045731,-75.0361476029409,0.32471005304534,165.615484830533,501333333333.333,0.305317603413359,-167.321531613767,0.653853342841521,-82.633722125021,0.656489963565728,-75.8647172956134,0.321862272459506,164.694355600519
501666666666.667,0.323432460536065,-171.519695275674,0.638630050631814,-90.9169765872295,0.638889404007147,-81.7276758077885,0.336626088389019,163.537811064448,501666666666.667,0.335337918155616,-169.412838737719,0.63896586182394,-88.8892082385483,0.638923081366982,-79.2494126205344,0.343540280034848,166.70015185575,501666666666.667,0.326832412703536,-170.237983432607,0.641947373552633,-92.4026955152515,0.64225145214337,-81.2354471402121,0.342618457275126,164.915730507277,501666666666.667,0.302366061689462,-168.789913754609,0.651009905317039,-83.493335318415,0.651797566052953,-74.1198380662754,0.305456143739337,164.183342061114,501666666666.667,0.319732398436194,-170.006172646024,0.646270826097269,-85.0742962857484,0.645819238852105,-76.7105468792008,0.319195917444766,164.824802118008,501666666666.667,0.313712083658943,-168.831466138084,0.646760954889217,-84.1006318179753,0.646697777988455,-77.5279104758508,0.323305996861928,163.839764673134
502000000000,0.31982086234641,-174.786269783774,0.638871253173901,-92.1394273385173,0.63915567256296,-83.0268112963543,0.331661654643669,162.923184167763,502000000000,0.340810308425599,-172.033875159155,0.638254140998645,-90.1175017757919,0.63899547047403,-80.4280936235162,0.340210928494571,166.724038032357,502000000000,0.320905879957469,-173.158546711976,0.641046710505681,-93.4070215767401,0.641601758450562,-82.5155451000097,0.337906186454582,165.029970768471,502000000000,0.295087972928048,-170.168720440034,0.650348526780246,-84.7894977088063,0.650971359669416,-75.361414075823,0.307754923405127,164.026608730556,502000000000,0.321602984625827,-171.660046838262,0.645997002827596,-86.3226687273918,0.646136093516817,-77.9272404894688,0.320224220188977,164.444527845919,502000000000,0.304426706615809,-171.147143878232,0.646897744843625,-85.312574614703,0.646694705569906,-78.8960053330528,0.325750081326893,164.316868758132
502333333333.333,0.332383339429008,179.492508356454,0.649151041207345,-93.5984666690564,0.648619807472354,-84.6126335939842,0.33895157285115,160.306094211897,502333333333.333,0.351219331359837,-174.661938924974,0.647947048821504,-91.6184439920074,0.647664642751832,-81.9181722500502,0.345471716083486,164.513477487677,502333333333.333,0.333299103557927,179.902514206499,0.65055777009658,-94.8556026730736,0.650092585021979,-83.9393316899385,0.343290551176511,162.875568349459,502333333333.333,0.303041129248866,-177.003826806162,0.658791704669821,-86.2309007544257,0.658523847030571,-76.9343126066512,0.316182832772978,162.765618952548,502333333333.333,0.330169644353999,-174.912590797844,0.654506780098353,-87.8470831275647,0.654176610089457,-79.5821652005014,0.328747238217533,162.721753380369,502333333333.333,0.314331063180512,-178.909508913485,0.65552079686051,-86.7018104147286,0.655139678326939,-80.3895050014364,0.33361805703249,162.732405454547
502666666666.667,0.362920702475683,179.244248330206,0.654997623899216,-95.7228024839617,0.656440282300698,-86.4652879856792,0.351761531249272,158.677098725189,502666666666.667,0.362611823529377,-175.025744948152,0.653245683546773,-93.6598096632001,0.655008886794856,-83.8864024311624,0.35792718974098,163.146907403604,502666666666.667,0.369526690303352,179.176675382151,0.656467647616533,-96.7421108333782,0.656991660608683,-85.7657977294342,0.356366956354072,161.796614989447,502666666666.667,0.339024806243758,-177.958794540865,0.664867446645027,-88.3803740868887,0.665220554801704,-79.0470524778918,0.325296288727319,161.939370039674,502666666666.667,0.347503466336122,-175.243293132253,0.660338532550438,-89.9491655849622,0.66074188813639,-81.7154921407526,0.337860103862206,161.531047351395,502666666666.667,0.35522504058492,-179.554464925297,0.66118108495081,-88.7575818976689,0.661494881967062,-82.4562045733235,0.345415893227475,161.979084965581
503000000000,0.377015225282672,179.218972953176,0.654941617615822,-99.0683767508783,0.65274294688016,-90.0742865798615,0.348439381985472,155.648264972829,503000000000,0.370626439417859,-177.313844599496,0.65464024345977,-96.9582133991242,0.652547111166388,-87.307149180491,0.354143550558537,160.619491378552,503000000000,0.382302593751242,179.787529684202,0.657272458721169,-100.031693937728,0.654136664407287,-89.2160855387264,0.352229128701335,159.564948963881,503000000000,0.351722408148432,-176.383111690189,0.665664749876785,-91.7777629679496,0.664723403868201,-82.3489281254659,0.329074874858342,159.679779310643,503000000000,0.354320262506395,-176.255991860071,0.660747190105076,-93.3093473538622,0.658976447478097,-85.1097273458934,0.340568838193063,158.920241977685,503000000000,0.369685723141737,-177.879958909189,0.661269020566406,-92.0632597644215,0.660178801366423,-85.8245473212872,0.345172879320862,159.966593788295
