1_Freq_Hz,1_EpsReal,1_TanDelta,1_Thickness_mm,2_Freq_Hz,2_EpsReal,2_TanDelta,2_Thickness_mm,3_Freq_Hz,3_EpsReal,3_TanDelta,3_Thickness_mm,4_Freq_Hz,4_EpsReal,4_TanDelta,4_Thickness_mm,5_Freq_Hz,5_EpsReal,5_TanDelta,5_Thickness_mm,6_Freq_Hz,6_EpsReal,6_TanDelta,6_Thickness_mm
500000000000,2.73773552211182,0.0137485215600599,NaN,500000000000,2.73372281748545,0.0136300473224999,NaN,500000000000,2.73867022993864,0.0134301817667738,NaN,500000000000,2.72367653220554,0.0134633731578277,NaN,500000000000,2.72835580434646,0.0135512839665277,NaN,500000000000,2.72775052593288,0.0134650830626428,NaN
500333333333.333,2.7377213057436,0.013752840915401,NaN,500333333333.333,2.73370993220987,0.0136342109358985,NaN,500333333333.333,2.73865342836709,0.0134350213287898,NaN,500333333333.333,2.72366847947088,0.0134683893074086,NaN,500333333333.333,2.72834634279054,0.0135557892409032,NaN,500333333333.333,2.72774086405648,0.013469823592181,NaN
500666666666.667,2.73770710658745,0.013757162775241,NaN,500666666666.667,2.73369706163394,0.0136383771537301,NaN,500666666666.667,2.73863663824196,0.0134398624241126,NaN,500666666666.667,2.723660429674,0.0134734071347702,NaN,500666666666.667,2.7283368882924,0.0135602968505282,NaN,500666666666.667,2.72773121082435,0.013474566202254,NaN
501000000000,2.73769292464337,0.0137614871395799,NaN,501000000000,2.73368420575766,0.0136425459759948,NaN,501000000000,2.73861985956326,0.0134447050527421,NaN,501000000000,2.72365238281489,0.0134784266399123,NaN,501000000000,2.72832744085204,0.0135648067954028,NaN,501000000000,2.72772156623646,0.0134793108928619,NaN
501333333333.333,2.73767875991135,0.0137658140084177,NaN,501333333333.333,2.73367136458103,0.0136467174026924,NaN,501333333333.333,2.73860309233098,0.0134495492146784,NaN,501333333333.333,2.72364433889356,0.0134834478228351,NaN,501333333333.333,2.72831800046946,0.0135693190755269,NaN,501333333333.333,2.72771193029282,0.0134840576640046,NaN
501666666666.667,2.73766461239139,0.0137701433817543,NaN,501666666666.667,2.73365853810405,0.0136508914338231,NaN,501666666666.667,2.73858633654512,0.0134543949099215,NaN,501666666666.667,2.72363629791001,0.0134884706835385,NaN,501666666666.667,2.72830856714466,0.0135738336909005,NaN,501666666666.667,2.72770230299345,0.0134888065156822,NaN
502000000000,2.73765048208349,0.0137744752595898,NaN,502000000000,2.73364572632672,0.0136550680693869,NaN,502000000000,2.73856959220569,0.0134592421384713,NaN,502000000000,2.72362825986423,0.0134934952220225,NaN,502000000000,2.72829914087763,0.0135783506415237,NaN,502000000000,2.72769268433832,0.0134935574478945,NaN
502333333333.333,2.73763636898766,0.0137788096419242,NaN,502333333333.333,2.73363292924904,0.0136592473093836,NaN,502333333333.333,2.73855285931268,0.0134640909003278,NaN,502333333333.333,2.72362022475623,0.0134985214382871,NaN,502333333333.333,2.72828972166839,0.0135828699273964,NaN,502333333333.333,2.72768307432745,0.0134983104606418,NaN
502666666666.667,2.73762227310389,0.0137831465287574,NaN,502666666666.667,2.73362014687101,0.0136634291538134,NaN,502666666666.667,2.73853613786609,0.0134689411954911,NaN,502666666666.667,2.72361219258601,0.0135035493323323,NaN,502666666666.667,2.72828030951692,0.0135873915485186,NaN,502666666666.667,2.72767347296083,0.0135030655539238,NaN
503000000000,2.73760819443219,0.0137874859200896,NaN,503000000000,2.73360737919263,0.0136676136026762,NaN,503000000000,2.73851942786593,0.0134737930239611,NaN,503000000000,2.72360416335357,0.0135085789041581,NaN,503000000000,2.72827090442324,0.0135919155048905,NaN,503000000000,2.72766388023847,0.0135078227277407,NaN
503333333333.333,2.73759413297255,0.0137918278159206,NaN,503333333333.333,2.7335946262139,0.013671800655972,NaN,503333333333.333,2.73850272931219,0.0134786463857379,NaN,503333333333.333,2.7235961370589,0.0135136101537645,NaN,503333333333.333,2.72826150638733,0.0135964417965118,NaN,503333333333.333,2.72765429616036,0.0135125819820924,NaN
503666666666.667,2.73758008872497,0.0137961722162504,NaN,503666666666.667,2.73358188793483,0.0136759903137008,NaN,503666666666.667,2.73848604220487,0.0134835012808215,NaN,503666666666.667,2.72358811370201,0.0135186430811516,NaN,503666666666.667,2.7282521154092,0.0136009704233827,NaN,503666666666.667,2.7276447207265,0.013517343316979,NaN
504000000000,2.73756606168946,0.0138005191210792,NaN,504000000000,2.7335691643554,0.0136801825758627,NaN,504000000000,2.73846936654398,0.0134883577092118,NaN,504000000000,2.7235800932829,0.0135236776863192,NaN,504000000000,2.72824273148885,0.0136055013855031,NaN,504000000000,2.7276351539369,0.0135221067324004,NaN
504333333333.333,2.73755205186601,0.0138048685304068,NaN,504333333333.333,2.73355645547562,0.0136843774424576,NaN,504333333333.333,2.73845270232951,0.0134932156709088,NaN,504333333333.333,2.72357207580156,0.0135287139692675,NaN,504333333333.333,2.72823335462628,0.0136100346828731,NaN,504333333333.333,2.72762559579155,0.0135268722283566,NaN
504666666666.667,2.73753805925462,0.0138092204442333,NaN,504666666666.667,2.7335437612955,0.0136885749134855,NaN,504666666666.667,2.73843604956146,0.0134980751659126,NaN,504666666666.667,2.723564061258,0.0135337519299963,NaN,504666666666.667,2.72822398482148,0.0136145703154926,NaN,504666666666.667,2.72761604629046,0.0135316398048477,NaN
505000000000,2.7375240838553,0.0138135748625587,NaN,505000000000,2.73353108181502,0.0136927749889465,NaN,505000000000,2.73841940823984,0.0135029361942232,NaN,505000000000,2.72355604965221,0.0135387915685058,NaN,505000000000,2.72821462207447,0.0136191082833617,NaN,505000000000,2.72760650543362,0.0135364094618736,NaN
505333333333.333,2.73751012566804,0.0138179317853829,NaN,505333333333.333,2.73351841703419,0.0136969776688404,NaN,505333333333.333,2.73840277836464,0.0135077987558405,NaN,505333333333.333,2.72354804098421,0.0135438328847959,NaN,505333333333.333,2.72820526638523,0.0136236485864803,NaN,505333333333.333,2.72759697322103,0.0135411811994344,NaN
505666666666.667,2.73749618469284,0.0138222912127061,NaN,505666666666.667,2.73350576695302,0.0137011829531674,NaN,505666666666.667,2.73838615993586,0.0135126628507645,NaN,505666666666.667,2.72354003525398,0.0135488758788666,NaN,505666666666.667,2.72819591775377,0.0136281912248485,NaN,505666666666.667,2.7275874496527,0.01354595501753,NaN
506000000000,2.73748226092971,0.013826653144528,NaN,506000000000,2.73349313157149,0.0137053908419274,NaN,506000000000,2.73836955295351,0.0135175284789953,NaN,506000000000,2.72353203246153,0.0135539205507179,NaN,506000000000,2.72818657618009,0.0136327361984662,NaN,506000000000,2.72757793472862,0.0135507309161604,NaN
506333333333.333,2.73746835437864,0.0138310175808489,NaN,506333333333.333,2.73348051088962,0.0137096013351205,NaN,506333333333.333,2.73835295741758,0.0135223956405329,NaN,506333333333.333,2.72352403260685,0.0135589669003498,NaN,506333333333.333,2.72817724166419,0.0136372835073334,NaN,506333333333.333,2.72756842844879,0.0135555088953256,NaN
506666666666.667,2.73745446503964,0.0138353845216687,NaN,506666666666.667,2.73346790490739,0.0137138144327465,NaN,506666666666.667,2.73833637332807,0.0135272643353772,NaN,506666666666.667,2.72351603568996,0.0135640149277623,NaN,506666666666.667,2.72816791420607,0.0136418331514502,NaN,506666666666.667,2.72755893081322,0.0135602889550257,NaN
507000000000,2.7374405929127,0.0138397539669873,NaN,507000000000,2.73345531362482,0.0137180301348056,NaN,507000000000,2.73831980068498,0.0135321345635283,NaN,507000000000,2.72350804171083,0.0135690646329554,NaN,507000000000,2.72815859380573,0.0136463851308165,NaN,507000000000,2.7275494418219,0.0135650710952607,NaN
507333333333.333,2.73742673799782,0.0138441259168047,NaN,507333333333.333,2.73344273704189,0.0137222484412977,NaN,507333333333.333,2.73830323948832,0.0135370063249861,NaN,507333333333.333,2.72350005066949,0.0135741160159291,NaN,507333333333.333,2.72814928046317,0.0136509394454324,NaN,507333333333.333,2.72753996147484,0.0135698553160304,NaN
507666666666.667,2.73741290029501,0.0138485003711211,NaN,507666666666.667,2.73343017515862,0.0137264693522229,NaN,507666666666.667,2.73828668973809,0.0135418796197507,NaN,507666666666.667,2.72349206256592,0.0135791690766834,NaN,507666666666.667,2.72813997417838,0.0136554960952978,NaN,507666666666.667,2.72753048977202,0.0135746416173351,NaN
508000000000,2.73739907980426,0.0138528773299363,NaN,508000000000,2.733417627975,0.013730692867581,NaN,508000000000,2.73827015143427,0.013546754447822,NaN,508000000000,2.72348407740013,0.0135842238152184,NaN,508000000000,2.72813067495138,0.0136600550804127,NaN,508000000000,2.72752102671347,0.0135794299991745,NaN
