Freq_Hz,S11_mag_Mean,S11_phase_Mean,S21_mag_Mean,S21_phase_Mean,S12_mag_Mean,S12_phase_Mean,S22_mag_Mean,S22_phase_Mean
500000000000,0.31843991220946,-169.795088531002,0.659465961535588,-78.356459728196,0.662365187771179,-68.9184340373,0.30648616765029,168.355880828671
500333333333.333,0.335679564584886,-170.707386135197,0.653103876139776,-80.467236415706,0.658002894295653,-70.9043077626352,0.320236087917726,166.917836178832
500666666666.667,0.348390399375874,-167.401285724843,0.648175769818811,-82.0316388069294,0.65076769647774,-72.7645970729009,0.326375440150169,167.43786329957
501000000000,0.325661381643784,-165.723290121568,0.648949001366974,-83.7459382672037,0.652169280533388,-74.4419019737404,0.329078282979954,166.881643842616
501333333333.333,0.316668910633829,-168.502428133218,0.649977507878033,-86.0581432111276,0.652533681071862,-76.8482830691329,0.332948343264567,165.493005954198
501666666666.667,0.320192772618669,-169.813602398711,0.642767651029766,-87.4588130673706,0.643378563130806,-78.4118523132977,0.32840205637432,164.686613596625
502000000000,0.317005254243469,-172.191801423253,0.642451300352954,-88.6606010102823,0.643235636621124,-79.6765102570664,0.327183690825954,164.596541778798
502333333333.333,0.327129469936048,-177.65636287533,0.651606434521576,-90.1246008412112,0.651687146601878,-81.2158090475439,0.334298631529078,162.657223551887
502666666666.667,0.35582401320245,-178.255343130905,0.657401238088266,-92.184744026212,0.658683777209043,-83.2111490659488,0.345671138119446,161.510320033341
503000000000,0.367437267956357,-178.18531983245,0.657987094029517,-95.518019955011,0.656543779281441,-86.6308395838178,0.344800463930263,159.065443619685
503333333333.333,0.361853688096384,-179.441784581058,0.643218358733416,-97.8881899381435,0.643953796762109,-88.9086525724772,0.346891889306274,157.758384547775
503666666666.667,0.364243276754084,179.998058658788,0.632044140038069,-99.2622324574672,0.631809311604827,-90.4527976965381,0.349671492476171,156.279560959721
504000000000,0.361548640909131,-178.982262860717,0.630484714246657,-99.9710206861847,0.629471237667627,-91.4322705433964,0.354595948527517,156.583143286728
504333333333.333,0.353568051318561,-179.885541316051,0.639931646065916,-101.657108427283,0.640504945615697,-92.8043587121706,0.365067666949274,155.725717243775
504666666666.667,0.347714295786871,177.137846743072,0.643699386151123,-104.189926623277,0.644075885515684,-95.4020556929177,0.369001102511206,154.064816261017
505000000000,0.346687657640078,175.788606980424,0.633950944229526,-105.999642132016,0.634524008923321,-97.0031188999554,0.362433109539067,152.905298346435
505333333333.333,0.355728576641999,175.163656300817,0.635333210715089,-106.995228879684,0.636253422436441,-98.0193903886578,0.359862774551229,151.574192192725
505666666666.667,0.361026024057055,174.525649333074,0.645311153592949,-108.666004880459,0.646065945706541,-99.7159040884041,0.357455907224218,149.991089352113
506000000000,0.367768193288419,173.994958988981,0.652742957832724,-111.035369296299,0.655131447922627,-102.148454142334,0.360958057040236,149.469808398118
506333333333.333,0.376239660828,171.167244959389,0.652198378380428,-114.585024588484,0.65510332996917,-105.592659106524,0.365895631387839,146.690068240982
506666666666.667,0.375545149109856,168.907708614641,0.631955808912325,-116.681559330035,0.634371751815491,-107.828412883449,0.362078599373646,144.584674894825
507000000000,0.364983994133267,167.490045995969,0.61987262223609,-117.475492654075,0.622831104311357,-108.670396866122,0.3539960948599,144.11002295066
507333333333.333,0.352093066545362,167.209105395764,0.624208637354556,-117.93474537032,0.627341607656985,-108.971035431513,0.355264074061989,145.735801958681
507666666666.667,0.353561501342515,166.502221269252,0.638725498478466,-119.668355196322,0.642627837484274,-110.613083860084,0.369318262479794,144.732770752352
508000000000,0.355159438395297,165.101067467899,0.641512151155666,-122.486244963447,0.646350147714771,-113.581720891358,0.368997853292291,141.853117519488
