1_Freq_Hz,1_EpsReal,1_TanDelta,1_Thickness_mm,2_Freq_Hz,2_EpsReal,2_TanDelta,2_Thickness_mm,3_Freq_Hz,3_EpsReal,3_TanDelta,3_Thickness_mm,4_Freq_Hz,4_EpsReal,4_TanDelta,4_Thickness_mm,5_Freq_Hz,5_EpsReal,5_TanDelta,5_Thickness_mm,6_Freq_Hz,6_EpsReal,6_TanDelta,6_Thickness_mm
507333333333.333,2.739420228,0.014255273,NaN,507333333333.333,2.73467587,0.014223123,NaN,507333333333.333,2.739729426,0.013952041,NaN,507333333333.333,2.726588216,0.014123658,NaN,507333333333.333,2.730026021,0.014214226,NaN,507333333333.333,2.729596464,0.014205892,NaN
507666666666.667,2.7388,0.013283991,NaN,507666666666.667,2.733925165,0.013230934,NaN,507666666666.667,2.739179256,0.012988105,NaN,507666666666.667,2.725923333,0.013103398,NaN,507666666666.667,2.729188171,0.013210969,NaN,507666666666.667,2.729036084,0.013143121,NaN
508000000000,2.740479067,0.013056676,NaN,508000000000,2.7356944,0.013010194,NaN,508000000000,2.740862323,0.012781879,NaN,508000000000,2.727650877,0.012802257,NaN,508000000000,2.730950934,0.012911688,NaN,508000000000,2.73075724,0.012889349,NaN
508333333333.333,2.739619615,0.013515987,NaN,508333333333.333,2.734877846,0.013541886,NaN,508333333333.333,2.74010571,0.013309289,NaN,508333333333.333,2.726805735,0.013291967,NaN,508333333333.333,2.7302292,0.01340896,NaN,508333333333.333,2.730155993,0.013344093,NaN
508666666666.667,2.738134402,0.013141074,NaN,508666666666.667,2.733252394,0.01314642,NaN,508666666666.667,2.738470266,0.012926019,NaN,508666666666.667,2.725290746,0.012964142,NaN,508666666666.667,2.728870242,0.013067864,NaN,508666666666.667,2.728773694,0.012934775,NaN
509000000000,2.738537537,0.012709873,NaN,509000000000,2.733696587,0.012669298,NaN,509000000000,2.738719035,0.01255089,NaN,509000000000,2.725288649,0.012511074,NaN,509000000000,2.729210432,0.012573951,NaN,509000000000,2.728737914,0.012490954,NaN
509333333333.333,2.739087061,0.012455751,NaN,509333333333.333,2.734163917,0.012376361,NaN,509333333333.333,2.739173632,0.012350175,NaN,509333333333.333,2.726056445,0.012213039,NaN,509333333333.333,2.729864557,0.01224876,NaN,509333333333.333,2.729559865,0.012244144,NaN
509666666666.667,2.741251411,0.012270421,NaN,509666666666.667,2.736369993,0.012246468,NaN,509666666666.667,2.741213952,0.012144345,NaN,509666666666.667,2.728607815,0.012083482,NaN,509666666666.667,2.732149172,0.012170053,NaN,509666666666.667,2.732154282,0.012106445,NaN
510000000000,2.741786403,0.013625878,NaN,510000000000,2.737245642,0.013568853,NaN,510000000000,2.741836282,0.013375231,NaN,510000000000,2.729287707,0.01329694,NaN,510000000000,2.732997553,0.013471855,NaN,510000000000,2.732595113,0.013359267,NaN
510333333333.333,2.739059391,0.014319811,NaN,510333333333.333,2.73478481,0.014251513,NaN,510333333333.333,2.739309463,0.014002018,NaN,510333333333.333,2.726577475,0.014101265,NaN,510333333333.333,2.730366269,0.014257674,NaN,510333333333.333,2.729893188,0.014150359,NaN
