1_Frequency_Hz,1_EpsilonReal,1_TanDelta,2_Frequency_Hz,2_EpsilonReal,2_TanDelta,3_Frequency_Hz,3_EpsilonReal,3_TanDelta,4_Frequency_Hz,4_EpsilonReal,4_TanDelta,5_Frequency_Hz,5_EpsilonReal,5_TanDelta,6_Frequency_Hz,6_EpsilonReal,6_TanDelta
500000000000,2.73093625608787,0.0137667666045175,500000000000,2.72693406759916,0.0136482467024971,500000000000,2.73186904026415,0.013448396906792,500000000000,2.71691319175855,0.0134814829016711,500000000000,2.72158070474593,0.0135694221699382,500000000000,2.72097687307927,0.0134832540499997
500333333333.333,2.73092208737016,0.0137710999955064,500333333333.333,2.726921224136,0.0136524242715225,500333333333.333,2.73185229103649,0.0134532504337813,500333333333.333,2.71690516397624,0.0134865131651902,500333333333.333,2.72157127351827,0.0135739415104178,500333333333.333,2.72096724203448,0.0134880085939134
500666666666.667,2.73090793580059,0.0137754358819458,500666666666.667,2.72690839532142,0.0136566044358988,500666666666.667,2.73183555320992,0.0134581054849917,500666666666.667,2.71689713912286,0.0134915450983196,500666666666.667,2.72156184932401,0.0135784631774924,500666666666.667,2.72095761960552,0.0134927652096394
501000000000,2.73089380137916,0.0137797742638354,501000000000,2.72689558115541,0.0136607871956261,501000000000,2.73181882678444,0.0134629620604234,501000000000,2.71688911719839,0.0134965787010594,501000000000,2.72155243216315,0.0135829871711619,501000000000,2.72094800579241,0.0134975238971777
501333333333.333,2.73087968410587,0.0137841151411754,501333333333.333,2.72688278163798,0.0136649725507043,501333333333.333,2.73180211176005,0.0134678201600764,501333333333.333,2.71688109820285,0.0135016139734094,501333333333.333,2.72154302203568,0.0135875134914264,501333333333.333,2.72093840059513,0.0135022846565282
501666666666.667,2.73086558398073,0.0137884585139657,501666666666.667,2.72686999676913,0.0136691605011334,501666666666.667,2.73178540813674,0.0134726797839506,501666666666.667,2.71687308213622,0.0135066509153698,501666666666.667,2.72153361894161,0.0135920421382859,501666666666.667,2.72092880401369,0.0135070474876911
502000000000,2.73085150100372,0.0137928043822064,502000000000,2.72685722654885,0.0136733510469135,502000000000,2.73176871591453,0.013477540932046,502000000000,2.71686506899851,0.0135116895269406,502000000000,2.72152422288094,0.0135965731117403,502000000000,2.7209192160481,0.0135118123906663
502333333333.333,2.73083743517485,0.0137971527458973,502333333333.333,2.72684447097715,0.0136775441880445,502333333333.333,2.7317520350934,0.0134824036043627,502333333333.333,2.71685705878973,0.0135167298081216,502333333333.333,2.72151483385367,0.0136011064117897,502333333333.333,2.72090963669833,0.0135165793654537
502666666666.667,2.73082338649413,0.0138015036050386,502666666666.667,2.72683173005402,0.0136817399245264,502666666666.667,2.73173536567335,0.0134872678009006,502666666666.667,2.71684905150986,0.013521771758913,502666666666.667,2.72150545185979,0.0136056420384341,502666666666.667,2.72090006596441,0.0135213484120534
503000000000,2.73080935496155,0.0138058569596303,503000000000,2.72681900377947,0.0136859382563593,503000000000,2.7317187076544,0.0134921335216597,503000000000,2.71684104715891,0.0135268153793147,503000000000,2.72149607689931,0.0136101799916735,503000000000,2.72089050384633,0.0135261195304654
503333333333.333,2.7307953405771,0.0138102128096722,503333333333.333,2.7268062921535,0.0136901391835431,503333333333.333,2.73170206103654,0.0134970007666401,503333333333.333,2.71683304573688,0.0135318606693268,503333333333.333,2.72148670897223,0.0136147202715078,503333333333.333,2.72088095034408,0.0135308927206897
503666666666.667,2.7307813433408,0.0138145711551645,503666666666.667,2.7267935951761,0.0136943427060778,503666666666.667,2.73168542581976,0.0135018695358417,503666666666.667,2.71682504724377,0.0135369076289492,503666666666.667,2.72147734807854,0.013619262877937,503666666666.667,2.72087140545768,0.0135356679827263
504000000000,2.73076736325264,0.0138189319961071,504000000000,2.72678091284728,0.0136985488239634,504000000000,2.73166880200407,0.0135067398292645,504000000000,2.71681705167958,0.0135419562581819,504000000000,2.72146799421825,0.0136238078109613,504000000000,2.72086186918711,0.0135404453165752
504333333333.333,2.73075340031262,0.0138232953325001,504333333333.333,2.72676824516703,0.0137027575372,504333333333.333,2.73165218958947,0.0135116116469086,504333333333.333,2.7168090590443,0.0135470065570249,504333333333.333,2.72145864739136,0.0136283550705805,504333333333.333,2.72085234153238,0.0135452247222364
