freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.030303030303028564e+11	1.671451290178754601e+00	6.706822020454728493e-03	8.519066390718761372e-01	2.793704433978609014e+00	2.242025263817667632e-02	8.025277250337909188e-03	2.080358470108278270e+05	8.331098877594715191e+01	8.643550518418594564e-01	4.448588134275512779e-02	8.654990752643155760e-01	5.142176760062205226e-02	8.643550518398124272e-01	4.448588134280858503e-02	8.654990752622738759e-01	5.142176760080530151e-02
3.128054740957965088e+11	1.671076495756690594e+00	6.566878016250886005e-03	8.610382701934449212e-01	2.792453530783580717e+00	2.194751100691635579e-02	7.859579672488853017e-03	1.974449639123563538e+05	8.295550675752257064e+01	7.536807072527230700e-01	-3.320062687035717497e-01	8.235671016641165076e-01	-4.149367180974323221e-01	7.536807072527225149e-01	-3.320062687035721938e-01	8.235671016641160636e-01	-4.149367180974330993e-01
3.225806451612901611e+11	1.671495748760707389e+00	6.652484845520526165e-03	8.995211127156896858e-01	2.793853782570497657e+00	2.223920027596518190e-02	7.960044442806847934e-03	2.226176720175789087e+05	8.377188899404725930e+01	5.719592977407975676e-01	-5.403066093015072013e-01	7.868091702103108265e-01	-7.569479989559837474e-01	5.719592977408003431e-01	-5.403066093015097549e-01	7.868091702103146012e-01	-7.569479989559836364e-01
3.323558162267838135e+11	1.671152686195356285e+00	7.152785604748177796e-03	9.964778562955421970e-01	2.792700138236047458e+00	2.390679375430878814e-02	8.560458542251167535e-03	2.225887111412411905e+05	8.377100386356697470e+01	3.463703255354596000e-01	-7.654722754176591648e-01	8.401905776933165093e-01	-1.145871719802349809e+00	3.463703255341697429e-01	-7.654722754142703200e-01	8.401905776896971823e-01	-1.145871719802085575e+00
3.421309872922774048e+11	1.670871070212354592e+00	7.070566334779856965e-03	1.013994905042937544e+00	2.791760140364284659e+00	2.362800947760212988e-02	8.463481205272531741e-03	2.240989465094236366e+05	8.381700825794258947e+01	-4.021466024223567526e-02	-8.140369103979344656e-01	8.150296377363299705e-01	-1.620157716663424896e+00	-4.021466024223564750e-02	-8.140369103979351317e-01	8.150296377363306366e-01	-1.620157716663424896e+00
3.519061583577710571e+11	1.671005253144417058e+00	7.290917246520754388e-03	1.075469744275578510e+00	2.792205398561941720e+00	2.436632203835481861e-02	8.726550722559345274e-03	2.448461448805113032e+05	8.441939866098742584e+01	-2.985451777005005969e-01	-7.049368631781922634e-01	7.655489561064876547e-01	-1.971401086896791277e+00	-2.985451777005007634e-01	-7.049368631781938177e-01	7.655489561064889870e-01	-1.971401086896790833e+00
3.616813294232647095e+11	1.670823374673593875e+00	7.829271584799561701e-03	1.186961437792505292e+00	2.791589451862108273e+00	2.616265994110176032e-02	9.371958302697469198e-03	2.432598027563649812e+05	8.437517636723104886e+01	-5.649773088980020175e-01	-5.781552797971976076e-01	8.083705135190201174e-01	-2.344667054687215924e+00	-5.649773088962675160e-01	-5.781552797957425494e-01	8.083705135167671418e-01	-2.344667054686939700e+00
3.714565004887583618e+11	1.670719089022030257e+00	7.976897836504072761e-03	1.242027334521328186e+00	2.791238643523508589e+00	2.665431097325177828e-02	9.549276997542861453e-03	2.570932944452246884e+05	8.475146655379442961e+01	-7.558368622995408348e-01	-2.499981753605109991e-01	7.961083155541083256e-01	-2.822162776609467016e+00	-7.558368622995400576e-01	-2.499981753605128032e-01	7.961083155541082146e-01	-2.822162776609464352e+00
3.812316715542520142e+11	1.670880318244007956e+00	8.362509225470425925e-03	1.336333157219669054e+00	2.791771106334651531e+00	2.794550415194495610e-02	1.000995536078705568e-02	2.747843934563997318e+05	8.520421842600539719e+01	-7.375248565290027924e-01	3.674299061392387322e-02	7.384395448223104452e-01	-3.191370823373709698e+00	-7.375248565290033476e-01	3.674299061392370669e-02	7.384395448223110003e-01	-3.191370823373708809e+00
3.910068426197456055e+11	1.670876658541743831e+00	8.778262189000320820e-03	1.438739167953312359e+00	2.791751750172564606e+00	2.933478678832037931e-02	1.050766307803232408e-02	2.850888846374765271e+05	8.545468099839146703e+01	-7.055174305352263087e-01	3.100020501670380235e-01	7.706206043811666406e-01	-3.555593993117652118e+00	-7.055174305348367314e-01	3.100020501666704842e-01	7.706206043806621553e-01	-3.555593993117418083e+00
4.007820136852392578e+11	1.670961500794460930e+00	8.924357473632679033e-03	1.499250982589332315e+00	2.792032692980960018e+00	2.982451551553505151e-02	1.068200798311298196e-02	2.996642108269482269e+05	8.579390978340545360e+01	-4.856180438729350013e-01	5.997749643719534340e-01	7.717220305410191772e-01	-4.031781210901522527e+00	-4.856180438729371662e-01	5.997749643719524348e-01	7.717220305410198433e-01	-4.031781210901518975e+00
4.105571847507329102e+11	1.671072699787064186e+00	9.008054734977181260e-03	1.550221779664414434e+00	2.792402822923519601e+00	3.010622869161592996e-02	1.078147767380354879e-02	3.054457037844979786e+05	8.592391953449988762e+01	-2.090269418476095320e-01	6.871292985664569919e-01	7.182192808374021631e-01	-4.417080500104011875e+00	-2.090269418476082830e-01	6.871292985664573250e-01	7.182192808374020521e-01	-4.417080500104013652e+00
4.203323558162265625e+11	1.671062677773169414e+00	9.203806885716283442e-03	1.621621451242663214e+00	2.792365762985245858e+00	3.076027636030437620e-02	1.101584784058495282e-02	3.151413381052506156e+05	8.613652079853764576e+01	4.433479086613600212e-02	7.415154934349017513e-01	7.428396870692557385e-01	-4.772107321126500601e+00	4.433479086604061314e-02	7.415154934348631155e-01	7.428396870692115517e-01	-4.772107321126374480e+00
4.301075268817202148e+11	1.670842191630864892e+00	9.212270309403181728e-03	1.660859429577284052e+00	2.791628763409578440e+00	3.078449982731831444e-02	1.102743324284974694e-02	3.232792888915424119e+05	8.630997652877910298e+01	3.763856794092900748e-01	6.577864172375061935e-01	7.578582653547741854e-01	-5.232116773649865493e+00	3.763856794092905189e-01	6.577864172375069707e-01	7.578582653547750736e-01	-5.232116773649864605e+00
4.398826979472138672e+11	1.670821968846557093e+00	9.196345317542663905e-03	1.695669902104437687e+00	2.791561478813085806e+00	3.073091157929890016e-02	1.100850252180906631e-02	3.306278388604147476e+05	8.646289531518957006e+01	5.616610189623106875e-01	4.287655205219906840e-01	7.066137359337665291e-01	-5.631170526193931991e+00	5.616610189623094662e-01	4.287655205219918497e-01	7.066137359337663071e-01	-5.631170526193928438e+00
4.496578690127074585e+11	1.670673517790586704e+00	9.552399773422291102e-03	1.800461539764800944e+00	2.791058754705342704e+00	3.191788266561084580e-02	1.143576164844314728e-02	3.407970127588300384e+05	8.666899553369296427e+01	6.826857562718018357e-01	2.168027885227263307e-01	7.162843645701278961e-01	-5.975685172213926144e+00	6.826857562717872918e-01	2.168027885227578611e-01	7.162843645701235662e-01	-5.975685172213877294e+00
4.594330400782011108e+11	1.670398948943509820e+00	9.809743245276293308e-03	1.889161236989467696e+00	2.790136417569044180e+00	3.277236961263042814e-02	1.174579472396691457e-02	3.503712823538214434e+05	8.685749347166678547e+01	7.278004672756335225e-01	-1.010720918327163154e-01	7.347850623917661084e-01	-6.421176089778977136e+00	7.278004672756357429e-01	-1.010720918327186052e-01	7.347850623917686619e-01	-6.421176089778978913e+00
4.692082111436947632e+11	1.670370825288871375e+00	1.000768266482321943e-02	1.968286394776950221e+00	2.790038540263905187e+00	3.343308230413978566e-02	1.198301809156277972e-02	3.586772226844957913e+05	8.701689398155689048e+01	5.823743533448995091e-01	-3.594099384116283824e-01	6.843503424876328234e-01	-6.836116776291885522e+00	5.823743533448991760e-01	-3.594099384116294371e-01	6.843503424876330454e-01	-6.836116776291886410e+00
4.789833822091884155e+11	1.670348338839347191e+00	1.037062461145760693e-02	2.082162026111822772e+00	2.789956023208534752e+00	3.464511118494932596e-02	1.241779830819927759e-02	3.646345484260527883e+05	8.712896481819882410e+01	4.238272741665754517e-01	-5.337973307625974995e-01	6.815930961040783664e-01	-7.182918920894829640e+00	4.238272741665864429e-01	-5.337973307625896169e-01	6.815930961040790326e-01	-7.182918920894809212e+00
4.887585532746820679e+11	1.670289786303287727e+00	1.062055941067530963e-02	2.175859879883276893e+00	2.789755173946886657e+00	3.547882381695646736e-02	1.271754028750909232e-02	3.799254245575192035e+05	8.740844481599050653e+01	1.634469814804152266e-01	-6.845579272877138077e-01	7.038000224264774340e-01	-7.619606780355936415e+00	1.634469814804166143e-01	-6.845579272877130306e-01	7.038000224264768789e-01	-7.619606780355933751e+00
4.985337243401756592e+11	1.670393924260532348e+00	1.071931541899251092e-02	2.240014109170855860e+00	2.790100958483449300e+00	3.581095869623466404e-02	1.283500462137384356e-02	3.793700579044701881e+05	8.739849245685347512e+01	-1.297724255960217010e-01	-6.499704549287023125e-01	6.627989700695825492e-01	-8.051049250041499405e+00	-1.297724255960212847e-01	-6.499704549287028676e-01	6.627989700695828823e-01	-8.051049250041497629e+00
5.083088954056693115e+11	1.670480222601410158e+00	1.097359945738108494e-02	2.338115576487738601e+00	2.790383754217405698e+00	3.666236172860933701e-02	1.313882424709418052e-02	3.934505026607794571e+05	8.764643025842435975e+01	-3.411676496948488624e-01	-5.564893757485048775e-01	6.527448127095824004e-01	-8.403956965465809503e+00	-3.411676496948429782e-01	-5.564893757485104286e-01	6.527448127095839547e-01	-8.403956965465797069e+00
