Frequency_Hz,EpsilonReal_mean,EpsilonReal_std,TanDelta_mean,TanDelta_std
553333333333.333,2.72310994826989,0.00552732801249426,0.0143309798653137,8.72223577781733e-05
553666666666.667,2.72309978705161,0.00552482209029938,0.0143359295188687,8.70614565413292e-05
554000000000,2.72308963612931,0.0055223209560763,0.0143408812862637,8.69013405644759e-05
554333333333.333,2.72307949550301,0.00551982461158177,0.0143458351674988,8.67420106454477e-05
554666666666.667,2.72306936517271,0.00551733305858098,0.0143507911625738,8.65834675731367e-05
555000000000,2.7230592451384,0.00551484629884644,0.0143557492714888,8.6425712127516e-05
555333333333.333,2.72304913540008,0.00551236433414564,0.0143607094942439,8.62687450794924e-05
555666666666.667,2.72303903595776,0.00550988716627065,0.0143656718308389,8.61125671907249e-05
556000000000,2.72302894681143,0.00550741479700029,0.014370636281274,8.59571792133329e-05
556333333333.333,2.72301886796109,0.00550494722812751,0.0143756028455492,8.58025818900274e-05
556666666666.667,2.72300879940674,0.00550248446144829,0.0143805715236642,8.56487759535959e-05
557000000000,2.72299874114839,0.00550002649876642,0.0143855423156194,8.54957621271319e-05
557333333333.333,2.72298869318603,0.00549757334189083,0.0143905152214145,8.53435411235726e-05
557666666666.667,2.72297865551967,0.00549512499262992,0.0143954902410497,8.51921136457114e-05
558000000000,2.7229686281493,0.00549268145280375,0.0144004673745249,8.50414803859412e-05
558333333333.333,2.72295861107492,0.00549024272423849,0.0144054466218401,8.48916420261495e-05
558666666666.667,2.72294860429654,0.00548780880876013,0.0144104279829952,8.47425992376174e-05
559000000000,2.72293860781415,0.00548537970820375,0.0144154114579905,8.45943526807339e-05
559333333333.333,2.72292862162775,0.00548295542441035,0.0144203970468257,8.444690300493e-05
559666666666.667,2.72291864573734,0.00548053595922101,0.0144253847495009,8.43002508484779e-05
560000000000,2.72290868014293,0.00547812131449038,0.0144303745660162,8.41543968383848e-05
560333333333.333,2.72289872484451,0.00547571149206966,0.0144353664963715,8.40093415901423e-05
