sample_signal_time	sample_signal_y	reference_signal_time	reference_signal_y	fft_sample	fft_reference	fft_freq	measured_H	fft_freq_masked	measured_H_masked	magH	phaseH	magH_masked	phaseH_masked	freq_mask_boolean	dynamic_range_db	alpha_max
 (1.679250000000000000e+03+0.000000000000000000e+00j)	 (-5.892800000000000121e-02+0.000000000000000000e+00j)	 (1.679250000000000000e+03+0.000000000000000000e+00j)	 (-1.608176100000000019e+01+0.000000000000000000e+00j)	 (3.253401006137065288e+00+5.840795371383945556e-01j)	 (-7.652967604910616117e+00+1.548941755685372845e+00j)	 (8.308895405669594727e+11+0.000000000000000000e+00j)	 (-3.935475699174229014e-01-1.559737166881606241e-01j)	 (1.133919843597262451e+12+0.000000000000000000e+00j)	 (-1.901498029289927227e-01-1.394044539781550407e-01j)	 (-7.466438426940350759e+00+0.000000000000000000e+00j)	 (-3.399472993413667155e+01+0.000000000000000000e+00j)	 (-1.254999034265025948e+01+0.000000000000000000e+00j)	 (-4.630582060264308097e+01+0.000000000000000000e+00j)	 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.138509577781717041e+02+0.000000000000000000e+00j)	 (8.755754299306900634e+01+0.000000000000000000e+00j)
 (1.679299999999999955e+03+0.000000000000000000e+00j)	 (-3.941999999999999671e-02+0.000000000000000000e+00j)	 (1.679299999999999955e+03+0.000000000000000000e+00j)	 (-1.815018799999999999e+01+0.000000000000000000e+00j)	 (2.733242810624731067e+00-1.718086995792354355e+00j)	 (-6.729655912721434596e+00+4.075004027773995396e+00j)	 (8.406647116324531250e+11+0.000000000000000000e+00j)	 (-4.102986592236111396e-01+6.852996269644233245e-03j)	 (1.143695014662756104e+12+0.000000000000000000e+00j)	 (-2.187278555290248228e-01-5.034495942837523969e-02j)	 (-7.736786652879121817e+00+0.000000000000000000e+00j)	 (-3.438876724746830860e+01+0.000000000000000000e+00j)	 (-1.297772097785412271e+01+0.000000000000000000e+00j)	 (-4.671220551375257912e+01+0.000000000000000000e+00j)	 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.139164803506347710e+02+0.000000000000000000e+00j)	 (8.760828850468907092e+01+0.000000000000000000e+00j)
 (1.679349999999999909e+03+0.000000000000000000e+00j)	 (-2.121400000000000022e-02+0.000000000000000000e+00j)	 (1.679349999999999909e+03+0.000000000000000000e+00j)	 (-2.059442800000000062e+01+0.000000000000000000e+00j)	 (8.830789638876402892e-01-3.079987352751065721e+00j)	 (-4.919779344969028578e+00+6.052954870786182440e+00j)	 (8.504398826979467773e+11+0.000000000000000000e+00j)	 (-3.778211171098758703e-01+1.611969005207404271e-01j)	 (1.153470185728249512e+12+0.000000000000000000e+00j)	 (-2.126939112073629734e-01+3.436135382892476636e-02j)	 (-7.727993611459752721e+00+0.000000000000000000e+00j)	 (-3.477533265102486837e+01+0.000000000000000000e+00j)	 (-1.333300453968636035e+01+0.000000000000000000e+00j)	 (-4.709860615214912372e+01+0.000000000000000000e+00j)	 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.138420698989664572e+02+0.000000000000000000e+00j)	 (8.755103790346913684e+01+0.000000000000000000e+00j)
 (1.679400000000000091e+03+0.000000000000000000e+00j)	 (-3.227599999999999913e-02+0.000000000000000000e+00j)	 (1.679400000000000091e+03+0.000000000000000000e+00j)	 (-2.350832400000000177e+01+0.000000000000000000e+00j)	 (-1.461555397923071098e+00-2.826332419567775922e+00j)	 (-2.592537196836197211e+00+7.357730944173479948e+00j)	 (8.602150537634404297e+11+0.000000000000000000e+00j)	 (-2.794441061175401697e-01+2.971058134710033438e-01j)	 (1.163245356793743164e+12+0.000000000000000000e+00j)	 (-1.776255566607648217e-01+1.119324007724934039e-01j)	 (-7.789488096973890663e+00+0.000000000000000000e+00j)	 (-3.518808836856919697e+01+0.000000000000000000e+00j)	 (-1.355761362780087609e+01+0.000000000000000000e+00j)	 (-4.750073774774687507e+01+0.000000000000000000e+00j)	 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.138431377780439533e+02+0.000000000000000000e+00j)	 (8.755162027113672707e+01+0.000000000000000000e+00j)
 (1.679450000000000045e+03+0.000000000000000000e+00j)	 (-2.104500000000000121e-02+0.000000000000000000e+00j)	 (1.679450000000000045e+03+0.000000000000000000e+00j)	 (-2.703633900000000168e+01+0.000000000000000000e+00j)	 (-2.872966600102780710e+00-1.070908949901306251e+00j)	 (3.202141021366954055e-02+7.740241546089760227e+00j)	 (8.699902248289340820e+11+0.000000000000000000e+00j)	 (-1.398891605987406805e-01+3.705940098672906857e-01j)	 (1.173020527859236816e+12+0.000000000000000000e+00j)	 (-1.111788196350569219e-01+1.657398669227931609e-01j)	 (-8.043524293686521887e+00+0.000000000000000000e+00j)	 (-3.558192582393926529e+01+0.000000000000000000e+00j)	 (-1.399784967700489169e+01+0.000000000000000000e+00j)	 (-4.791837244656830563e+01+0.000000000000000000e+00j)	 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.137751646023787373e+02+0.000000000000000000e+00j)	 (8.749920449303861858e+01+0.000000000000000000e+00j)
 (1.679500000000000000e+03+0.000000000000000000e+00j)	 (-2.753600000000000145e-02+0.000000000000000000e+00j)	 (1.679500000000000000e+03+0.000000000000000000e+00j)	 (-3.127593200000000095e+01+0.000000000000000000e+00j)	 (-2.818310018439561748e+00+1.085758602672376893e+00j)	 (2.629359676793509237e+00+7.226347903233948600e+00j)	 (8.797653958944277344e+11+0.000000000000000000e+00j)	 (7.368372887317966267e-03+3.926857880345241414e-01j)	 (1.182795698924730469e+12+0.000000000000000000e+00j)	 (-3.895034560614472896e-02+1.785119945544181574e-01j)	 (-8.117567490734311164e+00+0.000000000000000000e+00j)	 (-3.596162450976054714e+01+0.000000000000000000e+00j)	 (-1.476466030290335851e+01+0.000000000000000000e+00j)	 (-4.829440572265765752e+01+0.000000000000000000e+00j)	 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.137183458606580331e+02+0.000000000000000000e+00j)	 (8.745566335058896357e+01+0.000000000000000000e+00j)
 (1.679549999999999955e+03+0.000000000000000000e+00j)	 (-2.716999999999999971e-02+0.000000000000000000e+00j)	 (1.679549999999999955e+03+0.000000000000000000e+00j)	 (-3.636124800000000334e+01+0.000000000000000000e+00j)	 (-1.334762581948860660e+00+2.638506733789559355e+00j)	 (4.757740704887138072e+00+5.908547608072903579e+00j)	 (8.895405669599212646e+11+0.000000000000000000e+00j)	 (1.605519546400263065e-01+3.551849440836413185e-01j)	 (1.192570869990224121e+12+0.000000000000000000e+00j)	 (1.835251428110324171e-02+1.704218935307127147e-01j)	 (-8.183471016405929888e+00+0.000000000000000000e+00j)	 (-3.636739809493204234e+01+0.000000000000000000e+00j)	 (-1.531941755151667550e+01+0.000000000000000000e+00j)	 (-4.861650858476399861e+01+0.000000000000000000e+00j)	 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.136002292557914899e+02+0.000000000000000000e+00j)	 (8.736427623150146360e+01+0.000000000000000000e+00j)
 (1.679599999999999909e+03+0.000000000000000000e+00j)	 (-3.325999999999999790e-02+0.000000000000000000e+00j)	 (1.679599999999999909e+03+0.000000000000000000e+00j)	 (-4.242354999999999876e+01+0.000000000000000000e+00j)	 (7.400802256614608110e-01+2.762446799558122557e+00j)	 (6.428236412451853177e+00+4.035480958207971369e+00j)	 (8.993157380254149170e+11+0.000000000000000000e+00j)	 (2.760970197613907828e-01+2.564097565702909143e-01j)	 (1.202346041055717773e+12+0.000000000000000000e+00j)	 (6.758672882589102093e-02+1.542592393888700952e-01j)	 (-8.477865087894535634e+00+0.000000000000000000e+00j)	 (-3.676521491727034885e+01+0.000000000000000000e+00j)	 (-1.547234378282498568e+01+0.000000000000000000e+00j)	 (-4.892217852552568047e+01+0.000000000000000000e+00j)	 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.136047774643155179e+02+0.000000000000000000e+00j)	 (8.736782339808812026e+01+0.000000000000000000e+00j)
 (1.679650000000000091e+03+0.000000000000000000e+00j)	 (-3.272499999999999715e-02+0.000000000000000000e+00j)	 (1.679650000000000091e+03+0.000000000000000000e+00j)	 (-4.977762599999999793e+01+0.000000000000000000e+00j)	 (2.310579416396285168e+00+1.556353839363761482e+00j)	 (7.328720695474324920e+00+1.691492457842875829e+00j)	 (9.090909090909085693e+11+0.000000000000000000e+00j)	 (3.458671468432809593e-01+1.325363879213644624e-01j)	 (1.212121212121211426e+12+0.000000000000000000e+00j)	 (1.149234855151326090e-01+1.276719418807909512e-01j)	 (-8.626776154787805240e+00+0.000000000000000000e+00j)	 (-3.714771849067766141e+01+0.000000000000000000e+00j)	 (-1.530067109301444717e+01+0.000000000000000000e+00j)	 (-4.924212946489926424e+01+0.000000000000000000e+00j)	 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.135259611102848538e+02+0.000000000000000000e+00j)	 (8.730721908262306385e+01+0.000000000000000000e+00j)
 (1.679700000000000045e+03+0.000000000000000000e+00j)	 (-4.692700000000000343e-02+0.000000000000000000e+00j)	 (1.679700000000000045e+03+0.000000000000000000e+00j)	 (-5.884475299999999720e+01+0.000000000000000000e+00j)	 (2.766443824934627038e+00-3.833666663484709969e-01j)	 (7.573644616855739642e+00-7.381509882599393002e-01j)	 (9.188660801564022217e+11+0.000000000000000000e+00j)	 (3.667223842212732343e-01-1.487661247898279700e-02j)	 (1.221896383186705078e+12+0.000000000000000000e+00j)	 (1.582694157327444173e-01+8.317277319768469346e-02j)	 (-8.706110586384799177e+00+0.000000000000000000e+00j)	 (-3.755420318020791370e+01+0.000000000000000000e+00j)	 (-1.495299230840797478e+01+0.000000000000000000e+00j)	 (-4.959617985561671816e+01+0.000000000000000000e+00j)	 (1.000000000000000000e+00+0.000000000000000000e+00j)	 (1.136271576342372214e+02+0.000000000000000000e+00j)	 (8.738529661158648310e+01+0.000000000000000000e+00j)
