Time_abs/ps, Signal/nA
  1675.000,    -0.020409
  1675.050,    -0.008288
  1675.100,    -0.007025
  1675.150,     0.011195
  1675.200,     0.024527
  1675.250,     0.036000
  1675.300,     0.049979
  1675.350,     0.054450
  1675.400,     0.066661
  1675.450,     0.070699
  1675.500,     0.082724
  1675.550,     0.086805
  1675.600,     0.093505
  1675.650,     0.096391
  1675.700,     0.102490
  1675.750,     0.097588
  1675.800,     0.110939
  1675.850,     0.095887
  1675.900,     0.101432
  1675.950,     0.091506
  1676.000,     0.090378
  1676.050,     0.086725
  1676.100,     0.078550
  1676.150,     0.073887
  1676.200,     0.062848
  1676.250,     0.067439
  1676.300,     0.046767
  1676.350,     0.045491
  1676.400,     0.026517
  1676.450,     0.032068
  1676.500,     0.016344
  1676.550,     0.013899
  1676.600,    -0.001629
  1676.650,    -0.002410
  1676.700,    -0.017818
  1676.750,    -0.024693
  1676.800,    -0.036753
  1676.850,    -0.054046
  1676.900,    -0.078020
  1676.950,    -0.097456
  1677.000,    -0.145321
  1677.050,    -0.190897
  1677.100,    -0.266621
  1677.150,    -0.352739
  1677.200,    -0.463492
  1677.250,    -0.579414
  1677.300,    -0.697151
  1677.350,    -0.792320
  1677.400,    -0.824679
  1677.450,    -0.768724
  1677.500,    -0.596632
  1677.550,    -0.301316
  1677.600,     0.100845
  1677.650,     0.568935
  1677.700,     1.053845
  1677.750,     1.471684
  1677.800,     1.806069
  1677.850,     1.988084
  1677.900,     2.026466
  1677.950,     1.931917
  1678.000,     1.699591
  1678.050,     1.384293
  1678.100,     1.012395
  1678.150,     0.619774
  1678.200,     0.253292
  1678.250,    -0.079793
  1678.300,    -0.351872
  1678.350,    -0.558952
  1678.400,    -0.706850
  1678.450,    -0.806314
  1678.500,    -0.860323
  1678.550,    -0.879361
  1678.600,    -0.864119
  1678.650,    -0.829395
  1678.700,    -0.778714
  1678.750,    -0.718707
  1678.800,    -0.642451
  1678.850,    -0.572758
  1678.900,    -0.484031
  1678.950,    -0.395215
  1679.000,    -0.312286
  1679.050,    -0.228762
  1679.100,    -0.159456
  1679.150,    -0.090820
  1679.200,    -0.050840
  1679.250,    -0.018408
  1679.300,     0.010602
  1679.350,     0.016109
  1679.400,     0.025426
  1679.450,     0.014640
  1679.500,     0.020329
  1679.550,     0.006728
  1679.600,     0.008194
  1679.650,     0.003664
  1679.700,    -0.005066
  1679.750,     0.003121
  1679.800,    -0.007617
  1679.850,    -0.002626
  1679.900,    -0.018070
  1679.950,    -0.023604
  1680.000,    -0.047152
  1680.050,    -0.058745
  1680.100,    -0.078583
  1680.150,    -0.111345
  1680.200,    -0.120175
  1680.250,    -0.149461
  1680.300,    -0.163788
  1680.350,    -0.178431
  1680.400,    -0.194377
  1680.450,    -0.195143
  1680.500,    -0.206282
  1680.550,    -0.206049
  1680.600,    -0.206663
  1680.650,    -0.210048
  1680.700,    -0.198434
  1680.750,    -0.216633
  1680.800,    -0.214839
  1680.850,    -0.230989
  1680.900,    -0.244331
  1680.950,    -0.265425
  1681.000,    -0.275609
  1681.050,    -0.298060
  1681.100,    -0.320288
  1681.150,    -0.329800
  1681.200,    -0.347996
  1681.250,    -0.352640
  1681.300,    -0.351886
  1681.350,    -0.357094
  1681.400,    -0.341651
  1681.450,    -0.340660
  1681.500,    -0.325300
  1681.550,    -0.319684
  1681.600,    -0.305313
  1681.650,    -0.296894
  1681.700,    -0.293533
  1681.750,    -0.287097
  1681.800,    -0.280305
  1681.850,    -0.283629
  1681.900,    -0.288502
  1681.950,    -0.286994
  1682.000,    -0.279345
  1682.050,    -0.279994
  1682.100,    -0.275420
  1682.150,    -0.268313
  1682.200,    -0.256023
  1682.250,    -0.250120
  1682.300,    -0.227665
  1682.350,    -0.224992
  1682.400,    -0.217156
  1682.450,    -0.203477
  1682.500,    -0.207209
  1682.550,    -0.209467
  1682.600,    -0.210330
  1682.650,    -0.219948
  1682.700,    -0.234513
  1682.750,    -0.236922
  1682.800,    -0.246199
  1682.850,    -0.259752
  1682.900,    -0.274840
  1682.950,    -0.279248
  1683.000,    -0.294944
  1683.050,    -0.300465
  1683.100,    -0.311550
  1683.150,    -0.326303
  1683.200,    -0.338569
  1683.250,    -0.360792
  1683.300,    -0.361808
  1683.350,    -0.353823
  1683.400,    -0.321619
  1683.450,    -0.258502
  1683.500,    -0.167333
  1683.550,    -0.061472
  1683.600,     0.052072
  1683.650,     0.152883
  1683.700,     0.208776
  1683.750,     0.206199
  1683.800,     0.147083
  1683.850,     0.025662
  1683.900,    -0.131666
  1683.950,    -0.333695
  1684.000,    -0.528435
  1684.050,    -0.730236
  1684.100,    -0.922320
  1684.150,    -1.086993
  1684.200,    -1.223506
  1684.250,    -1.339548
  1684.300,    -1.437704
  1684.350,    -1.518231
  1684.400,    -1.587497
  1684.450,    -1.667643
  1684.500,    -1.740865
  1684.550,    -1.822531
  1684.600,    -1.903574
  1684.650,    -1.998225
  1684.700,    -2.097949
  1684.750,    -2.200384
  1684.800,    -2.325760
  1684.850,    -2.448311
  1684.900,    -2.584936
  1684.950,    -2.750708
  1685.000,    -2.928479
  1685.050,    -3.125946
  1685.100,    -3.363111
  1685.150,    -3.626038
  1685.200,    -3.924779
  1685.250,    -4.262981
  1685.300,    -4.653292
  1685.350,    -5.087529
  1685.400,    -5.579384
  1685.450,    -6.138441
  1685.500,    -6.773311
  1685.550,    -7.507156
  1685.600,    -8.359134
  1685.650,    -9.347415
