freq,epsilon_r,std_epsilon_r,tan_delta,std_tan_delta,thickness
50000000000,2.76527082088842,0.00785354352297496,0.00578029306293169,9.57701804573899e-05,NaN
50050000000,2.7650695335618,0.00781467586687043,0.00770165889307833,0.000100911307915618,NaN
50100000000,2.76726970379859,0.00785357563986101,0.0100093481711734,0.000131462479925169,NaN
50150000000,2.76698942476374,0.00785214250315796,0.0132553022667828,0.000154681583575902,NaN
50200000000,2.75846120017297,0.00744779309088534,0.0213530977261649,0.000137973253951687,NaN
50250000000,2.72496099486823,0.00689542554431522,0.0226733070374408,0.000340157031725418,NaN
50300000000,2.70256237334684,0.0079360513637386,0.0136991121561232,0.00032749573307636,NaN
50350000000,2.70881996426682,0.00819372006087045,0.0061998092080412,0.000161814349373364,NaN
50400000000,2.71291204700922,0.00819705924340011,0.00285062884082597,8.79751951708379e-05,NaN
50450000000,2.69986589136018,0.00784133314123377,-0.0023900115806711,5.93168525743041e-05,NaN
50500000000,2.75215649262157,0.0080337720627133,-0.00606751378286867,4.93605813835002e-05,NaN
50550000000,2.7477780597155,0.00819942757353594,-0.00792065377378373,5.93009799843898e-05,NaN
50600000000,2.77055463254073,0.00815190209585856,-0.0121051033119767,4.16012083570272e-05,NaN
50650000000,2.79289346198742,0.00837742490630622,-0.00237639604711488,6.22270365258481e-05,NaN
50700000000,2.7972871124202,0.0080127157115399,0.00609751895732938,0.000152100847823708,NaN
50750000000,2.78990458242431,0.00751800367517987,0.0152425934190216,0.000224619343422415,NaN
50800000000,2.76137175147215,0.0070769676245339,0.0203030600388726,0.000144292878917815,NaN
50850000000,2.7449510908495,0.00800411009246833,0.0141976722295178,0.000227728588346553,NaN
50900000000,2.75508326581299,0.00870307818226034,0.0121570409277307,0.000166609671716897,NaN
50950000000,2.72374285325659,0.00586554998058862,0.0213013236048354,0.00133805109868422,NaN
51000000000,2.72576214050231,0.00876626089553664,0.00841060882480198,0.000180847168274427,NaN
51050000000,2.73289576203775,0.0082928420035561,0.00696080493430584,5.85472773325859e-05,NaN
51100000000,2.73481286620211,0.00844641538503345,0.00685378647185478,5.17532062826e-05,NaN
51150000000,2.73090558312951,0.00818145845204526,0.00827971313047886,7.21975178655729e-05,NaN
51200000000,2.72230732421832,0.00809249473963434,0.0056439546280229,9.61515952733515e-05,NaN
51250000000,2.71102752654388,0.00836552748996215,0.000479974695936637,0.000103765546129572,NaN
51300000000,2.74758466739491,0.00831325899666573,-0.0301294617189497,0.000108598735572417,NaN
51350000000,2.78880401634793,0.00841393974834943,-0.006895251498441,6.75141330532512e-05,NaN
51400000000,2.79230094492991,0.00850868549565261,0.00246672680874225,2.76896016725915e-05,NaN
51450000000,2.79620108828161,0.00846443806959913,0.0121015903622884,0.000595195371660694,NaN
51500000000,2.75877941312932,0.00946626447766742,0.00951062930459587,0.000255735855956456,NaN
51550000000,2.76845203947007,0.00915703688396675,0.00968778698012175,0.000132443535078793,NaN
51600000000,2.76746969667297,0.00845630066784037,0.0138557870801548,0.000281329501355885,NaN
51650000000,2.76687889724474,0.00869555331779068,0.0183510074148377,0.000724529632092581,NaN
51700000000,2.7377890079292,0.00658770110723793,0.0233813208200581,0.000243889728600606,NaN
51750000000,2.71361438490181,0.00803212214805138,0.0155267816705729,0.000348155092846673,NaN
51800000000,2.71663363228028,0.00868019832397685,0.00831559194177688,0.0001592641295179,NaN
51850000000,2.72210339611978,0.00880507156752249,0.00403483210316582,6.29960091684284e-05,NaN
51900000000,2.72519825315793,0.00888848020959829,0.000198720921513646,8.14837125221205e-05,NaN
51950000000,2.73420268727351,0.00883588384998745,0.000218547974597132,0.000100873846279364,NaN
52000000000,2.73109694970597,0.00878895532180812,-0.00245866568511755,0.000123269395419754,NaN
52050000000,2.74218446882375,0.00878888110439462,-0.0108887197954895,0.000187302301497065,NaN
52100000000,2.77182409544638,0.0088134253459772,-0.0193306600413951,0.000308575010733735,NaN
52150000000,2.81572418781479,0.00848597999992961,0.00576325794735149,0.000577909268182515,NaN
52200000000,2.79384838464925,0.00830481427766265,0.015091272348154,0.000427355249350985,NaN
52250000000,2.75885911367824,0.00745098182201916,0.0199481104283791,0.000132206432733941,NaN
52300000000,2.74511357975214,0.00834894171608544,0.0125371150659087,0.000102599409771396,NaN
52350000000,2.74845241349431,0.0082265982933744,0.0087403387669513,0.000101279680718219,NaN
52400000000,2.75471802694538,0.00833424995612369,0.0080538946764317,0.000129226207907589,NaN
52450000000,2.75977893967785,0.00889400705701003,0.00893618793030078,0.000120154598823496,NaN
52500000000,2.76559873999766,0.0077286190836765,0.0162293282007312,0.000429052287370297,NaN
52550000000,2.73923248945169,0.00857963796362123,0.0152106125744445,0.000613238872822612,NaN
52600000000,2.73140623851486,0.00794117315737853,0.0127328212222666,0.000547352517135169,NaN
52650000000,2.72694979790624,0.00770122504425372,0.00969284066240904,0.000358111894353743,NaN
52700000000,2.72296094212552,0.00733758205512134,0.00643364521097007,3.93877788802342e-05,NaN
52750000000,2.72307315405655,0.00758374366496175,0.00128663415465272,0.000341387252710777,NaN
52800000000,2.741918586124,0.00825933521637911,-0.00404468984821451,0.000341376666270527,NaN
52850000000,2.75202403469493,0.00887393741665833,0.000115420814347425,0.00013894361115072,NaN
52900000000,2.74311259750947,0.00866684922630318,-0.00669726042308766,5.04544702250912e-05,NaN
52950000000,2.78097818951858,0.00852607058827142,0.00374702402215501,7.42001029582251e-05,NaN
53000000000,2.77938184687258,0.00861958382234249,0.0070259337399411,0.000195981099864389,NaN
53050000000,2.77197337459339,0.00550232716910337,0.0217293431398182,0.000241698682366507,NaN
53100000000,2.74804205716736,0.00743885714992715,0.0179656967013515,0.000227215854373368,NaN
53150000000,2.72532841232802,0.00815188409799213,0.0141495343096435,0.000537712558871967,NaN
53200000000,2.72412455787497,0.00861544709599511,0.00682870508983001,0.000222515435747469,NaN
53250000000,2.72957473350243,0.0086590227646814,0.00255295125894672,3.34657144248476e-05,NaN
53300000000,2.73969283041506,0.00855712261989949,-0.000763668742454971,6.8391492764771e-05,NaN
53350000000,2.75313115262479,0.00836880086838344,0.000249333564284653,9.45662527582853e-05,NaN
53400000000,2.75410809270444,0.0082458586297629,0.00245454338051624,8.76322370203972e-05,NaN
53450000000,2.75243039402133,0.00820558534553484,0.00108715596130656,9.9991749948051e-05,NaN
53500000000,2.76464981448675,0.00838448210531316,-0.00305401993077565,0.000182882427533453,NaN
53550000000,2.79423507585974,0.00824279496099047,0.00338141158780347,0.000298526437462624,NaN
53600000000,2.78090709041683,0.00719079605363262,0.0175222443288288,0.000162178261893591,NaN
53650000000,2.74603315701497,0.00766861932625459,0.0173018674507576,0.000347952815612795,NaN
53700000000,2.73554761408258,0.00850935351622389,0.00815822396192877,5.28152516115136e-05,NaN
53750000000,2.75126658646561,0.00763672278264567,0.0105282517125462,7.57250518397458e-05,NaN
53800000000,2.74851905726131,0.00759864277119071,0.00916469627131653,0.000145586868933848,NaN
53850000000,2.74907701629654,0.00806576537587345,0.00943498873142732,0.000153680655317215,NaN
53900000000,2.74729127391569,0.00810862848066029,0.00964859785778511,0.00020349612551455,NaN
53950000000,2.74503114477152,0.00815810874977918,0.0101195742954385,0.000196568987548843,NaN
54000000000,2.741814565437,0.00838152648767819,0.0094026912494344,0.000134342106641929,NaN
54050000000,2.74530204369603,0.00757308617020809,0.011884576702474,0.000456094106241221,NaN
54100000000,2.72471424782429,0.00831199820730071,0.00905308895171973,0.000654634982806045,NaN
54150000000,2.71993644295763,0.00872937960239444,0.00289501986574942,0.000359748391734786,NaN
54200000000,2.73131133423747,0.00893583828323022,-0.00643210363845143,0.000232664037522709,NaN
54250000000,2.76690054070691,0.00918010607361038,-0.00456634480675659,4.54956983241277e-05,NaN
54300000000,2.76521717756159,0.00895787438705776,0.00221989624155667,0.00019961250140133,NaN
