1_Frequency_Hz,1_EpsilonReal,1_TanDelta,2_Frequency_Hz,2_EpsilonReal,2_TanDelta,3_Frequency_Hz,3_EpsilonReal,3_TanDelta,4_Frequency_Hz,4_EpsilonReal,4_TanDelta,5_Frequency_Hz,5_EpsilonReal,5_TanDelta,6_Frequency_Hz,6_EpsilonReal,6_TanDelta
500000000000,2.73694345648879,0.0136604915493841,500000000000,2.73148662278546,0.0134968914401316,500000000000,2.73671751980799,0.0133880179070829,500000000000,2.71992524530718,0.0137348238077236,500000000000,2.72445418813195,0.0136930923376074,500000000000,2.72412149902388,0.0136385670533634
500333333333.333,2.73776383852466,0.0135973927733094,500333333333.333,2.73207578368818,0.0135874698819472,500333333333.333,2.73773727508515,0.0133422268718118,500333333333.333,2.72095582196688,0.0138207198994396,500333333333.333,2.72494356954655,0.0138648727825262,500333333333.333,2.72499879023208,0.013721727684543
500666666666.667,2.73630642882078,0.0136929430494862,500666666666.667,2.73104948303965,0.0137723312776367,500666666666.667,2.73632561235477,0.013268490922162,500666666666.667,2.72041913450197,0.0137811054746325,500666666666.667,2.72462193452384,0.013976132037483,500666666666.667,2.72405227008193,0.0135922123489262
501000000000,2.73491313709473,0.013835859568501,501000000000,2.73043143669308,0.0137217384867,501000000000,2.73518440342557,0.01343668642454,501000000000,2.71975290460982,0.0138360767002089,501000000000,2.72406147138108,0.0138985414227587,501000000000,2.72279987738545,0.013745775689763
501333333333.333,2.73588060513465,0.0138492854632378,501333333333.333,2.7312611909851,0.0136277939667453,501333333333.333,2.73666252690545,0.0135600241513592,501333333333.333,2.72088993334233,0.0138920199981277,501333333333.333,2.72504017387822,0.0137824470065556,501333333333.333,2.72405173593153,0.0138438552485278
501666666666.667,2.73496330626129,0.0143761456969348,501666666666.667,2.73037336524065,0.0141659653541647,501666666666.667,2.73604050692335,0.0140703331467086,501666666666.667,2.72053558135584,0.0142547413799577,501666666666.667,2.7243940244354,0.0142350006121563,501666666666.667,2.72365938064844,0.014213684347093
502000000000,2.73410011706937,0.0144582325310677,502000000000,2.72931117592896,0.01417594850312,502000000000,2.73476196118363,0.0142232218383147,502000000000,2.71940450976725,0.0143313416207252,502000000000,2.72330778791886,0.0142134350906405,502000000000,2.72250975237073,0.0142663285359436
502333333333.333,2.73445037861807,0.0137643340490936,502333333333.333,2.72911256334204,0.0135119887289429,502333333333.333,2.73510269305272,0.0135891513018704,502333333333.333,2.71957873838188,0.0138348406987932,502333333333.333,2.72327927440841,0.0136197156555673,502333333333.333,2.72282558394766,0.0137475756744819
502666666666.667,2.73493976368153,0.0129392212811249,502666666666.667,2.72935420387476,0.0129091089550218,502666666666.667,2.73523466266431,0.0127236224724106,502666666666.667,2.72046981035401,0.0130546217230609,502666666666.667,2.72381007853401,0.0129903001281487,502666666666.667,2.72358137513149,0.012884483775844
503000000000,2.73786053971263,0.0128261297146576,503000000000,2.73236076038197,0.0128291825487712,503000000000,2.73768530322604,0.01258943454442,503000000000,2.72309774845107,0.0127760073915842,503000000000,2.72677569332317,0.012863945975173,503000000000,2.72597363161771,0.0126466915005603
503333333333.333,2.73857368448324,0.0135121510856069,503333333333.333,2.73327912354798,0.0135104726476491,503333333333.333,2.73841974264185,0.0133427522945057,503333333333.333,2.72428639568755,0.0136305672899664,503333333333.333,2.72792033868162,0.0136578490971189,503333333333.333,2.72698619643698,0.0135458411466829
503666666666.667,2.73784185453084,0.0141276619823971,503666666666.667,2.7325637696514,0.0141342321192948,503666666666.667,2.73778394991024,0.0138282999215342,503666666666.667,2.72361949353867,0.014160829343478,503666666666.667,2.72716617997446,0.014258785413248,503666666666.667,2.72639183745263,0.0141347508638046
