1_Frequency_Hz,1_EpsilonReal,1_TanDelta,2_Frequency_Hz,2_EpsilonReal,2_TanDelta,3_Frequency_Hz,3_EpsilonReal,3_TanDelta,4_Frequency_Hz,4_EpsilonReal,4_TanDelta,5_Frequency_Hz,5_EpsilonReal,5_TanDelta,6_Frequency_Hz,6_EpsilonReal,6_TanDelta
500000000000,2.73694255013505,0.0136765593106584,500000000000,2.73148573332067,0.0135129393407589,500000000000,2.73671663201309,0.0134040877935039,500000000000,2.71992436161541,0.0137508127993211,500000000000,2.72445329406359,0.0137091081504804,500000000000,2.72412062317518,0.013654570615361
500333333333.333,2.73776293281221,0.0136134824774769,500333333333.333,2.73207488370894,0.0136035356297557,500333333333.333,2.73773638496017,0.013358314205816,500333333333.333,2.72095492878542,0.0138367368928564,500333333333.333,2.72494266411774,0.0138808911713289,500333333333.333,2.72499789116493,0.0137377600154077
500666666666.667,2.7363055148871,0.0137090424005634,500666666666.667,2.73104856819059,0.0137884082666763,500666666666.667,2.73632472611164,0.0132845880352171,500666666666.667,2.72041823293866,0.0137971376881954,500666666666.667,2.72462101430229,0.0139921815965474,500666666666.667,2.72405138263821,0.0136082438219563
501000000000,2.73491221066241,0.013851965993664,501000000000,2.73043051943843,0.0137378257288579,501000000000,2.73518350645376,0.013452797557636,501000000000,2.71975199665307,0.0138521215304659,501000000000,2.72406055314518,0.0139146009320344,501000000000,2.72279897223469,0.0137618327072194
501333333333.333,2.73587967560818,0.013865412666889,501333333333.333,2.73126028227224,0.0136439034975387,501333333333.333,2.73666161847344,0.0135761546178844,501333333333.333,2.72088901799472,0.0139080849381598,501333333333.333,2.72503926014799,0.013798526292139,501333333333.333,2.72405082486361,0.0138599299315352
501666666666.667,2.73496234061852,0.0143922840817443,501666666666.667,2.730372413245,0.0141820838814607,501666666666.667,2.7360395622413,0.0140864800367297,501666666666.667,2.72053463810349,0.0142708203314152,501666666666.667,2.72439307901577,0.0142510926385563,501666666666.667,2.72365843712087,0.0142297761341669
502000000000,2.73409914485167,0.0144743831178345,502000000000,2.72931022694991,0.0141920813434226,502000000000,2.73476100578162,0.0142393791030957,502000000000,2.71940355938372,0.0143474280205245,502000000000,2.72330684196633,0.0142295413847421,502000000000,2.72250880239842,0.0142824277837784
502333333333.333,2.73444945599027,0.0137805048504757,502333333333.333,2.72911166061666,0.0135281333529102,502333333333.333,2.73510178034222,0.0136053225199185,502333333333.333,2.71957782090694,0.0138509434129639,502333333333.333,2.7232783679501,0.0136358342243032,502333333333.333,2.72282467055435,0.0137636990800233
502666666666.667,2.734938898156,0.0129554071323054,502666666666.667,2.72935334313695,0.0129252732976076,502666666666.667,2.73523381318984,0.0127398126233315,502666666666.667,2.72046894538187,0.0130707440665002,502666666666.667,2.72380921612356,0.0130064396571642,502666666666.667,2.72358052034894,0.0129006259226692
503000000000,2.73785968210948,0.0128423467637614,503000000000,2.73235990311914,0.0128453731925081,503000000000,2.73768446120141,0.0126056488315821,503000000000,2.72309690093901,0.0127921597891547,503000000000,2.7267748374838,0.0128801143790236,503000000000,2.72597279098143,0.0126628556804765
503333333333.333,2.73857277811594,0.0135283875537957,503333333333.333,2.73327821831808,0.0135266863925923,503333333333.333,2.73841884693263,0.0133589857601649,503333333333.333,2.72428548490982,0.0136467381612635,503333333333.333,2.72791942061368,0.0136740359136089,503333333333.333,2.7269852909251,0.0135620306206494
503666666666.667,2.73784090422311,0.0141439080571031,503666666666.667,2.73256281898579,0.0141504556646644,503666666666.667,2.73778301673147,0.0138445465940092,503666666666.667,2.7236185540142,0.0141769987384272,503666666666.667,2.72716522297079,0.0142749922286255,503666666666.667,2.72639087755063,0.0141509604778388
504000000000,2.73497639851655,0.0142185893348217,504000000000,2.73025541565515,0.0142479071129121,504000000000,2.73510319584599,0.0138723705076423,504000000000,2.72139572191832,0.0141821971504366,504000000000,2.72497658957597,0.014328014664441,504000000000,2.7238975955004,0.0141772666594681
504333333333.333,2.73423303292236,0.0136319437891799,504333333333.333,2.72967107358751,0.0135307438811927,504333333333.333,2.73455465853123,0.0133094608172459,504333333333.333,2.72049889177772,0.0136123780458034,504333333333.333,2.72439939572227,0.0136313166981607,504333333333.333,2.72321808259224,0.0136192778147758
504666666666.667,2.73549037850276,0.0134488296401631,504666666666.667,2.73091798398397,0.0132827628781555,504666666666.667,2.7360906318841,0.0131644107569687,504666666666.667,2.72237479240406,0.0133939954400688,504666666666.667,2.72578836205764,0.0133385868671246,504666666666.667,2.72506086882384,0.0133938343682165
505000000000,2.73521126789393,0.0140601581333568,505000000000,2.73049822739676,0.0139661634223095,505000000000,2.73597506526412,0.013807567507077,505000000000,2.72249081872489,0.0139267544819151,505000000000,2.72562295087898,0.0139049438103556,505000000000,2.72501038455524,0.0139007794440842
505333333333.333,2.73378481821278,0.0138513928781012,505333333333.333,2.72878932350055,0.0138337633438324,505333333333.333,2.73430852673975,0.0136258856719367,505333333333.333,2.72087932684026,0.0137760663813584,505333333333.333,2.72406916131906,0.01374597950906,505333333333.333,2.72352573700417,0.0137011477146179
505666666666.667,2.73342726979449,0.0132124542569587,505666666666.667,2.72839308195262,0.0132011141184124,505666666666.667,2.73380155625295,0.0130402863604365,505666666666.667,2.72028671968161,0.0131580865156774,505666666666.667,2.7237513832349,0.0131668341751122,505666666666.667,2.72292552914418,0.0130564796256507
506000000000,2.73402708910197,0.0126364787458458,506000000000,2.72885460513081,0.0126337304911472,506000000000,2.73414134125969,0.0125071398716191,506000000000,2.72076988025274,0.0125120501507325,506000000000,2.72429401835188,0.012563123174249,506000000000,2.72363833766359,0.0124625679396967
