sample_signal_time	sample_signal_y	reference_signal_time	reference_signal_y	fft_sample	fft_reference	fft_freq	measured_H	fft_freq_masked	measured_H_masked	magH	phaseH	magH_masked	phaseH_masked	freq_mask_boolean	dynamic_range_db	alpha_max
 (1.562500000000000000e+00+0.000000000000000000e+00j)	 (2.000000000000000096e-04+0.000000000000000000e+00j)	 (1.562500000000000000e+00+0.000000000000000000e+00j)	 (8.999999999999999754e-04+0.000000000000000000e+00j)	 (-5.835195936891904821e-03-3.245883713630220990e-02j)	 (1.602244825973359738e-02+2.582242278029148533e-02j)	 (6.262230919765166473e+10+0.000000000000000000e+00j)	 (-1.008818007227703761e+00-3.999833197404160101e-01j)	 (3.632093933463796387e+11+0.000000000000000000e+00j)	 (-5.828801099991364199e-01-5.119367368192071499e-01j)	 (7.103483280344899953e-01+0.000000000000000000e+00j)	 (3.822445233006961374e+00+0.000000000000000000e+00j)	 (-2.205272893869081763e+00+0.000000000000000000e+00j)	 (-1.468389570982542836e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.965444596375015252e+01+0.000000000000000000e+00j)	 (2.251981761298479512e+01+0.000000000000000000e+00j)
 (1.718699999999999894e+00+0.000000000000000000e+00j)	 (2.000000000000000096e-04+0.000000000000000000e+00j)	 (1.718699999999999894e+00+0.000000000000000000e+00j)	 (1.100000000000000066e-03+0.000000000000000000e+00j)	 (-1.661614754805020022e-02+4.569846266024379933e-02j)	 (1.097843599077173542e-02-5.462436658369035358e-02j)	 (6.888454011741682434e+10+0.000000000000000000e+00j)	 (-8.628766286378594108e-01-1.307678634895022285e-01j)	 (3.694716242661448364e+11+0.000000000000000000e+00j)	 (-7.174861771963545465e-01-3.263140110437357522e-01j)	 (-1.182409554069459690e+00+0.000000000000000000e+00j)	 (3.595375146849615344e+00+0.000000000000000000e+00j)	 (-2.067215407534870319e+00+0.000000000000000000e+00j)	 (-1.497774510413622195e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.491970327547485908e+01+0.000000000000000000e+00j)	 (2.659293374145923394e+01+0.000000000000000000e+00j)
 (1.875000000000000000e+00+0.000000000000000000e+00j)	 (2.999999999999999737e-04+0.000000000000000000e+00j)	 (1.875000000000000000e+00+0.000000000000000000e+00j)	 (1.000000000000000021e-03+0.000000000000000000e+00j)	 (2.070395151477266715e-02-1.780281756218377726e-02j)	 (-2.401270480951083613e-02+2.349981354644504680e-02j)	 (7.514677103718199158e+10+0.000000000000000000e+00j)	 (-8.110198633077781993e-01-5.230556149238497349e-02j)	 (3.757338551859099731e+11+0.000000000000000000e+00j)	 (-7.223154533782983888e-01-1.008773419610353578e-01j)	 (-1.801343514023997727e+00+0.000000000000000000e+00j)	 (3.509375254906087260e+00+0.000000000000000000e+00j)	 (-2.741570665166728205e+00+0.000000000000000000e+00j)	 (-1.526582424880590239e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.052636710137910114e+01+0.000000000000000000e+00j)	 (2.323078154389976646e+01+0.000000000000000000e+00j)
 (2.031200000000000117e+00+0.000000000000000000e+00j)	 (2.000000000000000096e-04+0.000000000000000000e+00j)	 (2.031200000000000117e+00+0.000000000000000000e+00j)	 (1.100000000000000066e-03+0.000000000000000000e+00j)	 (1.023252625364120746e-02+1.068328432640898960e-02j)	 (-1.152519934244366009e-02-1.810902366365230859e-02j)	 (8.140900195694715881e+10+0.000000000000000000e+00j)	 (-6.758204948524544342e-01+1.349360614985757045e-01j)	 (3.819960861056751709e+11+0.000000000000000000e+00j)	 (-7.250927008518797123e-01+5.075538722203234987e-02j)	 (-3.233602627303539201e+00+0.000000000000000000e+00j)	 (3.247899793488981501e+00+0.000000000000000000e+00j)	 (-2.770901790708685475e+00+0.000000000000000000e+00j)	 (-1.547446952402999543e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.663481327833683565e+01+0.000000000000000000e+00j)	 (2.021780309369960094e+01+0.000000000000000000e+00j)
 (2.187500000000000000e+00+0.000000000000000000e+00j)	 (2.999999999999999737e-04+0.000000000000000000e+00j)	 (2.187500000000000000e+00+0.000000000000000000e+00j)	 (1.000000000000000021e-03+0.000000000000000000e+00j)	 (-7.133365058752181957e-03-1.856734091561394046e-02j)	 (2.665595604880664424e-03+2.192830735309155010e-02j)	 (8.767123287671232605e+10+0.000000000000000000e+00j)	 (-8.733676183740076704e-01+2.191377609039148189e-01j)	 (3.882583170254403076e+11+0.000000000000000000e+00j)	 (-6.928610669665127286e-01+2.066946151068020099e-01j)	 (-9.109035490129790968e-01+0.000000000000000000e+00j)	 (3.199134760772417874e+00+0.000000000000000000e+00j)	 (-2.816817649463050799e+00+0.000000000000000000e+00j)	 (-1.569450023260252181e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.688380718877239417e+01+0.000000000000000000e+00j)	 (2.044243599290522795e+01+0.000000000000000000e+00j)
 (2.343700000000000117e+00+0.000000000000000000e+00j)	 (2.999999999999999737e-04+0.000000000000000000e+00j)	 (2.343700000000000117e+00+0.000000000000000000e+00j)	 (1.000000000000000021e-03+0.000000000000000000e+00j)	 (6.671507363357976651e-03+2.805671299304708546e-04j)	 (-8.340893298566109601e-03-1.894179942515249616e-03j)	 (9.393346379647749329e+10+0.000000000000000000e+00j)	 (-7.678921538715527406e-01+1.407473688878953244e-01j)	 (3.945205479452055054e+11+0.000000000000000000e+00j)	 (-6.545013670882570134e-01+4.214500805069927303e-01j)	 (-2.150489624294174007e+00+0.000000000000000000e+00j)	 (-3.019492794214055031e+00+0.000000000000000000e+00j)	 (-2.175329587181767277e+00+0.000000000000000000e+00j)	 (-1.597667805381584216e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.864264309582590329e+01+0.000000000000000000e+00j)	 (1.411896426344292621e+01+0.000000000000000000e+00j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (4.000000000000000192e-04+0.000000000000000000e+00j)	 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (8.999999999999999754e-04+0.000000000000000000e+00j)	 (-8.644909047834723262e-03-1.237493563448065215e-02j)	 (-8.582233157126107140e-03+8.647187676077082094e-03j)	 (1.001956947162426605e+11+0.000000000000000000e+00j)	 (-2.210879177867760559e-01+1.219163675106799793e+00j)	 (4.007827788649706421e+11+0.000000000000000000e+00j)	 (-4.786601018059800094e-01+5.627235848034601862e-01j)	 (1.861762585811728599e+00+0.000000000000000000e+00j)	 (-4.229616372671798352e+00+0.000000000000000000e+00j)	 (-2.629876937919002344e+00+0.000000000000000000e+00j)	 (-1.627053141823862958e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.171517534578699582e+01+0.000000000000000000e+00j)	 (1.633799539641810128e+01+0.000000000000000000e+00j)
 (2.656200000000000117e+00+0.000000000000000000e+00j)	 (5.000000000000000104e-04+0.000000000000000000e+00j)	 (2.656200000000000117e+00+0.000000000000000000e+00j)	 (8.999999999999999754e-04+0.000000000000000000e+00j)	 (-2.303167596150217794e-02+8.502618324253221030e-06j)	 (1.228020608496772394e-02+2.954232831698520509e-02j)	 (1.064579256360078278e+11+0.000000000000000000e+00j)	 (-2.760801287155755235e-01+6.648546747623070852e-01j)	 (4.070450097847357788e+11+0.000000000000000000e+00j)	 (-3.023883169188865683e-01+6.648499708322307411e-01j)	 (-2.854590333246465939e+00+0.000000000000000000e+00j)	 (-4.015428328939814939e+00+0.000000000000000000e+00j)	 (-2.728947380988882898e+00+0.000000000000000000e+00j)	 (-1.654852479569273527e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.010110175940627641e+01+0.000000000000000000e+00j)	 (2.288967212234776838e+01+0.000000000000000000e+00j)
 (2.812500000000000000e+00+0.000000000000000000e+00j)	 (5.999999999999999474e-04+0.000000000000000000e+00j)	 (2.812500000000000000e+00+0.000000000000000000e+00j)	 (8.999999999999999754e-04+0.000000000000000000e+00j)	 (-6.124353468805314796e-03+2.955123296438263991e-02j)	 (2.802411814756570335e-02+5.615063488481542540e-03j)	 (1.127201565557729950e+11+0.000000000000000000e+00j)	 (-6.974775953954928838e-03+1.055890380506134818e+00j)	 (4.133072407045009766e+11+0.000000000000000000e+00j)	 (-1.606381436292904641e-01+6.693874726124148244e-01j)	 (4.725661617237068013e-01+0.000000000000000000e+00j)	 (-4.402405255902993808e+00+0.000000000000000000e+00j)	 (-3.243277695406417305e+00+0.000000000000000000e+00j)	 (-1.673985735669117503e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.912158335450527957e+01+0.000000000000000000e+00j)	 (2.211181124170641610e+01+0.000000000000000000e+00j)
 (2.968700000000000117e+00+0.000000000000000000e+00j)	 (6.999999999999999929e-04+0.000000000000000000e+00j)	 (2.968700000000000117e+00+0.000000000000000000e+00j)	 (1.100000000000000066e-03+0.000000000000000000e+00j)	 (2.465631789519739936e-02+1.259039739407510211e-02j)	 (2.159285725598260666e-02-2.891631581910173929e-02j)	 (1.189823874755381622e+11+0.000000000000000000e+00j)	 (1.292474081670258457e-01+7.561646925123508556e-01j)	 (4.195694716242661133e+11+0.000000000000000000e+00j)	 (1.732718751712102739e-02+7.262252125475546771e-01j)	 (-2.302609607438457662e+00+0.000000000000000000e+00j)	 (-4.578299731059936484e+00+0.000000000000000000e+00j)	 (-2.776101975464110971e+00+0.000000000000000000e+00j)	 (-1.699923608359916116e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.114745989812464089e+01+0.000000000000000000e+00j)	 (2.368638949365483981e+01+0.000000000000000000e+00j)
