sample_signal_time	sample_signal_y	reference_signal_time	reference_signal_y	fft_sample	fft_reference	fft_freq	measured_H	fft_freq_masked	measured_H_masked	magH	phaseH	magH_masked	phaseH_masked	freq_mask_boolean	dynamic_range_db	alpha_max
 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.999999999999999929e-04+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.999999999999999474e-04+0.000000000000000000e+00j)	 (-6.590704647676162015e-04+0.000000000000000000e+00j)	 (9.754122938530732133e-04+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.756839840147558229e-01+0.000000000000000000e+00j)	 (3.005870841487279663e+11+0.000000000000000000e+00j)	 (8.362517726652671790e-01+1.121278127528650276e-01j)	 (-3.405127503887633189e+00+0.000000000000000000e+00j)	 (3.344905805112461827e+00+0.000000000000000000e+00j)	 (-1.475873066794518573e+00+0.000000000000000000e+00j)	 (-1.222976864823212040e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.162354994142816622e-01+0.000000000000000000e+00j)	 (nan+0.000000000000000000e+00j)
 (1.562000000000000055e-01+0.000000000000000000e+00j)	 (5.000000000000000104e-04+0.000000000000000000e+00j)	 (1.562000000000000055e-01+0.000000000000000000e+00j)	 (5.999999999999999474e-04+0.000000000000000000e+00j)	 (5.020006137357544427e-04-3.878122486441638178e-03j)	 (-1.422974728319266577e-04-1.392633365309665222e-03j)	 (6.262230919765166283e+09+0.000000000000000000e+00j)	 (2.719515185688540004e+00+6.383451482146618172e-01j)	 (3.068493150684931641e+11+0.000000000000000000e+00j)	 (8.319361082999848778e-01-1.666322264294386457e-01j)	 (8.922753748531183859e+00+0.000000000000000000e+00j)	 (4.338669088878396862e-01+0.000000000000000000e+00j)	 (-1.427374866075242776e+00+0.000000000000000000e+00j)	 (-1.256073617924028518e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.921843317153488329e+00+0.000000000000000000e+00j)	 (nan+0.000000000000000000e+00j)
 (3.125000000000000000e-01+0.000000000000000000e+00j)	 (2.999999999999999737e-04+0.000000000000000000e+00j)	 (3.125000000000000000e-01+0.000000000000000000e+00j)	 (1.000000000000000048e-04+0.000000000000000000e+00j)	 (4.690044571451979470e-03+2.402463887494247444e-03j)	 (1.725480789186517074e-03+1.331825615453992914e-03j)	 (1.252446183953033257e+10+0.000000000000000000e+00j)	 (2.376792579372198677e+00-4.422010126779430395e-01j)	 (3.131115459882583008e+11+0.000000000000000000e+00j)	 (7.184859417854636554e-01-3.788721901442410611e-01j)	 (7.667610875557918426e+00+0.000000000000000000e+00j)	 (1.936683030736963129e-02+0.000000000000000000e+00j)	 (-1.806099471125150568e+00+0.000000000000000000e+00j)	 (-1.284832164345624150e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.767889998243958871e+00+0.000000000000000000e+00j)	 (5.228881936260269647e+00+0.000000000000000000e+00j)
 (4.687000000000000055e-01+0.000000000000000000e+00j)	 (4.000000000000000192e-04+0.000000000000000000e+00j)	 (4.687000000000000055e-01+0.000000000000000000e+00j)	 (-2.999999999999999737e-04+0.000000000000000000e+00j)	 (-1.156510743913945205e-02-9.238235017229683686e-05j)	 (-5.264819189276955663e-03-7.244559532592933539e-03j)	 (1.878669275929549789e+10+0.000000000000000000e+00j)	 (7.675306937729426959e-01-1.038599666460548798e+00j)	 (3.193737769080234985e+11+0.000000000000000000e+00j)	 (5.792964177740483889e-01-5.025479384435728170e-01j)	 (2.221420511469056613e+00+0.000000000000000000e+00j)	 (-7.310558666773657732e-01+0.000000000000000000e+00j)	 (-2.305201909827448326e+00+0.000000000000000000e+00j)	 (-1.307763202490104426e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.904185003046009683e+01+0.000000000000000000e+00j)	 (1.432486727893222245e+01+0.000000000000000000e+00j)
 (6.250000000000000000e-01+0.000000000000000000e+00j)	 (2.000000000000000096e-04+0.000000000000000000e+00j)	 (6.250000000000000000e-01+0.000000000000000000e+00j)	 (-6.999999999999999929e-04+0.000000000000000000e+00j)	 (1.087533810724063479e-02-1.514203147110962508e-03j)	 (4.382326929347498887e-03+1.065708295535904362e-02j)	 (2.504892367906066513e+10+0.000000000000000000e+00j)	 (2.374056658083989746e-01-9.228556168687033212e-01j)	 (3.256360078277886353e+11+0.000000000000000000e+00j)	 (4.754962977584475392e-01-6.265747570998745353e-01j)	 (-4.190270130085326783e-01+0.000000000000000000e+00j)	 (-1.115691632751854012e+00+0.000000000000000000e+00j)	 (-2.085250395172660198e+00+0.000000000000000000e+00j)	 (-1.328469240053836842e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.123126797904262730e+01+0.000000000000000000e+00j)	 (1.592601164653480694e+01+0.000000000000000000e+00j)
 (7.812000000000000055e-01+0.000000000000000000e+00j)	 (2.999999999999999737e-04+0.000000000000000000e+00j)	 (7.812000000000000055e-01+0.000000000000000000e+00j)	 (-8.999999999999999754e-04+0.000000000000000000e+00j)	 (-2.741870127429846607e-03+7.862503939042928339e-03j)	 (-9.229084772193370256e-03-4.412261724318076658e-03j)	 (3.131115459882583237e+10+0.000000000000000000e+00j)	 (-8.969905615150484957e-02-8.090431945510946354e-01j)	 (3.318982387475538330e+11+0.000000000000000000e+00j)	 (3.042704540722692141e-01-7.573606925917226729e-01j)	 (-1.787506584446444169e+00+0.000000000000000000e+00j)	 (-1.477902753210767361e+00+0.000000000000000000e+00j)	 (-1.764111948649467188e+00+0.000000000000000000e+00j)	 (-1.355183879804253344e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.019714578059523546e+01+0.000000000000000000e+00j)	 (1.508261574748043543e+01+0.000000000000000000e+00j)
 (9.375000000000000000e-01+0.000000000000000000e+00j)	 (2.999999999999999737e-04+0.000000000000000000e+00j)	 (9.375000000000000000e-01+0.000000000000000000e+00j)	 (-1.000000000000000021e-03+0.000000000000000000e+00j)	 (2.867770648353434697e-04-1.598913151780721395e-02j)	 (2.007735267205968885e-02+3.704481197809675243e-03j)	 (3.757338551859099579e+10+0.000000000000000000e+00j)	 (-1.282886933016308961e-01-7.727058800520743009e-01j)	 (3.381604696673189697e+11+0.000000000000000000e+00j)	 (5.058556783714678734e-02-8.186202859105760066e-01j)	 (-2.121625218378602629e+00+0.000000000000000000e+00j)	 (-1.532007714814399346e+00+0.000000000000000000e+00j)	 (-1.721798169192167105e+00+0.000000000000000000e+00j)	 (-1.387213857258167415e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.619951957650054197e+01+0.000000000000000000e+00j)	 (1.982648976194451151e+01+0.000000000000000000e+00j)
 (1.093699999999999894e+00+0.000000000000000000e+00j)	 (2.000000000000000096e-04+0.000000000000000000e+00j)	 (1.093699999999999894e+00+0.000000000000000000e+00j)	 (-1.299999999999999940e-03+0.000000000000000000e+00j)	 (-4.020608293584652417e-03+1.457414545549456930e-02j)	 (-1.789982589440470770e-02-8.023841388207074432e-03j)	 (4.383561643835616302e+10+0.000000000000000000e+00j)	 (-1.168765669906266097e-01-7.618144724092649200e-01j)	 (3.444227005870841675e+11+0.000000000000000000e+00j)	 (-1.560778836980707129e-01-7.646568980100234558e-01j)	 (-2.261978927092951785e+00+0.000000000000000000e+00j)	 (-1.519714881967750397e+00+0.000000000000000000e+00j)	 (-2.153395813893086874e+00+0.000000000000000000e+00j)	 (-1.413520285686136724e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.585219033984205339e+01+0.000000000000000000e+00j)	 (1.965291249962080400e+01+0.000000000000000000e+00j)
 (1.250000000000000000e+00+0.000000000000000000e+00j)	 (1.000000000000000048e-04+0.000000000000000000e+00j)	 (1.250000000000000000e+00+0.000000000000000000e+00j)	 (-1.100000000000000066e-03+0.000000000000000000e+00j)	 (4.896946151069015048e-03-8.955652123518372323e-03j)	 (7.869199761331538076e-03+6.122086468536179146e-03j)	 (5.009784735812133026e+10+0.000000000000000000e+00j)	 (-1.638987225441349560e-01-1.010553831800931057e+00j)	 (3.506849315068493042e+11+0.000000000000000000e+00j)	 (-3.213304835697394779e-01-6.781434299153739076e-01j)	 (2.039519533790239147e-01+0.000000000000000000e+00j)	 (-1.528270144441738587e+00+0.000000000000000000e+00j)	 (-2.493899541778795914e+00+0.000000000000000000e+00j)	 (-1.437635404141243178e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.997404942496187630e+01+0.000000000000000000e+00j)	 (1.517134411433463193e+01+0.000000000000000000e+00j)
 (1.406199999999999894e+00+0.000000000000000000e+00j)	 (-2.000000000000000096e-04+0.000000000000000000e+00j)	 (1.406199999999999894e+00+0.000000000000000000e+00j)	 (-1.199999999999999895e-03+0.000000000000000000e+00j)	 (-4.287886170726634629e-04+1.052221258874582940e-02j)	 (-6.045334697296195908e-03-4.013023159025426619e-03j)	 (5.636007827788649750e+10+0.000000000000000000e+00j)	 (-7.527709602768034580e-01-1.240845324092347157e+00j)	 (3.569471624266145020e+11+0.000000000000000000e+00j)	 (-4.635962837616244281e-01-6.096774628205599011e-01j)	 (3.235328539169513018e+00+0.000000000000000000e+00j)	 (-1.912785193463964806e+00+0.000000000000000000e+00j)	 (-2.316371207517689879e+00+0.000000000000000000e+00j)	 (-1.458397518430660611e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.721401893393259286e+01+0.000000000000000000e+00j)	 (1.298861142156850690e+01+0.000000000000000000e+00j)
