sample_signal_time	sample_signal_y	reference_signal_time	reference_signal_y	fft_sample	fft_reference	fft_freq	measured_H	fft_freq_masked	measured_H_masked	magH	phaseH	magH_masked	phaseH_masked	freq_mask_boolean	dynamic_range_db	alpha_max
 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.999999999999999737e-04+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.999999999999999474e-04+0.000000000000000000e+00j)	 (-3.689655172413794631e-04+0.000000000000000000e+00j)	 (9.754122938530732133e-04+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-3.782662158007994990e-01+0.000000000000000000e+00j)	 (3.005870841487279663e+11+0.000000000000000000e+00j)	 (8.263106460495289740e-01+1.746158515509521614e-01j)	 (-8.444048904860640192e+00+0.000000000000000000e+00j)	 (9.626393907471907596e+00+0.000000000000000000e+00j)	 (-1.467399657500865207e+00+0.000000000000000000e+00j)	 (-1.215649869521289972e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-2.162354994142816622e-01+0.000000000000000000e+00j)	 (nan+0.000000000000000000e+00j)
 (1.562000000000000055e-01+0.000000000000000000e+00j)	 (4.000000000000000192e-04+0.000000000000000000e+00j)	 (1.562000000000000055e-01+0.000000000000000000e+00j)	 (5.999999999999999474e-04+0.000000000000000000e+00j)	 (2.875996861156174277e-04-3.692633096192594541e-03j)	 (-1.422974728319266577e-04-1.392633365309665222e-03j)	 (6.262230919765166283e+09+0.000000000000000000e+00j)	 (2.603266390855262902e+00+4.725133915603773604e-01j)	 (3.068493150684931641e+11+0.000000000000000000e+00j)	 (8.389258917785819003e-01-1.012072575579886918e-01j)	 (8.451144688751826450e+00+0.000000000000000000e+00j)	 (6.664354375486884585e+00+0.000000000000000000e+00j)	 (-1.462777257652220220e+00+0.000000000000000000e+00j)	 (-1.248481356534965414e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.921843317153488329e+00+0.000000000000000000e+00j)	 (-1.344463615283624414e+01+0.000000000000000000e+00j)
 (3.125000000000000000e-01+0.000000000000000000e+00j)	 (5.999999999999999474e-04+0.000000000000000000e+00j)	 (3.125000000000000000e-01+0.000000000000000000e+00j)	 (1.000000000000000048e-04+0.000000000000000000e+00j)	 (4.568819364869839209e-03+1.983376924412297380e-03j)	 (1.725480789186517074e-03+1.331825615453992914e-03j)	 (1.252446183953033257e+10+0.000000000000000000e+00j)	 (2.215286474458667332e+00-5.604225523115895502e-01j)	 (3.131115459882583008e+11+0.000000000000000000e+00j)	 (7.499351619032657013e-01-3.200941733685875312e-01j)	 (7.178009049727043234e+00+0.000000000000000000e+00j)	 (6.237020120465532003e+00+0.000000000000000000e+00j)	 (-1.772678175479075691e+00+0.000000000000000000e+00j)	 (-1.276817358471677366e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.767889998243958871e+00+0.000000000000000000e+00j)	 (5.224419041620753212e+00+0.000000000000000000e+00j)
 (4.687000000000000055e-01+0.000000000000000000e+00j)	 (6.999999999999999929e-04+0.000000000000000000e+00j)	 (4.687000000000000055e-01+0.000000000000000000e+00j)	 (-2.999999999999999737e-04+0.000000000000000000e+00j)	 (-1.102100064848514534e-02+2.750185979497375504e-04j)	 (-5.264819189276955663e-03-7.244559532592933539e-03j)	 (1.878669275929549789e+10+0.000000000000000000e+00j)	 (6.986261228179388993e-01-1.013568926848888108e+00j)	 (3.193737769080234985e+11+0.000000000000000000e+00j)	 (6.153101401412280902e-01-4.559177940164609866e-01j)	 (1.805274058471122878e+00+0.000000000000000000e+00j)	 (5.517495510092950362e+00+0.000000000000000000e+00j)	 (-2.317559733634908969e+00+0.000000000000000000e+00j)	 (-1.300244250174991478e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.904185003046009683e+01+0.000000000000000000e+00j)	 (1.429561547791189113e+01+0.000000000000000000e+00j)
 (6.250000000000000000e-01+0.000000000000000000e+00j)	 (2.999999999999999737e-04+0.000000000000000000e+00j)	 (6.250000000000000000e-01+0.000000000000000000e+00j)	 (-6.999999999999999929e-04+0.000000000000000000e+00j)	 (1.030903178886148804e-02-1.856309732492939348e-03j)	 (4.382326929347498887e-03+1.065708295535904362e-02j)	 (2.504892367906066513e+10+0.000000000000000000e+00j)	 (1.912565434946341403e-01-8.886937567778322444e-01j)	 (3.256360078277886353e+11+0.000000000000000000e+00j)	 (5.245854234021832818e-01-5.850423181562930397e-01j)	 (-8.283299457429129653e-01+0.000000000000000000e+00j)	 (5.125982617523272999e+00+0.000000000000000000e+00j)	 (-2.093880903877756161e+00+0.000000000000000000e+00j)	 (-1.320458295812941074e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.123126797904262730e+01+0.000000000000000000e+00j)	 (1.589852346725648680e+01+0.000000000000000000e+00j)
 (7.812000000000000055e-01+0.000000000000000000e+00j)	 (4.000000000000000192e-04+0.000000000000000000e+00j)	 (7.812000000000000055e-01+0.000000000000000000e+00j)	 (-8.999999999999999754e-04+0.000000000000000000e+00j)	 (-2.548866304978924385e-03+8.220678064150428385e-03j)	 (-9.229084772193370256e-03-4.412261724318076658e-03j)	 (3.131115459882583237e+10+0.000000000000000000e+00j)	 (-1.218232555136414957e-01-8.324944635750483046e-01j)	 (3.318982387475538330e+11+0.000000000000000000e+00j)	 (3.660862226862017788e-01-7.245237290140280617e-01j)	 (-1.500354880612220221e+00+0.000000000000000000e+00j)	 (4.768701034803081384e+00+0.000000000000000000e+00j)	 (-1.811450619899855008e+00+0.000000000000000000e+00j)	 (-1.346768955196376538e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.019714578059523546e+01+0.000000000000000000e+00j)	 (1.506293096420305488e+01+0.000000000000000000e+00j)
 (9.375000000000000000e-01+0.000000000000000000e+00j)	 (5.000000000000000104e-04+0.000000000000000000e+00j)	 (9.375000000000000000e-01+0.000000000000000000e+00j)	 (-1.000000000000000021e-03+0.000000000000000000e+00j)	 (8.399483844189561694e-04-1.625463250779699692e-02j)	 (2.007735267205968885e-02+3.704481197809675243e-03j)	 (3.757338551859099579e+10+0.000000000000000000e+00j)	 (-1.040034075610940106e-01-7.904106731194251445e-01j)	 (3.381604696673189697e+11+0.000000000000000000e+00j)	 (1.244385060077866784e-01-8.153643493637879880e-01j)	 (-1.968395207010728010e+00+0.000000000000000000e+00j)	 (4.783175039762193492e+00+0.000000000000000000e+00j)	 (-1.672969984876886418e+00+0.000000000000000000e+00j)	 (-1.378410256737872785e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.619951957650054197e+01+0.000000000000000000e+00j)	 (1.984006630243652225e+01+0.000000000000000000e+00j)
 (1.093699999999999894e+00+0.000000000000000000e+00j)	 (6.999999999999999929e-04+0.000000000000000000e+00j)	 (1.093699999999999894e+00+0.000000000000000000e+00j)	 (-1.299999999999999940e-03+0.000000000000000000e+00j)	 (-4.751579083011244278e-03+1.486264324206280907e-02j)	 (-1.789982589440470770e-02-8.023841388207074432e-03j)	 (4.383561643835616302e+10+0.000000000000000000e+00j)	 (-8.888855535016504383e-02-7.904778323642340787e-01j)	 (3.444227005870841675e+11+0.000000000000000000e+00j)	 (-9.178425644576833353e-02-7.731823730275307893e-01j)	 (-1.987634680836907197e+00+0.000000000000000000e+00j)	 (4.802026185655537738e+00+0.000000000000000000e+00j)	 (-2.173587563358791108e+00+0.000000000000000000e+00j)	 (-1.405370775488388801e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.585219033984205339e+01+0.000000000000000000e+00j)	 (1.966604732113976084e+01+0.000000000000000000e+00j)
 (1.250000000000000000e+00+0.000000000000000000e+00j)	 (6.999999999999999929e-04+0.000000000000000000e+00j)	 (1.250000000000000000e+00+0.000000000000000000e+00j)	 (-1.100000000000000066e-03+0.000000000000000000e+00j)	 (5.553058146808542359e-03-9.349688892172677845e-03j)	 (7.869199761331538076e-03+6.122086468536179146e-03j)	 (5.009784735812133026e+10+0.000000000000000000e+00j)	 (-1.362263719466676182e-01-1.082155685723662053e+00j)	 (3.506849315068493042e+11+0.000000000000000000e+00j)	 (-2.570901581373085110e-01-7.036329591664052252e-01j)	 (7.540772855580245571e-01+0.000000000000000000e+00j)	 (4.788779367644180773e+00+0.000000000000000000e+00j)	 (-2.508864464074840761e+00+0.000000000000000000e+00j)	 (-1.428585705690485241e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.997404942496187630e+01+0.000000000000000000e+00j)	 (1.518087430756468947e+01+0.000000000000000000e+00j)
 (1.406199999999999894e+00+0.000000000000000000e+00j)	 (5.999999999999999474e-04+0.000000000000000000e+00j)	 (1.406199999999999894e+00+0.000000000000000000e+00j)	 (-1.199999999999999895e-03+0.000000000000000000e+00j)	 (1.663356506527759193e-04+1.126532168661536007e-02j)	 (-6.045334697296195908e-03-4.013023159025426619e-03j)	 (5.636007827788649750e+10+0.000000000000000000e+00j)	 (-8.777431560322340731e-01-1.280808832180126089e+00j)	 (3.569471624266145020e+11+0.000000000000000000e+00j)	 (-4.022479834346352479e-01-6.481363510130908612e-01j)	 (3.821799738136623326e+00+0.000000000000000000e+00j)	 (4.313210431251259358e+00+0.000000000000000000e+00j)	 (-2.351634577462020204e+00+0.000000000000000000e+00j)	 (-1.449099622847409563e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.721401893393259286e+01+0.000000000000000000e+00j)	 (1.297341692356141785e+01+0.000000000000000000e+00j)
