Freq_Hz,EpsReal_mean,EpsReal_std,TanDelta_mean,TanDelta_std
220000000000,2.75515028105705,0.00121856024527894,0.00762692717615305,0.000190287334178847
220055000000,2.75515036375926,0.00121863137462579,0.00762693614928472,0.000190329874469566
220110000000,2.75515044148721,0.00121870262572246,0.0076269457998314,0.000190372540756473
220165000000,2.75515051424054,0.0012187739984164,0.0076269561276027,0.00019041533293593
220220000000,2.75515058201892,0.00121884549254889,0.00762696713241177,0.00019045825090403
220275000000,2.75515064482198,0.00121891710794613,0.00762697881407535,0.00019050129455663
220330000000,2.75515070264941,0.00121898884445132,0.00762699117241366,0.000190544463789338
220385000000,2.75515075550091,0.00121906070189186,0.00762700420725049,0.000190587758497466
220440000000,2.75515080337617,0.00121913268010167,0.00762701791841312,0.000190631178576105
220495000000,2.75515084627492,0.00121920477889485,0.00762703230573244,0.00019067472392002
220550000000,2.75515088419688,0.00121927699810626,0.00762704736904286,0.000190718394423755
220605000000,2.75515091714181,0.00121934933755848,0.00762706310818231,0.000190762189981532
220660000000,2.75515094510947,0.00121942179706409,0.00762707952299227,0.00019080611048732
220715000000,2.75515096809964,0.00121949437644084,0.00762709661331778,0.00019085015583479
220770000000,2.7551509861121,0.00121956707551203,0.00762711437900743,0.000190894325917297
220825000000,2.75515099914666,0.00121963989407775,0.00762713281991334,0.000190938620627953
220880000000,2.75515100720314,0.00121971283195088,0.0076271519358912,0.000190983039859531
220935000000,2.75515101028138,0.00121978588893211,0.00762717172680023,0.000191027583504518
220990000000,2.75515100838121,0.00121985906483346,0.00762719219250322,0.000191072251455115
221045000000,2.7551510015025,0.00121993235944698,0.0076272133328665,0.000191117043603187
221100000000,2.75515098964513,0.00122000577257706,0.00762723514775992,0.000191161959840252
221155000000,2.75515097280898,0.00122007930401995,0.00762725763705699,0.000191207000057583
221210000000,2.75515095099397,0.00122015295357673,0.00762728080063466,0.000191252164146103
221265000000,2.75515092420001,0.00122022672101893,0.00762730463837348,0.000191297451996416
221320000000,2.75515089242703,0.00122030060614838,0.00762732915015759,0.000191342863498751
221375000000,2.75515085567499,0.00122037460874936,0.00762735433587461,0.000191388398543059
221430000000,2.75515081394384,0.00122044872859639,0.0076273801954158,0.000191434057018938
221485000000,2.75515076723356,0.00122052296548072,0.00762740672867592,0.000191479838815653
221540000000,2.75515071554414,0.00122059731917438,0.00762743393555333,0.0001915257438221
221595000000,2.75515065887558,0.00122067178945384,0.00762746181594992,0.00019157177192685
221650000000,2.7551505972279,0.0012207463760892,0.00762749036977116,0.000191617923018079
221705000000,2.75515053060115,0.00122082107885199,0.00762751959692608,0.000191664196983693
221760000000,2.75515045899535,0.00122089589751287,0.00762754949732728,0.000191710593711148
221815000000,2.75515038241058,0.00122097083183217,0.00762758007089087,0.000191757113087613
221870000000,2.75515030084691,0.00122104588157488,0.00762761131753662,0.0001918037549998
221925000000,2.75515021430444,0.00122112104650098,0.00762764323718779,0.00019185051933413
221980000000,2.75515012278326,0.00122119632635785,0.00762767582977121,0.000191897405976624
222035000000,2.7551500262835,0.00122127172091399,0.0076277090952173,0.00019194441481291
222090000000,2.75514992480529,0.00122134722990992,0.00762774303346008,0.000191991545728215
222145000000,2.75514981834878,0.00122142285310225,0.00762777764443703,0.000192038798607459
222200000000,2.75514970691413,0.00122149859023266,0.00762781292808929,0.000192086173335055
222255000000,2.75514959050151,0.00122157444104749,0.00762784888436156,0.00019213366979512
222310000000,2.75514946911112,0.00122165040528459,0.00762788551320206,0.000192181287871311
222365000000,2.75514934274316,0.0012217264826801,0.00762792281456261,0.000192229027446909
222420000000,2.75514921139786,0.00122180267297771,0.00762796078839859,0.000192276888404807
222475000000,2.75514907507544,0.00122187897590531,0.00762799943466899,0.000192324870627424
222530000000,2.75514893377615,0.0012219553911889,0.00762803875333626,0.000192372973996818
222585000000,2.75514878750026,0.00122203191857229,0.00762807874436657,0.000192421198394637
222640000000,2.75514863624805,0.0012221085577638,0.00762811940772952,0.000192469543702049
