1_Freq_Hz,1_EpsReal,1_TanDelta,1_Thickness_mm,2_Freq_Hz,2_EpsReal,2_TanDelta,2_Thickness_mm,3_Freq_Hz,3_EpsReal,3_TanDelta,3_Thickness_mm,4_Freq_Hz,4_EpsReal,4_TanDelta,4_Thickness_mm,5_Freq_Hz,5_EpsReal,5_TanDelta,5_Thickness_mm
220000000000,2.75548091178895,0.00764680337932538,3,220000000000,2.75593466704025,0.00757715178967399,3,220000000000,2.75656057064614,0.00743827297763726,3,220000000000,2.75375074192344,0.00753311370399231,3,220000000000,2.75402451388646,0.0079392940301363,3
220055000000,2.75548107240969,0.00764680534922706,NaN,220055000000,2.75593465751675,0.00757715936410312,NaN,220055000000,2.75656081032359,0.00743828151037625,NaN,220055000000,2.75375078344975,0.00753304979925015,NaN,220055000000,2.7540244950965,0.007939384723467,NaN
220110000000,2.75548122837691,0.0076468076927253,NaN,220110000000,2.75593464221637,0.00757716765096355,NaN,220110000000,2.75656104565018,0.00743829091877774,NaN,220110000000,2.75375081982953,0.00753298629080811,NaN,220110000000,2.75402447136304,0.0079394764458823,NaN
220165000000,2.75548137968994,0.00764681040951812,NaN,220165000000,2.755934621139,0.00757717665009826,NaN,220165000000,2.75656127662508,0.00743830120272806,NaN,220165000000,2.75375085106258,0.00753292317884758,NaN,220165000000,2.75402444268612,0.00793956919682146,NaN
220220000000,2.75548152634807,0.0076468134993072,NaN,220220000000,2.75593459428456,0.00757718636135393,NaN,220220000000,2.75656150324745,0.00743831236211738,NaN,220220000000,2.75375087714869,0.00753286046355512,NaN,220220000000,2.75402440906582,0.00793966297572521,NaN
220275000000,2.75548166835062,0.00764681696179801,NaN,220275000000,2.75593456165299,0.00757719678458095,NaN,220275000000,2.7565617255164,0.0074383243968397,NaN,220275000000,2.75375089808768,0.00753279814512229,NaN,220275000000,2.75402437050221,0.00793975778203578,NaN
220330000000,2.75548180569692,0.00764682079669971,NaN,220330000000,2.7559345232442,0.00757720791963323,NaN,220330000000,2.75656194343115,0.00743833730679284,NaN,220330000000,2.75375091387937,0.00753273622374569,NaN,220330000000,2.75402432699541,0.00793985361519684,NaN
220385000000,2.75548193838631,0.00764682500372513,NaN,220385000000,2.75593447905819,0.00757721976636856,NaN,220385000000,2.75656215699086,0.00743835109187838,NaN,220385000000,2.75375092452362,0.00753267469962693,NaN,220385000000,2.75402427854555,0.00793995047465343,NaN
220440000000,2.75548206641812,0.00764682958259078,NaN,220440000000,2.7559344290949,0.00757723232464818,NaN,220440000000,2.75656236619476,0.00743836575200178,NaN,220440000000,2.75375093002028,0.00753261357297272,NaN,220440000000,2.75402422515279,0.00794004835985216,NaN
220495000000,2.75548218979171,0.00764683453301698,NaN,220495000000,2.75593437335432,0.00757724559433716,NaN,220495000000,2.75656257104202,0.00743838128707231,NaN,220495000000,2.75375093036923,0.00753255284399479,NaN,220495000000,2.75402416681731,0.00794014727024097,NaN
220550000000,2.75548230850643,0.00764683985472775,NaN,220550000000,2.75593431183646,0.00757725957530418,NaN,220550000000,2.75656277153187,0.00743839769700308,NaN,220550000000,2.75375092557034,0.00753249251290993,NaN,220550000000,2.7540241035393,0.00794024720526937,NaN
220605000000,2.75548242256166,0.00764684554745079,NaN,220605000000,2.75593424454135,0.00757727426742154,NaN,220605000000,2.75656296766355,0.00743841498171099,NaN,220605000000,2.75375091562353,0.00753243257994002,NaN,220605000000,2.75402403531898,0.00794034816438821,NaN
220660000000,2.75548253195675,0.00764685161091753,NaN,220660000000,2.75593417146899,0.00757728967056534,NaN,220660000000,2.75656315943631,0.00743843314111675,NaN,220660000000,2.75375090052871,0.0075323730453119,NaN,220660000000,2.75402396215661,0.00794045014704984,NaN
220715000000,2.7554826366911,0.0076468580448631,NaN,220715000000,2.75593409261944,0.00757730578461524,NaN,220715000000,2.75656334684939,0.00743845217514496,NaN,220715000000,2.75375088028581,0.00753231390925753,NaN,220715000000,2.75402388405245,0.00794055315270807,NaN
220770000000,2.75548273676411,0.00764686484902648,NaN,220770000000,2.75593400799277,0.00757732260945466,NaN,220770000000,2.75656352990207,0.007438472083724,NaN,220770000000,2.75375085489478,0.00753225517201394,NaN,220770000000,2.75402380100677,0.00794065718081808,NaN
220825000000,2.75548283217514,0.00764687202315022,NaN,220825000000,2.75593391758905,0.00757734014497059,NaN,220825000000,2.75656370859363,0.00743849286678609,NaN,220825000000,2.75375082435557,0.00753219683382318,NaN,220825000000,2.75402371301993,0.00794076223083661,NaN
