1_Freq_Hz,1_EpsReal,1_TanDelta,1_Thickness_mm,2_Freq_Hz,2_EpsReal,2_TanDelta,2_Thickness_mm,3_Freq_Hz,3_EpsReal,3_TanDelta,3_Thickness_mm,4_Freq_Hz,4_EpsReal,4_TanDelta,4_Thickness_mm,5_Freq_Hz,5_EpsReal,5_TanDelta,5_Thickness_mm
220000000000,2.75548093109485,0.00764681563096785,3,220000000000,2.75593468636585,0.00757716426855521,3,220000000000,2.75656058994543,0.00743828540845751,3,220000000000,2.75375076105876,0.00753312630325334,3,220000000000,2.75402453327921,0.00793930558515603,3
220055000000,2.7554810917156,0.00764681760098271,NaN,220055000000,2.75593467684231,0.00757717184324879,NaN,220055000000,2.75656082962282,0.00743829394128069,NaN,220055000000,2.75375080258509,0.0075330623985748,NaN,220055000000,2.75402451448899,0.00793939627948487,NaN
220110000000,2.75548124768284,0.00764681994459326,NaN,220110000000,2.7559346615419,0.00757718013037353,NaN,220110000000,2.75656106494935,0.00743830334976398,NaN,220110000000,2.7537508389649,0.00753299889019363,NaN,220110000000,2.75402449075529,0.00793948800290135,NaN
220165000000,2.75548139899587,0.00764682266149762,NaN,220165000000,2.7559346404645,0.00757718912977257,NaN,220165000000,2.75656129592421,0.00743831363379373,NaN,220165000000,2.75375087019797,0.00753293577829132,NaN,220165000000,2.75402446207813,0.00793958075484469,NaN
220220000000,2.755481545654,0.00764682575139743,NaN,220220000000,2.75593461361003,0.00757719884129249,NaN,220220000000,2.7565615225465,0.00743832479326008,NaN,220220000000,2.75375089628411,0.00753287306305436,NaN,220220000000,2.75402442845757,0.00793967453475569,NaN
220275000000,2.75548168765656,0.00764682921399808,NaN,220275000000,2.75593458097843,0.00757720926478364,NaN,220275000000,2.7565617448154,0.00743833682805701,NaN,220275000000,2.75375091722313,0.0075328107446743,NaN,220275000000,2.75402438989372,0.0079397693420765,NaN
220330000000,2.75548182500286,0.00764683304900876,NaN,220330000000,2.75593454256962,0.00757722040010006,NaN,220330000000,2.75656196273009,0.00743834973808234,NaN,220330000000,2.75375093301486,0.00753274882334777,NaN,220330000000,2.75402434638667,0.00793986517625084,NaN
220385000000,2.75548195769226,0.00764683725614232,NaN,220385000000,2.75593449838358,0.00757723224709942,NaN,220385000000,2.75656217628975,0.00743836352323769,NaN,220385000000,2.75375094365914,0.00753268729927638,NaN,220385000000,2.75402429793656,0.00793996203672378,NaN
220440000000,2.75548208572408,0.00764684183511531,NaN,220440000000,2.75593444842026,0.00757724480564303,NaN,220440000000,2.75656238549359,0.00743837818342853,NaN,220440000000,2.75375094915584,0.00753262617266685,NaN,220440000000,2.75402424454354,0.0079400599229418,NaN
220495000000,2.75548220909767,0.00764684678564797,NaN,220495000000,2.75593439267965,0.0075772580755959,NaN,220495000000,2.75656259034079,0.00743839371856404,NaN,220495000000,2.75375094950482,0.00753256544373088,NaN,220495000000,2.7540241862078,0.00794015883435298,NaN
