Frequency/GHz	real_ε	real_ε_SG_filtered	real_ε_SG_filtered+RA	loss_T	loss_T_SG_filtered	loss_T_SG_filtered+RA
140.0	2.733555663	2.7302811497045143	2.72933780107708	0.007516765	0.0066149658018320595	0.006523566941977199
140.1	2.731816841	2.7303036979848656	2.729364852859784	0.007581601	0.006610937637432788	0.006529668974247203
140.2	2.730585782	2.7303235044296947	2.7293894103369634	0.007811577	0.006606916783990366	0.006535284160439251
140.3	2.728398598	2.7303405575768123	2.72941150705005	0.007663841	0.006602947236509552	0.006540422563799013
140.4	2.727865157	2.73035484497231	2.729431177839704	0.006482443	0.006599069281558953	0.006545094369335511
140.5	2.726546628	2.730366353525786	2.7294484587991956	0.006332943	0.006595319276117551	0.00654930990651058
140.6	2.731126031	2.730375069899563	2.7294633872234026	0.005256604	0.006591729461799617	0.006553079670383561
140.7	2.732151714	2.730380980928226	2.7294760015539583	0.006530538	0.006588327816614564	0.006556414341132919
140.8	2.732395039	2.730384074064338	2.72948634132113	0.00737774	0.006585137946057211	0.006559324801907632
140.9	2.730303025	2.7303843378457753	2.7294944470830083	0.007987908	0.006582179014938515	0.006561822154992265
141.0	2.727983342	2.7303817623797038	2.7295003603620174	0.007797361	0.0065794657209609295	0.006563917735637779
141.1	2.727116782	2.7303763398379504	2.7295041235796176	0.006972165	0.006577008310620224	0.006565623123853334
141.2	2.727629444	2.730368064958202	2.7295057799897404	0.006273908	0.006574812637580809	0.006566950154138443
141.3	2.728188235	2.730356935545307	2.729505373611508	0.005902989	0.006572880263228878	0.006567910923155109
141.4	2.728610226	2.7303429529667964	2.7295029491617644	0.005433227	0.006571208598661008	0.006568517795358607
141.5	2.731249701	2.7303261226366873	2.729498551987931	0.005488722	0.006569791086919633	0.006568783406623137
141.6	2.730659879	2.7303064544816493	2.72949222800168	0.004545095	0.006568617423845486	0.0065687206659146265
141.7	2.735095505	2.730283963383674	2.7294840236138764	0.005075923	0.00656767381548479	0.006568342755077287
141.8	2.736260859	2.730258669593559	2.7294739856712495	0.006144341	0.0065669432695703665	0.0065676631268130675
141.9	2.73478191	2.7302305991097358	2.7294621613951495	0.007411118	0.006566405918194986	0.006566695500943933
142.0	2.732543078	2.7301997840172643	2.7294485983227945	0.007696822	0.006566039368416346	0.006565453859055764
142.1	2.730432365	2.7301662627821686	2.729433344251295	0.007716771	0.0065658190771798915	0.006563952437629787
142.2	2.728511409	2.730130080496714	2.7294164538302903	0.007563968	0.006565718746621614	0.00656222012193487
142.3	2.727958135	2.730091289071681	2.7293979754357	0.006941944	0.006565710735520901	0.006560272651447876
142.4	2.727835627	2.730049947372225	2.7293779574025496	0.006737139	0.006565766482415665	0.006558125742256501
142.5	2.729021567	2.7300061212944433	2.7293564479706967	0.005793261	0.0065658569356700745	0.006555795035897228
142.6	2.72903176	2.72995988378038	2.7293334952358626	0.006305094	0.006565952985600518	0.006553296046779438
142.7	2.731931966	2.729911314769806	2.729309147106244	0.00583977	0.0065660258936189415	0.006550644108633044
142.8	2.730961264	2.7298604998773315	2.7292834512648927	0.007051794	0.006566046058412991	0.006547854320427775
142.9	2.729896121	2.729807530942738	2.7292564551380036	0.007309357	0.006565984355330453	0.006544941492220042
143.0	2.728139492	2.7297525057501133	2.7292282058691817	0.007076715	0.006565812437668987	0.006541920091387707
143.1	2.727467852	2.7296955276925385	2.7291987502997226	0.006735075	0.006565503021170602	0.006538804189714709
143.2	2.727328649	2.7296367053855106	2.7291681349548513	0.006463654	0.0065650301492584775	0.0065356074117860225
143.3	2.727630473	2.7295761522328834	2.729136406035838	0.006310465	0.006564369436829123	0.006532342885149353
143.4	2.728408336	2.72951398594962	2.729103609417844	0.005806662	0.006563498290711266	0.006529023192693256
143.5	2.729044173	2.729450328046139	2.7290697906533015	0.005660471	0.006562396105220864	0.006525660327682329
143.6	2.731538028	2.729385303279465	2.729034994980557	0.005929146	0.006561044431575051	0.006522265651854955
143.7	2.730674951	2.729319039076729	2.7289992673374823	0.006188162	0.006559427120272553	0.006518849856980707
143.8	2.732485198	2.729251664936889	2.728962652379704	0.006587149	0.0065575304359001335	0.006515422930253526
143.9	2.73210845	2.7291833118167252	2.728925194503064	0.007369847	0.006555343144179522	0.006511994123873576
144.0	2.728923004	2.7291141115073487	2.7288869378698912	0.007903992	0.006552856571422895	0.006508571929145167
144.1	2.727593209	2.729044196007538	2.72884792643864	0.007169691	0.0065500646369128996	0.006505164055391036
144.2	2.727852501	2.7289736969001916	2.728808203996412	0.006549638	0.006546963859060998	0.006501777413954226
144.3	2.728709586	2.728902744738162	2.7287678141938723	0.00621868	0.006543553336521277	0.006498418107528719
144.4	2.729389293	2.728831468445539	2.7287268005820406	0.006199777	0.00653983470574132	0.00649509142502852
144.5	2.730424556	2.728759994740298	2.728685206650449	0.006514301	0.006535812076713121	0.006491801842172784
144.6	2.731036369	2.7286884475838753	2.7286430758661306	0.006669411	0.006531491948941396	0.006488553027931735
144.7	2.729860922	2.7286169476629443	2.728600451712918	0.007904277	0.006526883109870643	0.0064853478569450885
144.8	2.726700268	2.7285456119082006	2.728557378030334	0.007292782	0.0065219965182027355	0.006482188941535104
144.9	2.726707608	2.7284745530545553	2.728513898816839	0.006973187	0.00651684517469079	0.006479078273118444
145.0	2.726252192	2.7284038792465566	2.72847005826341	0.006544756	0.006511443983110272	0.006476017253451105
145.1	2.726128974	2.728333693692352	2.7284259007836096	0.005956208	0.0065058096041820754	0.006473006729046715
145.2	2.72702738	2.7282640943688645	2.7283814710396466	0.005556109	0.006499960305253084	0.006470047028405268
145.3	2.728651108	2.7281951737802315	2.7283368139639737	0.005780502	0.006493915808525391	0.006467138001665133
145.4	2.728726194	2.7281270187165965	2.7282919747760155	0.006417908	0.006487697080975051	0.006464279062270735
145.5	2.727781897	2.72805971009105	2.728246998993693	0.006590855	0.006481326150839918	0.006461469230232052
145.6	2.727718648	2.7279933228260633	2.728201932439465	0.006345091	0.006474825922251617	0.006458707176539879
145.7	2.728022458	2.7279279257888107	2.7281568212406624	0.006651515	0.006468219989834454	0.006455991268293152
145.8	2.726385326	2.7278635817742525	2.7281117118239857	0.006483298	0.006461532454982673	0.006453319614091202
145.9	2.727644244	2.7278003475343726	2.728066650904059	0.006068499	0.00645478774539966	0.006450690109245006
146.0	2.727925208	2.7277382738515468	2.7280216854660555	0.006134887	0.006448010439341072	0.006448100480367138
146.1	2.727374536	2.727677405653588	2.7279768627424303	0.006103596	0.006441225095852076	0.006445548328910329
146.2	2.728303017	2.7276177821676995	2.7279322301838973	0.005684978	0.006434456092129287	0.006443031173238364
146.3	2.729318918	2.727559437110244	2.7278878354248275	0.005824317	0.0064277274689740925	0.006440546488831359
146.4	2.729822849	2.7275023989090066	2.7278437262433326	0.006390316	0.0064210627851389234	0.006438091746249959
146.5	2.729473207	2.7274466909544457	2.7277999505163377	0.007000722	0.00641448498120481	0.006435664446509202
146.6	2.728189311	2.727392331876267	2.7277565561700134	0.00728691	0.006408016253470725	0.0064332621535429626
146.7	2.728341901	2.7273393358416262	2.7277135911259927	0.007428728	0.006401677938185604	0.006430882523473406
146.8	2.725200378	2.7272877128711865	2.727671103243841	0.007600042	0.006395490406315516	0.0064285233304367025
146.9	2.724044914	2.727237469169347	2.727629140260289	0.006877821	0.006389472968913485	0.006426182488756076
147.0	2.724647226	2.7271886074649756	2.7275877497257817	0.006040994	0.006383643793049934	0.0064238580712957915
147.1	2.725522751	2.7271411273591553	2.727546978938925	0.005818036	0.006378019828169006	0.006421548323874584
147.2	2.726960458	2.7270950256765727	2.7275068748794347	0.005438711	0.00637261674266117	0.006419251675664122
147.3	2.727406649	2.7270502968174055	2.7274674841402193	0.005744996	0.006367448870386034	0.006416966745546897
147.4	2.72803565	2.727006933106774	2.727428852872673	0.005998627	0.006362529166841483	0.0064146923628452795
147.5	2.727845807	2.7269649251391135	2.7273910267243098	0.006350476	0.006357869174656409	0.006412427573758449
147.6	2.727641759	2.7269242621150744	2.7273540507778846	0.006575333	0.006353478998084623	0.006410171644963418
