Time_abs/ps	 Signal 2/nA	 Ref.signal 2/nA
570.0	0.002455	-0.003453
570.05	-0.005117	-0.004187
570.1	0.004953	0.002446
570.15	-0.006152	0.004189
570.2	0.003861	0.001005
570.25	0.002997	0.006078
570.3	0.008707	0.002777
570.35	-0.001811	0.011495
570.4	-0.000309	0.022587
570.45	0.001477	0.010506
570.5	-0.014105	0.028801
570.55	-0.02389	0.038524
570.6	-0.022012	0.044729
570.65	-0.024091	0.06195
570.7	-0.037937	0.056972
570.75	-0.031662	0.074382
570.8	-0.056345	0.077267
570.85	-0.030718	0.081584
570.9	-0.055198	0.087967
570.95	-0.059733	0.111455
571.0	-0.071543	0.110017
571.05	-0.083205	0.122652
571.1	-0.097841	0.131482
571.15	-0.103274	0.137702
571.2	-0.112113	0.135383
571.25	-0.110781	0.140217
571.3	-0.130495	0.135607
571.35	-0.145219	0.143293
571.4	-0.149856	0.134793
571.45	-0.158104	0.147007
571.5	-0.171032	0.141462
571.55	-0.189123	0.158929
571.6	-0.179998	0.156424
571.65	-0.188069	0.156106
571.7	-0.19237	0.163398
571.75	-0.186058	0.153268
571.8	-0.187664	0.144566
571.85	-0.199209	0.14786
571.9	-0.197056	0.12687
571.95	-0.181367	0.140574
572.0	-0.190762	0.130115
572.05	-0.183252	0.112225
572.1	-0.195371	0.100341
572.15	-0.186528	0.106382
572.2	-0.168518	0.089666
572.25	-0.169875	0.079151
572.3	-0.143444	0.068381
572.35	-0.134813	0.073872
572.4	-0.108363	0.058067
572.45	-0.111582	0.042006
572.5	-0.078209	0.024716
572.55	-0.068884	0.007853
572.6	-0.052766	-0.001951
572.65	-0.063664	-0.026466
572.7	-0.043964	-0.027024
572.75	-0.027127	-0.034943
572.8	-0.010259	-0.038042
572.85	-0.002913	-0.035308
572.9	-0.006778	-0.052803
572.95	0.026564	-0.051669
573.0	0.026698	-0.075794
573.05	0.037535	-0.075911
573.1	0.042496	-0.080192
573.15	0.055857	-0.091631
573.2	0.048823	-0.109301
573.25	0.050892	-0.099849
573.3	0.046422	-0.115834
573.35	0.041652	-0.120699
573.4	0.040369	-0.130551
573.45	0.028566	-0.173172
573.5	0.027797	-0.198319
573.55	0.021262	-0.259615
573.6	0.036985	-0.315506
573.65	0.004525	-0.396482
573.7	-0.002505	-0.484627
573.75	-0.020509	-0.552962
573.8	-0.015328	-0.575301
573.85	-0.03259	-0.511025
573.9	-0.052921	-0.295894
573.95	-0.048162	0.08726
574.0	-0.057162	0.612212
574.05	-0.06476	1.20343
574.1	-0.07687	1.701624
574.15	-0.073033	1.974002
574.2	-0.078916	1.939083
574.25	-0.078051	1.661764
574.3	-0.078274	1.258365
574.35	-0.083739	0.815606
574.4	-0.08854	0.413069
574.45	-0.085755	0.083855
574.5	-0.089706	-0.179713
574.55	-0.101933	-0.377745
574.6	-0.070861	-0.520251
574.65	-0.06431	-0.584389
574.7	-0.061568	-0.634379
574.75	-0.061877	-0.673635
574.8	-0.058634	-0.682848
574.85	-0.041539	-0.651049
574.9	-0.045938	-0.577085
574.95	-0.050483	-0.480202
575.0	-0.034871	-0.383497
575.05	-0.022048	-0.305568
575.1	-0.032868	-0.255712
575.15	-0.007349	-0.221735
575.2	-0.013489	-0.173648
575.25	-0.016525	-0.135129
575.3	-0.006553	-0.071731
575.35	-0.01289	-0.018365
575.4	-0.024455	0.029285
575.45	-0.018927	0.093963
575.5	-0.019325	0.161506
575.55	-0.024305	0.230261
575.6	-0.025236	0.278743
575.65	-0.025688	0.267675
575.7	-0.037973	0.208005
575.75	-0.026362	0.120827
575.8	-0.031327	0.028391
575.85	-0.036728	-0.051538
575.9	-0.052567	-0.119542
575.95	-0.051354	-0.151863
576.0	-0.056341	-0.148886
576.05	-0.070763	-0.107158
576.1	-0.054628	-0.036508
576.15	-0.076021	0.043964
576.2	-0.078246	0.086501
576.25	-0.091375	0.078196
576.3	-0.086259	0.026532
576.35	-0.077852	-0.039714
576.4	-0.096345	-0.093618
576.45	-0.107935	-0.121382
576.5	-0.110602	-0.131959
576.55	-0.100768	-0.134541
576.6	-0.102935	-0.143235
576.65	-0.096213	-0.15864
576.7	-0.101665	-0.173507
576.75	-0.100894	-0.193283
576.8	-0.097679	-0.2044
576.85	-0.106644	-0.196151
576.9	-0.092609	-0.197658
576.95	-0.093104	-0.194551
577.0	-0.102193	-0.208438
577.05	-0.107233	-0.224232
577.1	-0.084911	-0.232777
577.15	-0.095869	-0.22975
577.2	-0.076839	-0.201067
577.25	-0.067201	-0.150072
577.3	-0.052533	-0.11267
577.35	-0.050837	-0.091522
577.4	-0.046309	-0.116187
577.45	-0.030223	-0.119921
577.5	-0.01189	-0.152318
577.55	-0.026641	-0.186223
577.6	-0.01782	-0.218369
577.65	-0.00769	-0.271712
577.7	-0.002602	-0.318767
577.75	-0.004982	-0.35651
577.8	-0.01171	-0.348489
577.85	0.007687	-0.304085
577.9	-0.001943	-0.233648
577.95	0.006717	-0.16414
578.0	0.011761	-0.106342
578.05	0.003397	-0.084573
578.1	0.020356	-0.099492
578.15	0.009476	-0.144866
578.2	-0.000968	-0.195615
578.25	9.2e-05	-0.256566
578.3	0.004476	-0.287957
578.35	0.007415	-0.305214
578.4	0.011411	-0.28383
578.45	0.014314	-0.268278
578.5	-0.009557	-0.241859
578.55	-0.01818	-0.209507
578.6	-0.029355	-0.204547
578.65	-0.033826	-0.210928
578.7	-0.045413	-0.214901
578.75	-0.056496	-0.215559
578.8	-0.056928	-0.219518
578.85	-0.06852	-0.203941
578.9	-0.083011	-0.19831
578.95	-0.087436	-0.20558
579.0	-0.103721	-0.214062
579.05	-0.110316	-0.235071
579.1	-0.118285	-0.248959
579.15	-0.12767	-0.24969
579.2	-0.125015	-0.209552
579.25	-0.146649	-0.170579
579.3	-0.159153	-0.165157
579.35	-0.161976	-0.208095
579.4	-0.180463	-0.262695
579.45	-0.184324	-0.300143
579.5	-0.201399	-0.31208
579.55	-0.211273	-0.280213
579.6	-0.217441	-0.250835
579.65	-0.228411	-0.210061
579.7	-0.228127	-0.172729
579.75	-0.240229	-0.135057
579.8	-0.261045	-0.069727
579.85	-0.276169	0.060866
579.9	-0.305909	0.273465
579.95	-0.334077	0.55673
580.0	-0.361312	0.827509
580.05	-0.372578	1.026556
580.1	-0.396063	1.065715
580.15	-0.403051	0.902108
580.2	-0.350677	0.525362
580.25	-0.298438	0.013063
580.3	-0.213677	-0.547894
580.35	-0.084702	-1.078285
580.4	0.059563	-1.544266
580.45	0.198893	-1.88931
580.5	0.325393	-2.1422
580.55	0.43805	-2.306917
580.6	0.509463	-2.405586
580.65	0.537903	-2.468711
580.7	0.548571	-2.484902
580.75	0.520416	-2.521491
580.8	0.438429	-2.562211
580.85	0.351493	-2.633739
580.9	0.250259	-2.726388
580.95	0.135822	-2.827919
581.0	0.016976	-2.903732
581.05	-0.109676	-2.990292
581.1	-0.212277	-3.098906
581.15	-0.279588	-3.221807
581.2	-0.357502	-3.373155
581.25	-0.421376	-3.547436
581.3	-0.454035	-3.717808
581.35	-0.488964	-3.907469
581.4	-0.505589	-4.114672
581.45	-0.492254	-4.366851
581.5	-0.470699	-4.688503
581.55	-0.464861	-5.110962
581.6	-0.441207	-5.673262
581.65	-0.396842	-6.387683
581.7	-0.361626	-7.246814
581.75	-0.314431	-8.224384
581.8	-0.267865	-9.325044
581.85	-0.224992	-10.562122
581.9	-0.188328	-11.942307
581.95	-0.164957	-13.485947
582.0	-0.150231	-15.158143
582.05	-0.138731	-16.943218
582.1	-0.137236	-18.869668
582.15	-0.130656	-20.956626
582.2	-0.131688	-23.20168
582.25	-0.154167	-25.663567
582.3	-0.185817	-28.364726
582.35	-0.194214	-31.285722
582.4	-0.172552	-34.441589
582.45	-0.181619	-37.820567
582.5	-0.183317	-41.438339
582.55	-0.169979	-45.279585
582.6	-0.171321	-49.245853
582.65	-0.178493	-53.071901
582.7	-0.170364	-56.228662
582.75	-0.191728	-57.817419
582.8	-0.195745	-56.381669
582.85	-0.212993	-49.67796
582.9	-0.248615	-34.456005
582.95	-0.257806	-6.283087
583.0	-0.27319	40.185965
583.05	-0.279905	110.210451
583.1	-0.303394	206.33442
583.15	-0.311673	324.386905
583.2	-0.323423	449.930203
583.25	-0.327044	558.060609
583.3	-0.341655	619.023639
583.35	-0.328445	609.860308
583.4	-0.335205	526.454253
583.45	-0.350283	386.716341
583.5	-0.352359	221.714626
583.55	-0.346648	60.822972
583.6	-0.346298	-78.716836
583.65	-0.352252	-191.284589
583.7	-0.347847	-275.988344
583.75	-0.345602	-333.019119
583.8	-0.351641	-364.765847
583.85	-0.355342	-376.902801
583.9	-0.357886	-375.713813
583.95	-0.363362	-364.687655
584.0	-0.378291	-344.325919
584.05	-0.392693	-314.307709
584.1	-0.40369	-275.799761
584.15	-0.419284	-232.556841
584.2	-0.412574	-190.074402
584.25	-0.402568	-152.546805
584.3	-0.395845	-120.455905
584.35	-0.406247	-91.421183
584.4	-0.393409	-63.098097
584.45	-0.390665	-34.922416
584.5	-0.388039	-7.79247
584.55	-0.388016	16.874048
584.6	-0.38825	38.285852
584.65	-0.393732	56.878215
584.7	-0.401857	72.706179
584.75	-0.400508	83.260052
584.8	-0.420346	84.386055
584.85	-0.436403	73.945754
584.9	-0.422665	54.097827
584.95	-0.432855	30.332255
585.0	-0.427371	8.484821
585.05	-0.421698	-7.650596
585.1	-0.411435	-16.289925
585.15	-0.412929	-16.523222
585.2	-0.414067	-8.005532
585.25	-0.408342	7.797911
585.3	-0.401615	26.700399
585.35	-0.404944	42.683317
585.4	-0.406544	50.045243
585.45	-0.412348	46.142867
585.5	-0.412425	33.483887
585.55	-0.417848	18.666355
585.6	-0.431154	7.733444
585.65	-0.420929	2.434089
585.7	-0.423082	0.837304
585.75	-0.434891	0.443717
585.8	-0.430582	0.054502
585.85	-0.43886	-0.487788
585.9	-0.433847	-1.008638
585.95	-0.411303	-1.041653
586.0	-0.405563	0.023238
586.05	-0.38267	2.230968
586.1	-0.369389	4.673939
586.15	-0.313179	5.976541
586.2	-0.2528	5.623771
586.25	-0.190805	4.809308
586.3	-0.122101	5.717969
586.35	-0.053847	9.887931
586.4	0.006685	16.956339
586.45	0.043296	24.753633
586.5	0.034597	30.641183
586.55	-0.013053	32.966221
586.6	-0.096595	31.857495
586.65	-0.202093	28.852345
586.7	-0.367258	25.237851
586.75	-0.535971	20.334709
586.8	-0.750401	12.034069
586.85	-0.971626	-0.196626
586.9	-1.157436	-12.834756
586.95	-1.352441	-19.855198
587.0	-1.552661	-17.398283
587.05	-1.720894	-6.748203
587.1	-1.87964	7.287158
587.15	-2.020366	19.845549
587.2	-2.159289	27.626892
587.25	-2.28509	28.351122
587.3	-2.399926	20.897783
587.35	-2.518135	6.805567
587.4	-2.61161	-9.337976
587.45	-2.706423	-22.312867
587.5	-2.819867	-28.830626
587.55	-2.924261	-28.041511
587.6	-3.046	-21.186937
587.65	-3.177339	-11.165841
587.7	-3.313005	-1.40799
587.75	-3.479664	5.534505
587.8	-3.683904	8.936674
587.85	-3.913332	9.645342
587.9	-4.208121	9.120681
587.95	-4.559333	8.424372
588.0	-4.957401	7.964563
588.05	-5.436081	7.91454
588.1	-6.013334	8.050999
588.15	-6.647889	7.269715
588.2	-7.389781	4.313343
588.25	-8.24047	-0.465361
588.3	-9.179299	-4.34649
588.35	-10.227827	-4.34826
588.4	-11.412782	-0.782348
588.45	-12.706545	1.935295
588.5	-14.135315	-1.12849
588.55	-15.686522	-10.708181
588.6	-17.389724	-22.094254
588.65	-19.227988	-28.67061
588.7	-21.219929	-26.713764
588.75	-23.366825	-17.606816
588.8	-25.626057	-6.069414
588.85	-27.983584	3.216357
588.9	-30.348201	7.754571
588.95	-32.550954	7.48564
589.0	-34.347135	4.562705
589.05	-35.387077	2.346551
589.1	-35.085522	3.16321
589.15	-32.666672	6.395268
