sample_signal_time	sample_signal_y	reference_signal_time	reference_signal_y	fft_sample	fft_reference	fft_freq	measured_H	fft_freq_masked	measured_H_masked	magH	phaseH	magH_masked	phaseH_masked	freq_mask_boolean	dynamic_range_db	alpha_max
 (5.705000000000000000e+02+0.000000000000000000e+00j)	 (1.581899999999999973e-02+0.000000000000000000e+00j)	 (5.705000000000000000e+02+0.000000000000000000e+00j)	 (2.880100000000000021e-02+0.000000000000000000e+00j)	 (-6.284782601576656136e-01+4.165182536965555266e-02j)	 (3.203068877683786786e-01+8.017085154303414951e-01j)	 (9.775171065493650818e+10+0.000000000000000000e+00j)	 (-2.252862573926262546e-01+6.939149447559842532e-01j)	 (4.007820136852396851e+11+0.000000000000000000e+00j)	 (-4.115247656199281234e-01+6.227825807985772899e-01j)	 (-2.738665029050706412e+00+0.000000000000000000e+00j)	 (-4.165244490357933316e+00+0.000000000000000000e+00j)	 (-2.539804935286632315e+00+0.000000000000000000e+00j)	 (-1.646162031080343269e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.435881730243306720e+01+0.000000000000000000e+00j)	 (5.701231705681335171e+01+0.000000000000000000e+00j)
 (5.705499999999999545e+02+0.000000000000000000e+00j)	 (2.961000000000000090e-03+0.000000000000000000e+00j)	 (5.705499999999999545e+02+0.000000000000000000e+00j)	 (3.852400000000000269e-02+0.000000000000000000e+00j)	 (8.955212821898939080e-01+5.750837884674142586e-01j)	 (3.408260930316450721e-01-1.011933109372665340e+00j)	 (1.075268817204301605e+11+0.000000000000000000e+00j)	 (-2.427085900375013372e-01+9.667068837030577955e-01j)	 (4.105571847507333374e+11+0.000000000000000000e+00j)	 (-1.588327898947237415e-01+6.904604065615972397e-01j)	 (-2.862878357879357696e-02+0.000000000000000000e+00j)	 (-4.233185592254129048e+00+0.000000000000000000e+00j)	 (-2.993279233338561163e+00+0.000000000000000000e+00j)	 (-1.681943385012962722e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.620501360341677355e+01+0.000000000000000000e+00j)	 (5.849094746985161919e+01+0.000000000000000000e+00j)
 (5.706000000000000227e+02+0.000000000000000000e+00j)	 (-2.729000000000000089e-03+0.000000000000000000e+00j)	 (5.706000000000000227e+02+0.000000000000000000e+00j)	 (4.472899999999999793e-02+0.000000000000000000e+00j)	 (-2.141089448843098986e-01-5.459671990712225420e-02j)	 (-2.108993119342217615e-01+2.950664720744649583e-01j)	 (1.173020527859237976e+11+0.000000000000000000e+00j)	 (2.208085906173027357e-01+5.678061755917623854e-01j)	 (4.203323558162269897e+11+0.000000000000000000e+00j)	 (1.143239737973018311e-01+7.355753221089640359e-01j)	 (-4.304384984457893637e+00+0.000000000000000000e+00j)	 (-4.850052379495826571e+00+0.000000000000000000e+00j)	 (-2.563796959324129876e+00+0.000000000000000000e+00j)	 (-1.719972679310507857e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.682598245960002714e+01+0.000000000000000000e+00j)	 (5.121169586683643615e+01+0.000000000000000000e+00j)
 (5.706499999999999773e+02+0.000000000000000000e+00j)	 (-1.415999999999999941e-03+0.000000000000000000e+00j)	 (5.706499999999999773e+02+0.000000000000000000e+00j)	 (6.194999999999999812e-02+0.000000000000000000e+00j)	 (5.992671624574159861e-02-1.394525544821673346e+00j)	 (-1.291407082396531569e+00-9.428848445256665656e-01j)	 (1.270772238514174500e+11+0.000000000000000000e+00j)	 (4.840052409222161955e-01+7.264667750962935378e-01j)	 (4.301075268817206421e+11+0.000000000000000000e+00j)	 (4.170838782166840231e-01+5.921886295686529245e-01j)	 (-1.180364519653956501e+00+0.000000000000000000e+00j)	 (-5.066879610651321642e+00+0.000000000000000000e+00j)	 (-2.801333570717859267e+00+0.000000000000000000e+00j)	 (-1.765915140426625385e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.971222009829921262e+01+0.000000000000000000e+00j)	 (6.119318841034257161e+01+0.000000000000000000e+00j)
 (5.707000000000000455e+02+0.000000000000000000e+00j)	 (-1.806800000000000073e-02+0.000000000000000000e+00j)	 (5.707000000000000455e+02+0.000000000000000000e+00j)	 (5.697200000000000181e-02+0.000000000000000000e+00j)	 (-6.257548644443997610e-01+1.646812594600547686e-01j)	 (-6.658766632537298502e-01+5.347297443252720939e-01j)	 (1.368523949169111023e+11+0.000000000000000000e+00j)	 (6.920559540927453401e-01+3.084379664653922326e-01j)	 (4.398826979472142944e+11+0.000000000000000000e+00j)	 (5.703762327899385420e-01+3.721686081280776714e-01j)	 (-2.410310456971547222e+00+0.000000000000000000e+00j)	 (-5.630706362250476715e+00+0.000000000000000000e+00j)	 (-3.336331878988805233e+00+0.000000000000000000e+00j)	 (-1.803820719550353147e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.426454019991331279e+01+0.000000000000000000e+00j)	 (5.696314715079658697e+01+0.000000000000000000e+00j)
 (5.707500000000000000e+02+0.000000000000000000e+00j)	 (7.619999999999999820e-04+0.000000000000000000e+00j)	 (5.707500000000000000e+02+0.000000000000000000e+00j)	 (7.438200000000000367e-02+0.000000000000000000e+00j)	 (-5.743882995907907407e-01+6.570129177447272539e-01j)	 (-6.110274040751331182e-01+7.801834248789101256e-01j)	 (1.466275659824047546e+11+0.000000000000000000e+00j)	 (8.793501234469316419e-01+4.752892102728221990e-02j)	 (4.496578690127079468e+11+0.000000000000000000e+00j)	 (6.970163819917056802e-01+1.406043232549733790e-01j)	 (-1.104094404001606744e+00+0.000000000000000000e+00j)	 (-5.995967436112509930e+00+0.000000000000000000e+00j)	 (-2.961917214491138761e+00+0.000000000000000000e+00j)	 (-1.841728370059026076e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.555660824846522416e+01+0.000000000000000000e+00j)	 (5.796564171121362108e+01+0.000000000000000000e+00j)
 (5.707999999999999545e+02+0.000000000000000000e+00j)	 (-1.652500000000000149e-02+0.000000000000000000e+00j)	 (5.707999999999999545e+02+0.000000000000000000e+00j)	 (7.726700000000000235e-02+0.000000000000000000e+00j)	 (1.083839920618020480e+00+6.285183968440486435e-01j)	 (7.981281045230771420e-01+9.577726466587761500e-01j)	 (1.564027370478984070e+11+0.000000000000000000e+00j)	 (9.438242228778203069e-01-3.451208214837890309e-01j)	 (4.594330400782015991e+11+0.000000000000000000e+00j)	 (6.854612434816551580e-01-1.775953475239474277e-01j)	 (4.283767030663670344e-02+0.000000000000000000e+00j)	 (-6.400524009061866693e+00+0.000000000000000000e+00j)	 (-2.998180750475677669e+00+0.000000000000000000e+00j)	 (-1.886984995042659108e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.755076514315837244e+01+0.000000000000000000e+00j)	 (5.950614680178288296e+01+0.000000000000000000e+00j)
 (5.708500000000000227e+02+0.000000000000000000e+00j)	 (-1.892599999999999838e-02+0.000000000000000000e+00j)	 (5.708500000000000227e+02+0.000000000000000000e+00j)	 (8.158400000000000374e-02+0.000000000000000000e+00j)	 (8.998341267111940045e-01-5.665048161550271244e-01j)	 (1.107899711653184793e+00+5.225058728459903989e-02j)	 (1.661779081133920593e+11+0.000000000000000000e+00j)	 (7.863338157408413798e-01-5.484171657763056151e-01j)	 (4.692082111436951904e+11+0.000000000000000000e+00j)	 (5.366086389039079751e-01-3.916279669683334630e-01j)	 (-3.664561769139149106e-01+0.000000000000000000e+00j)	 (-6.658967737318524982e+00+0.000000000000000000e+00j)	 (-3.552451152664020562e+00+0.000000000000000000e+00j)	 (-1.924679618852005802e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.653497153853976442e+01+0.000000000000000000e+00j)	 (5.873478649504145466e+01+0.000000000000000000e+00j)
 (5.708999999999999773e+02+0.000000000000000000e+00j)	 (-2.978899999999999951e-02+0.000000000000000000e+00j)	 (5.708999999999999773e+02+0.000000000000000000e+00j)	 (8.796700000000000352e-02+0.000000000000000000e+00j)	 (1.889086609462176936e-01-1.529186201697420255e+00j)	 (1.498826112744160666e+00-8.337809812962346800e-01j)	 (1.759530791788857117e+11+0.000000000000000000e+00j)	 (5.296812260342766976e-01-7.255998944995730726e-01j)	 (4.789833822091888428e+11+0.000000000000000000e+00j)	 (3.658905613904526732e-01-5.695086594410369019e-01j)	 (-9.309557167316145909e-01+0.000000000000000000e+00j)	 (-6.990189537943431120e+00+0.000000000000000000e+00j)	 (-3.389297349213364452e+00+0.000000000000000000e+00j)	 (-1.961607046388598974e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (8.032125369703035744e+01+0.000000000000000000e+00j)	 (6.166612163613159225e+01+0.000000000000000000e+00j)
 (5.709500000000000455e+02+0.000000000000000000e+00j)	 (-4.071400000000000019e-02+0.000000000000000000e+00j)	 (5.709500000000000455e+02+0.000000000000000000e+00j)	 (1.114549999999999985e-01+0.000000000000000000e+00j)	 (-1.678794131680310997e+00+3.200947751174832989e-01j)	 (-3.870690201513528605e-01-1.954092262523563939e+00j)	 (1.857282502443793640e+11+0.000000000000000000e+00j)	 (6.127178489715007746e-03-8.579034484999343846e-01j)	 (4.887585532746824951e+11+0.000000000000000000e+00j)	 (7.726727520145332262e-02-6.761239002148927701e-01j)	 (-1.331010206570899523e+00+0.000000000000000000e+00j)	 (-7.613619358228495670e+00+0.000000000000000000e+00j)	 (-3.343123148478068352e+00+0.000000000000000000e+00j)	 (-2.007334576159935580e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (8.162135740351058644e+01+0.000000000000000000e+00j)	 (6.265060521442014618e+01+0.000000000000000000e+00j)
