1_Frequency_Hz,1_EpsilonReal,1_TanDelta,2_Frequency_Hz,2_EpsilonReal,2_TanDelta,3_Frequency_Hz,3_EpsilonReal,3_TanDelta
50000000000,2.72432902741836,0.00585524667759334,50000000000,2.73603319562534,0.00580781942888456,50000000000,2.73923348197243,0.00579697973433983
50050000000,2.72443886540679,0.0058552185438294,50050000000,2.73613620207982,0.005807800577503,50050000000,2.73936341075332,0.00579695142020958
50100000000,2.72454865967207,0.00585519054850121,50100000000,2.73623914914828,0.0058077820149179,50100000000,2.73949323730612,0.00579692335008033
50150000000,2.72465841021422,0.00585516269456085,50150000000,2.73634203683074,0.00580776374493363,50150000000,2.73962296163084,0.00579689552737997
50200000000,2.72476811703323,0.0058551349849417,50200000000,2.73644486512717,0.00580774577133463,50200000000,2.73975258372747,0.00579686795551354
50250000000,2.72487778012909,0.00585510742255841,50250000000,2.7365476340376,0.00580772809788549,50250000000,2.73988210359602,0.00579684063786335
50300000000,2.72498739950182,0.00585508001030685,50300000000,2.73665034356201,0.00580771072833086,50300000000,2.74001152123648,0.00579681357778874
50350000000,2.72509697515141,0.00585505275106404,50350000000,2.73675299370041,0.00580769366639532,50350000000,2.74014083664886,0.00579678677862617
50400000000,2.72520650707785,0.00585502564768808,50400000000,2.7368555844528,0.00580767691578336,50400000000,2.74027004983315,0.00579676024368908
50450000000,2.72531599528116,0.00585499870301816,50450000000,2.73695811581917,0.00580766048017931,50450000000,2.74039916078935,0.00579673397626786
50500000000,2.72542543976133,0.00585497191987448,50500000000,2.73706058779953,0.00580764436324726,50500000000,2.74052816951747,0.00579670797962979
50550000000,2.72553484051836,0.00585494530105816,50550000000,2.73716300039388,0.00580762856863103,50550000000,2.7406570760175,0.00579668225701897
50600000000,2.72564419755225,0.00585491884935129,50600000000,2.73726535360221,0.00580761309995403,50600000000,2.74078588028944,0.00579665681165633
50650000000,2.72575351086299,0.0058548925675168,50650000000,2.73736764742453,0.00580759796081929,50650000000,2.7409145823333,0.00579663164673943
50700000000,2.7258627804506,0.00585486645829841,50700000000,2.73746988186084,0.00580758315480927,50700000000,2.74104318214908,0.00579660676544265
50750000000,2.72597200631507,0.00585484052442067,50750000000,2.73757205691113,0.00580756868548597,50750000000,2.74117167973677,0.00579658217091686
50800000000,2.7260811884564,0.00585481476858881,50800000000,2.73767417257542,0.00580755455639067,50800000000,2.74130007509637,0.00579655786628957
50850000000,2.72619032687459,0.00585478919348877,50850000000,2.73777622885368,0.00580754077104403,50850000000,2.74142836822789,0.0057965338546648
50900000000,2.72629942156964,0.00585476380178711,50900000000,2.73787822574594,0.00580752733294594,50900000000,2.74155655913132,0.00579651013912304
50950000000,2.72640847254155,0.00585473859613097,50950000000,2.73798016325218,0.00580751424557541,50950000000,2.74168464780666,0.00579648672272117
51000000000,2.72651747979032,0.00585471357914808,51000000000,2.73808204137241,0.00580750151239071,51000000000,2.74181263425392,0.00579646360849248
51050000000,2.72662644331595,0.00585468875344664,51050000000,2.73818386010663,0.00580748913682905,51050000000,2.74194051847309,0.00579644079944657
51100000000,2.72673536311844,0.0058546641216153,51100000000,2.73828561945483,0.00580747712230671,51100000000,2.74206830046418,0.00579641829856928
51150000000,2.72684423919779,0.00585463968622322,51150000000,2.73838731941702,0.00580746547221885,51150000000,2.74219598022718,0.00579639610882272
51200000000,2.726953071554,0.00585461544981979,51200000000,2.7384889599932,0.00580745418993959,51200000000,2.7423235577621,0.00579637423314517
51250000000,2.72706186018707,0.00585459141493486,51250000000,2.73859054118336,0.00580744327882179,51250000000,2.74245103306893,0.00579635267445101
51300000000,2.727170605097,0.00585456758407852,51300000000,2.73869206298751,0.00580743274219712,51300000000,2.74257840614767,0.00579633143563072
51350000000,2.72727930628379,0.00585454395974113,51350000000,2.73879352540565,0.00580742258337595,51350000000,2.74270567699833,0.00579631051955087
51400000000,2.72738796374744,0.00585452054439325,51400000000,2.73889492843778,0.00580741280564726,51400000000,2.74283284562091,0.00579628992905393
51450000000,2.72749657748796,0.00585449734048564,51450000000,2.73899627208389,0.00580740341227867,51450000000,2.74295991201539,0.00579626966695841
51500000000,2.72760514750533,0.00585447435044918,51500000000,2.73909755634399,0.00580739440651626,51500000000,2.74308687618179,0.00579624973605869
51550000000,2.72771367379956,0.00585445157669486,51550000000,2.73919878121807,0.00580738579158464,51550000000,2.74321373812011,0.00579623013912501
51600000000,2.72782215637065,0.00585442902161373,51600000000,2.73929994670614,0.0058073775706868,51600000000,2.74334049783034,0.00579621087890344
51650000000,2.7279305952186,0.00585440668757683,51650000000,2.7394010528082,0.00580736974700413,51650000000,2.74346715531248,0.00579619195811586
51700000000,2.72803899034342,0.00585438457693523,51700000000,2.73950209952425,0.00580736232369625,51700000000,2.74359371056654,0.00579617337945987
51750000000,2.72814734174509,0.00585436269201996,51750000000,2.73960308685428,0.00580735530390111,51750000000,2.74372016359251,0.00579615514560875
51800000000,2.72825564942362,0.0058543410351419,51800000000,2.7397040147983,0.0058073486907348,51800000000,2.7438465143904,0.00579613725921148
51850000000,2.72836391337902,0.00585431960859189,51850000000,2.73980488335631,0.00580734248729157,51850000000,2.7439727629602,0.00579611972289265
51900000000,2.72847213361127,0.00585429841464055,51900000000,2.7399056925283,0.00580733669664377,51900000000,2.74409890930191,0.00579610253925243
51950000000,2.72858031012038,0.00585427745553833,51950000000,2.74000644231429,0.00580733132184176,51950000000,2.74422495341554,0.00579608571086653
52000000000,2.72868844290635,0.0058542567335155,52000000000,2.74010713271425,0.0058073263659139,52000000000,2.74435089530108,0.0057960692402862
52050000000,2.72879653196919,0.00585423625078201,52050000000,2.74020776372821,0.00580732183186647,52050000000,2.74447673495854,0.00579605313003811
52100000000,2.72890457730888,0.00585421600952755,52100000000,2.74030833535615,0.00580731772268362,52100000000,2.74460247238791,0.00579603738262444
52150000000,2.72901257892544,0.00585419601192151,52150000000,2.74040884759808,0.00580731404132737,52150000000,2.74472810758919,0.00579602200052272
52200000000,2.72912053681885,0.00585417626011289,52200000000,2.74050930045399,0.00580731079073745,52200000000,2.74485364056239,0.0057960069861859
52250000000,2.72922845098913,0.00585415675623033,52250000000,2.7406096939239,0.0058073079738314,52250000000,2.7449790713075,0.00579599234204219
52300000000,2.72933632143626,0.00585413750238206,52300000000,2.74071002800779,0.00580730559350438,52300000000,2.74510439982453,0.00579597807049515
52350000000,2.72944414816026,0.00585411850065585,52350000000,2.74081030270566,0.00580730365262918,52350000000,2.74522962611347,0.00579596417392362
52400000000,2.72955193116111,0.005854099753119,52400000000,2.74091051801753,0.00580730215405621,52400000000,2.74535475017433,0.00579595065468164
52450000000,2.72965967043883,0.00585408126181832,52450000000,2.74101067394338,0.00580730110061337,52450000000,2.7454797720071,0.00579593751509852
52500000000,2.7297673659934,0.0058540630287801,52500000000,2.74111077048322,0.0058073004951061,52500000000,2.74560469161178,0.00579592475747866
52550000000,2.72987501782484,0.00585404505601003,52550000000,2.74121080763704,0.00580730034031723,52550000000,2.74572950898838,0.00579591238410165
52600000000,2.72998262593314,0.00585402734549327,52600000000,2.74131078540485,0.005807300639007,52600000000,2.74585422413689,0.00579590039722222
52650000000,2.73009019031829,0.00585400989919433,52650000000,2.74141070378665,0.00580730139391303,52650000000,2.74597883705732,0.00579588879907019
52700000000,2.73019771098031,0.00585399271905708,52700000000,2.74151056278243,0.00580730260775021,52700000000,2.74610334774966,0.00579587759185036
52750000000,2.73030518791919,0.00585397580700477,52750000000,2.7416103623922,0.00580730428321068,52750000000,2.74622775621392,0.00579586677774265
52800000000,2.73041262113493,0.0058539591649399,52800000000,2.74171010261596,0.00580730642296382,52800000000,2.74635206245009,0.00579585635890194
52850000000,2.73052001062752,0.00585394279474432,52850000000,2.74180978345371,0.0058073090296562,52850000000,2.74647626645817,0.00579584633745812
52900000000,2.73062735639698,0.0058539266982791,52900000000,2.74190940490544,0.00580731210591148,52900000000,2.74660036823817,0.00579583671551603
52950000000,2.7307346584433,0.00585391087738456,52950000000,2.74200896697116,0.00580731565433042,52950000000,2.74672436779008,0.00579582749515542
