Freq_Hz,EpsReal_mean,EpsReal_std,TanDelta_mean,TanDelta_std
93650000000,2.80462100505838,0.0073403059318563,0.00582605357211778,3.20826773531853e-05
93700000000,2.8046629898849,0.00734149404564609,0.00582588721666267,3.2105284614537e-05
93750000000,2.80470515008279,0.00734273951928344,0.00582572029626179,3.21277251852595e-05
93800000000,2.80474748656533,0.00734404247455884,0.00582555281340344,3.2149998197982e-05
93850000000,2.80479000023554,0.00734540303177123,0.005825384770587,3.21721027926484e-05
93900000000,2.80483269198627,0.00734682130976072,0.00582521617032295,3.21940381166386e-05
93950000000,2.80487556270008,0.00734829742586353,0.00582504701513274,3.22158033246864e-05
94000000000,2.80491861324927,0.00734983149597644,0.00582487730754878,3.22373975789694e-05
94050000000,2.80496184449582,0.00735142363450891,0.00582470705011433,3.22588200491026e-05
94100000000,2.80500525729136,0.00735307395438879,0.00582453624538344,3.22800699121301e-05
94150000000,2.80504885247718,0.00735478256709359,0.00582436489592094,3.23011463526062e-05
94200000000,2.80509263088417,0.00735654958261427,0.00582419300430229,3.23220485625539e-05
94250000000,2.80513659333281,0.0073583751095023,0.00582402057311356,3.23427757415124e-05
94300000000,2.80518074063314,0.00736025925482761,0.00582384760495137,3.23633270965298e-05
94350000000,2.80522507358474,0.00736220212419643,0.0058236741024228,3.23837018422558e-05
94400000000,2.8052695929767,0.00736420382176995,0.00582350006814537,3.24038992008232e-05
94450000000,2.80531429958764,0.00736626445023736,0.00582332550474687,3.24239184020075e-05
94500000000,2.80535919418562,0.00736838411083343,0.0058231504148654,3.24437586831566e-05
94550000000,2.80540427752816,0.00737056290335843,0.00582297480114928,3.24634192892473e-05
94600000000,2.80544955036223,0.00737280092613402,0.00582279866625693,3.24828994728587e-05
94650000000,2.8054950134242,0.0073750982760672,0.00582262201285688,3.25021984942709e-05
94700000000,2.80554066743985,0.00737745504859448,0.00582244484362763,3.25213156213557e-05
94750000000,2.80558651312434,0.00737987133771275,0.00582226716125763,3.25402501297495e-05
94800000000,2.80563255118219,0.0073823472359785,0.00582208896844519,3.25590013027354e-05
94850000000,2.80567878230727,0.00738488283452675,0.00582191026789841,3.25775684313264e-05
94900000000,2.80572520718278,0.00738747822304045,0.00582173106233517,3.25959508142817e-05
94950000000,2.80577182648124,0.00739013348977709,0.00582155135448296,3.26141477580896e-05
95000000000,2.80581864086449,0.00739284872157008,0.00582137114707888,3.26321585770222e-05
95050000000,2.80587149047476,0.00739646893330641,0.00582119044286958,3.26499825931256e-05
95100000000,2.80592449738702,0.0074001429109951,0.00582100924461117,3.26676191362459e-05
95150000000,2.80597766160128,0.00740387065544359,0.00582082755506912,3.26850675440386e-05
95200000000,2.80603098311751,0.0074076521674548,0.00582064537701825,3.27023271620004e-05
95250000000,2.80608446193574,0.00741148744785203,0.00582046271324264,3.27193973434659e-05
95300000000,2.80613809805595,0.00741537649742919,0.00582027956653556,3.27362774496298e-05
95350000000,2.80619189147815,0.00741931931699618,0.00582009593969937,3.27529668495806e-05
95400000000,2.80624584220233,0.00742331590734187,0.00581991183554552,3.27694649202692e-05
95450000000,2.8062999502285,0.00742736626927415,0.00581972725689442,3.27857710465807e-05
95500000000,2.80635421555666,0.00743147040357314,0.00581954220657539,3.28018846213379e-05
95550000000,2.80640863818681,0.00743562831103234,0.00581935668742661,3.28178050452523e-05
95600000000,2.80646321811894,0.00743983999243314,0.00581917070229504,3.28335317270422e-05
95650000000,2.80651795535306,0.00744410544856176,0.00581898425403635,3.28490640833768e-05
95700000000,2.80657284988916,0.00744842468018754,0.00581879734551482,3.28644015389023e-05
95750000000,2.80662790172725,0.00745279768809713,0.00581860997960333,3.28795435262483e-05
95800000000,2.80668311086733,0.00745722447305649,0.00581842215918326,3.28944894860975e-05
95850000000,2.80673847730939,0.00746170503581589,0.0058182338871444,3.29092388671463e-05
95900000000,2.80679400105344,0.00746623937716264,0.00581804516638494,3.29237911261283e-05
95950000000,2.80684968209948,0.00747082749784225,0.00581785599981134,3.29381457278228e-05
96000000000,2.80690552044751,0.00747546939861421,0.00581766639033829,3.29523021451122e-05
96050000000,2.80696151609752,0.00748016508022804,0.00581747634088863,3.29662598589376e-05
96100000000,2.80701766904951,0.00748491454342591,0.00581728585439331,3.29800183583657e-05
96150000000,2.8070739793035,0.00748971778896619,0.00581709493379128,3.29935771405501e-05
96200000000,2.80713044685947,0.00749457481757424,0.00581690358202944,3.30069357107857e-05
