Frequency_Hz,EpsilonReal_mean,EpsilonReal_std,TanDelta_mean,TanDelta_std
140000000000,2.71687547778437,0.00853689695574227,0.0075000199916128,1.78865814621509e-05
140100000000,2.71510506277508,0.00856426714528095,0.00757422711031364,1.94216881089626e-05
140200000000,2.71396349805213,0.0084884224694589,0.00783181269705069,1.86328928899609e-05
140300000000,2.71179158780631,0.0084851374398717,0.00772474997965443,4.94618876925221e-05
140400000000,2.71096871957114,0.00873370660712983,0.00655773050444706,6.17656703436555e-05
140500000000,2.70976669873189,0.00863829520201879,0.00639589747353347,5.27539745044192e-05
140600000000,2.71412064673155,0.00881869160571156,0.00528990190401293,3.7135437684854e-05
140700000000,2.71531628520704,0.00866991686504142,0.00657770351900333,5.24363802097232e-05
140800000000,2.71561565593458,0.00861663659240544,0.00739600793956826,2.69083556738742e-05
140900000000,2.71360229161119,0.0085597960859761,0.00806374075801913,6.59660387714309e-05
141000000000,2.71112139761297,0.00870092307575425,0.00790198142276579,8.9843806475212e-05
141100000000,2.71019493088645,0.00874783235507863,0.00706088731967057,7.54138007283e-05
141200000000,2.71072996426735,0.00872850193221151,0.00630686718820649,3.01145760855752e-05
141300000000,2.71136983100866,0.008658693501292,0.00595813407441506,4.47627656793539e-05
141400000000,2.71163789609343,0.00879002552710842,0.00543790033865395,1.1741034438144e-05
141500000000,2.71433800381619,0.00873272925695129,0.00539023525736629,8.86996721913372e-05
141600000000,2.7139492384771,0.00855826534244346,0.00453112143854676,5.70279688752718e-05
141700000000,2.71829577561912,0.0086210411465777,0.0050287951810934,6.42951800038937e-05
141800000000,2.71957313058848,0.00851928408599738,0.00607033360544335,7.97154941644101e-05
141900000000,2.71837805120983,0.00827668619556574,0.00735529582168259,7.41487127786508e-05
142000000000,2.71613463284838,0.00828790318028148,0.00764889600932312,6.65800706745103e-05
142100000000,2.71403550586001,0.00829268256713562,0.00769255704481568,4.13793604607468e-05
142200000000,2.71196669226643,0.0084190597758811,0.00755629108246382,5.12351295565082e-05
142300000000,2.711427302017,0.00840803385047841,0.00695961356333791,4.25079680007823e-05
142400000000,2.71122510625318,0.00847594829106835,0.00675448710546581,2.7437795091297e-05
142500000000,2.71258096365734,0.00832671165050084,0.00579080415714322,5.87015687302111e-06
142600000000,2.71255775710915,0.00835809436077511,0.00633108254061362,2.10962835930212e-05
142700000000,2.71560601403246,0.00821552950363495,0.00581984070192488,2.4010821315436e-05
142800000000,2.71479857722514,0.00807101889261414,0.00708045324030596,3.12051852440584e-05
142900000000,2.71356579541689,0.00821942435542973,0.00739101658806094,7.761484673677e-05
143000000000,2.71158054745679,0.00842220989907862,0.00715165970804748,7.70279209797381e-05
