Frequency_Hz,EpsilonReal_mean,EpsilonReal_std,TanDelta_mean,TanDelta_std
140000000000,2.71687539464392,0.00853690288635775,0.00750452144645162,1.78969282342683e-05
140100000000,2.71510498605558,0.00856426592341849,0.00757873087180472,1.94276580257802e-05
140200000000,2.7139634166629,0.00848842146671919,0.00783631829910726,1.86257048657008e-05
140300000000,2.71179150849728,0.00848513755402921,0.00772925818697034,4.94514163969375e-05
140400000000,2.71096866272184,0.00873370651570601,0.00656224839348884,6.17549269143591e-05
140500000000,2.70976664426927,0.00863829541875042,0.0064004191982746,5.27436175686749e-05
140600000000,2.71412060871793,0.00881869282500517,0.00529443823117163,3.71279008485941e-05
140700000000,2.71531622081546,0.00866992157298151,0.00658223981997175,5.24284016244709e-05
140800000000,2.71561557993444,0.00861663574440855,0.00740054507136397,2.69026052298771e-05
140900000000,2.71360220280344,0.00855979641607584,0.0080682812979072,6.59598221220426e-05
141000000000,2.71112131437004,0.00870092505635126,0.00790652193837306,8.9835811566991e-05
141100000000,2.71019486164712,0.0087478328016648,0.00706543315929868,7.54031797500149e-05
141200000000,2.71072990850294,0.00872850136131543,0.00631142181447651,3.0105536182908e-05
141300000000,2.71136978203015,0.00865869237029562,0.00596269548667147,4.47526514137526e-05
141400000000,2.71163785883715,0.00879002235362607,0.00544246892945077,1.17407168790034e-05
141500000000,2.71433796140324,0.00873273078540364,0.00539481099257119,8.87096569830298e-05
141600000000,2.71394921448628,0.00855826458173005,0.00453570508784289,5.70304344255267e-05
141700000000,2.71829574085965,0.00862103953939225,0.00503338591394582,6.43016818872832e-05
141800000000,2.71957307004335,0.00851927586752075,0.00607492527995969,7.97233263731107e-05
141900000000,2.71837796771215,0.00827668646082304,0.00735988426899045,7.41552938967097e-05
142000000000,2.71613454697927,0.00828790295055587,0.00765348667043804,6.65887262473134e-05
142100000000,2.71403541928881,0.00829268220568239,0.00769714743664147,4.13849271372375e-05
142200000000,2.71196660930509,0.00841905844673719,0.00756088405058395,5.12371011802626e-05
142300000000,2.71142722875639,0.00840803326512115,0.00696421300710088,4.25053837462268e-05
142400000000,2.71122503654553,0.00847594750691524,0.00675909141147806,2.74337404214185e-05
142500000000,2.71258091124946,0.00832670937733485,0.00579541845708865,5.87715939677114e-06
142600000000,2.71255769340348,0.0083580939182162,0.00633569831923062,2.10873719352904e-05
142700000000,2.7156059572437,0.00821552984511048,0.00582446605953921,2.40177183968726e-05
142800000000,2.7147984978026,0.00807101834784864,0.00708507605453285,3.11982315510833e-05
142900000000,2.71356571068572,0.00821942531003988,0.00739564061971682,7.76069685639594e-05
143000000000,2.71158046789104,0.0084222097503392,0.00715628676655786,7.7020544553178e-05
143100000000,2.71087999874618,0.00845329267445646,0.00680018277674376,6.61398240220147e-05
143200000000,2.71094020520667,0.00827695230680181,0.00648889837990934,4.35848903732259e-05
143300000000,2.71134667094117,0.00818985605430565,0.00634862586252106,4.84246429134828e-05
143400000000,2.71198063105526,0.00831144214230914,0.00585390316892475,5.51282736974635e-05
143500000000,2.71257814436173,0.00834144327394628,0.00564995692566149,3.55049118213565e-05
143600000000,2.71514667711812,0.00827321299787877,0.00589287566762498,4.98874363910535e-05
143700000000,2.71445959514794,0.00812890836508305,0.00613383065894474,6.58620134836945e-05
143800000000,2.71633695406026,0.00806611214739618,0.00649653072531543,8.96076892117314e-05
143900000000,2.71595151089779,0.00809056905866942,0.00729736002084464,7.70071521908514e-05
144000000000,2.71296295608036,0.00792351424175548,0.00790392231771711,3.68109993812126e-05
144100000000,2.71147431606052,0.00807393181672366,0.00719605585151627,2.83907959907757e-05
144200000000,2.7116537673121,0.00813364037106476,0.00656924702359616,1.52482577581323e-05
144300000000,2.71242996645095,0.0082098106428408,0.00622236393746523,1.03939169330691e-05
144400000000,2.7130675696811,0.00823292417179985,0.00618909312149632,1.65452033754244e-05
144500000000,2.71409216364039,0.00825370144193162,0.00649432636632924,2.30341020520856e-05
144600000000,2.71478189827355,0.00817974410060149,0.00663688826175719,3.44211545523936e-05
144700000000,2.7137170803165,0.00807702445317914,0.00784103550792488,7.93674947862529e-05
144800000000,2.71074644780671,0.00790526237703795,0.00737083432160409,6.23155885452483e-05
144900000000,2.71050798429905,0.00812779994557103,0.00705267230168696,6.55793971771307e-05
145000000000,2.71006974235089,0.00812013387099557,0.00658667312304133,3.16983620465096e-05
145100000000,2.70999118974013,0.00808122609529642,0.00596948448170136,1.83681123680138e-05
145200000000,2.71082672091299,0.00813370562232676,0.00553294914762264,3.77898010921986e-05
145300000000,2.71241026501808,0.00817027330132273,0.00572516565988397,6.36466092460141e-05
145400000000,2.71246936944277,0.00817775158586133,0.0063373166677171,8.97831306639045e-05
145500000000,2.71180068745969,0.00793668750083497,0.00655770009422048,6.17289752891102e-05
145600000000,2.71178685230149,0.00790624921959435,0.00631914416824458,4.58083557512939e-05
145700000000,2.71208529680656,0.00792368709236022,0.00664131583119726,2.78590166330489e-05
145800000000,2.7104377925502,0.00794288828206447,0.00647776532181873,2.11127227519297e-05
145900000000,2.71145529254189,0.00814467620773509,0.00604728737238596,2.95207699085005e-05
146000000000,2.71180979211618,0.00808250993863264,0.00610106370647239,3.80370381113734e-05
146100000000,2.71135191633259,0.00798782281228815,0.00606433549425655,5.62162269511426e-05
146200000000,2.71215564735265,0.00811284631870659,0.0056818942451636,6.21894565497291e-05
146300000000,2.71331654223394,0.00797460589910579,0.00583469971932178,6.21110518574577e-05
146400000000,2.71390713987285,0.00791006448427343,0.00640479470627266,7.10603355239153e-05
146500000000,2.71368748091056,0.00780336424547601,0.0070165891355613,8.14681797363844e-05
146600000000,2.71214779643698,0.00801956716946478,0.00729187052908528,9.25001622421111e-05
146700000000,2.7124317260611,0.00791540035733054,0.00738490208282792,9.53485274705288e-05
146800000000,2.70962830300742,0.0076098543758914,0.00766747075399637,9.01127575440489e-05
146900000000,2.70811784922801,0.00793188542833943,0.0069046804024958,0.000109335045354339
147000000000,2.70879963718233,0.00788822297392889,0.00604336872221319,7.5019010222655e-05
147100000000,2.70967850459519,0.00787938119710145,0.00579275017020352,4.87731736772768e-05
147200000000,2.71128899282638,0.00773743043523452,0.00541198450657858,3.86026130204833e-05
147300000000,2.71172784900265,0.00774662815174006,0.00572738558202423,2.15335603106084e-05
147400000000,2.71238170414157,0.00774181225850307,0.0060123170640922,1.39074225314137e-05
147500000000,2.712203125583,0.00770327559085812,0.0063667082304632,1.66902750744536e-05
147600000000,2.71183624567457,0.00785760793780416,0.00657931206990124,1.40666015979448e-05
147700000000,2.71085415895475,0.00781322670913223,0.00631022073577914,8.95611359972299e-06
147800000000,2.71055014385838,0.00786474473660673,0.00664142669986142,3.74577346047599e-06
147900000000,2.70976917049511,0.00793860406098649,0.00641594795494,1.77364493167538e-05
148000000000,2.71046374430644,0.00779040829992279,0.00586872438418299,2.49064080997045e-05
148100000000,2.71050632415779,0.00774099577883997,0.00580450956091343,2.17565693910785e-05
148200000000,2.7120077275116,0.00766722849671748,0.00554379549377879,6.40668269626923e-05
148300000000,2.71349365123271,0.00737105437054557,0.00603650917895998,9.23635294494025e-05
148400000000,2.71345385595961,0.00755314008389577,0.00653026995819793,5.36109340001945e-05
148500000000,2.71280463601614,0.00754832319255556,0.00694471907078267,5.76300646977978e-05
148600000000,2.71161257597405,0.00751524550547574,0.00693359515488477,5.19804707800836e-05
148700000000,2.71093938757997,0.0075506705491124,0.00676111532737065,4.77508607297115e-05
148800000000,2.71195553374563,0.00741200187267454,0.00681233767916812,4.92813916609282e-05
148900000000,2.710440326657,0.00749835645275378,0.00655446825536186,5.04190129937104e-06
149000000000,2.71053262140599,0.00742768480773394,0.00622302569245405,1.13753852790176e-05
149100000000,2.71155824439183,0.00735599184388807,0.0062531563323591,2.90772390163447e-05
149200000000,2.71149676879541,0.0075342349435084,0.00649063076250011,5.4445751513316e-05
149300000000,2.711359997187,0.00756919771155069,0.00671703222917808,6.15929699653435e-05
149400000000,2.71016965829798,0.00757379645083814,0.00685290916360797,5.69694527602085e-05
149500000000,2.70940503919252,0.00764384971950348,0.00676853159232111,6.15144467498582e-05
149600000000,2.70859946721614,0.00754336809637154,0.00661530095973692,5.69527783829818e-05
149700000000,2.7080235567744,0.00757192995478341,0.00631383007410982,5.34484308007938e-05
149800000000,2.70859889636531,0.00764787296073819,0.0050452668688293,5.36148779824193e-05
149900000000,2.70998094760677,0.0075504710385529,0.00526150613426639,5.48349422146266e-05
150000000000,2.71168045958618,0.00745217518985627,0.00517747892555295,1.45547231614888e-05
150100000000,2.71291020563647,0.00757588347996784,0.00525359488029378,8.56768629466831e-05
150200000000,2.71437478661066,0.0073771063438704,0.00589245817958175,0.00011391072697827
150300000000,2.71435458032081,0.00738926275209809,0.00658677189698191,0.000111879761821254
150400000000,2.71257889490975,0.00737659183887338,0.00702210757091801,9.7250857493567e-05
150500000000,2.71127482278633,0.00733025175566978,0.00708722842506824,7.32148575185487e-05
150600000000,2.71039750101871,0.00750543084988162,0.00681463027697696,4.44047950736926e-05
150700000000,2.70996182255276,0.00744009247234253,0.00652080146933059,2.4348580876061e-05
150800000000,2.70949471835587,0.00737777170313331,0.00615014380241132,3.41816478663445e-05
150900000000,2.71079316497848,0.00724186256078344,0.0062223870560647,1.35987104065973e-05
151000000000,2.7111261530505,0.00734672010718752,0.00592023208526326,4.21840731453215e-05
151100000000,2.71267869954166,0.00743856116755388,0.00611337217428378,5.68628560616915e-05
151200000000,2.71315570121815,0.0072526233478028,0.006667691485652,6.44987146468005e-05
151300000000,2.71211761675775,0.0072644382878127,0.00705294943492574,7.0893008479007e-05
151400000000,2.71079322878448,0.00724878335070456,0.00722365813924152,6.38330565531043e-05
151500000000,2.70927453539645,0.00735406929596118,0.00701229198410802,6.0080428750029e-05
151600000000,2.70946456373869,0.00738596481054369,0.00649012106852351,4.97885858244593e-05
151700000000,2.70935982951597,0.0073274279714085,0.00624108991110931,3.21829199768494e-05
151800000000,2.70957684833376,0.00732868078549307,0.00587352666397374,2.88925184528749e-05
151900000000,2.71132987553395,0.00733188903122359,0.00527142332541418,2.97300288511687e-05
152000000000,2.71243921267736,0.00722692160747035,0.00559253494444004,3.70962365733034e-05
152100000000,2.71336029882194,0.00735232845840444,0.0057963303338206,2.47934853680329e-05
152200000000,2.71374654812727,0.00723971513150611,0.00633886038169878,4.42585992072341e-05
152300000000,2.71306253499264,0.00732019801977007,0.00673545256513147,4.62624676720362e-05
152400000000,2.71214407683644,0.00732118127635868,0.00685999544785004,3.65994799378889e-05
152500000000,2.71158686325859,0.00737805717787135,0.00673537524071059,3.15137716681044e-05
152600000000,2.71132562208438,0.00743042145353942,0.00663374125289763,2.5073613134215e-05
152700000000,2.71145891205649,0.00735575189736119,0.00648690540732935,2.42136456916057e-05
152800000000,2.71139648920172,0.00737614898442622,0.00638672488878156,3.72858866728665e-05
152900000000,2.71165730987775,0.00731496174592501,0.00634762789600506,6.22987359206238e-05
153000000000,2.71233088065319,0.00724245925767294,0.00649983047858379,6.75803194247955e-05
153100000000,2.712106444953,0.00717033796477457,0.00669881328245992,8.79045568625981e-05
153200000000,2.71208216199557,0.00715980149267757,0.00675065811159058,8.74672304168238e-05
153300000000,2.71170015615605,0.00713895328661599,0.00674616706615855,6.18801980660188e-05
153400000000,2.71109250164126,0.00715317334217899,0.00665601322183135,3.7398472975621e-05
153500000000,2.71092680858399,0.00730318133292103,0.00653732997498542,3.3499652799186e-05
153600000000,2.71065104318821,0.00716484723424795,0.00628688700630376,4.58857232973978e-05
153700000000,2.71107315799374,0.00725864930185901,0.00604209402720777,5.56784524997501e-05
153800000000,2.7113413674175,0.00733634304072112,0.00569948046847898,6.04225447444939e-05
153900000000,2.71279922622145,0.00723854717667493,0.0057092244895714,5.81982015016595e-05
154000000000,2.71395436617567,0.00723420413522606,0.00597597598326254,9.54074219381731e-05
154100000000,2.71367187902859,0.00738600676971499,0.00636203957635121,7.44393752326446e-05
154200000000,2.71321228436205,0.00734671215776707,0.00648419271812314,5.97067657096545e-05
154300000000,2.71270698078278,0.00729761313115742,0.00641959838191146,5.20786016195831e-05
154400000000,2.7125875650921,0.00735475218013007,0.00650506449591009,5.40319206217064e-05
154500000000,2.71226934656351,0.00753448643516193,0.00650612428205888,5.0767023735086e-05
154600000000,2.7121583203706,0.00751836910886757,0.00642653635520251,1.80073077187376e-05
154700000000,2.71233414640826,0.00744947783851075,0.00632124939608361,3.57219346442215e-05
154800000000,2.71246785100903,0.00730895433848629,0.00623076422795376,6.16505335633064e-05
154900000000,2.71313359306348,0.00727931467056367,0.00624821594159126,9.41544364905169e-05
155000000000,2.71302683723283,0.00741611702613521,0.0063658665553665,9.25771981186641e-05
155100000000,2.71333713518445,0.0074121996973583,0.00648719210040571,8.06349469382986e-05
155200000000,2.71337738971637,0.00748990263076037,0.00645377331377855,5.51608427474787e-05
155300000000,2.71325240731477,0.00749404206891762,0.00647586592746365,3.50571996336297e-05
155400000000,2.71321313059086,0.00746876678465565,0.00627875068165543,2.6633281588519e-05
155500000000,2.71309956968244,0.00740537383694458,0.0062323655559963,8.60889469497792e-06
155600000000,2.71303928654965,0.00745691492409895,0.00611727331431164,8.83250482173502e-06
155700000000,2.71352789326396,0.0073607680098536,0.00596210748789811,2.03264151148709e-05
155800000000,2.71423258472442,0.0072850502998053,0.00597375162823689,3.33936842983457e-05
155900000000,2.71546597026138,0.00735672406985103,0.00608335751521137,6.44749348323783e-05
156000000000,2.71534982473199,0.00745949716114225,0.00635225859074565,0.000101488514478442
156100000000,2.7154770966205,0.00748650433906184,0.00643918007169387,8.66565150358485e-05
156200000000,2.71493350557821,0.00746599548239407,0.00651058328643716,7.11320877507486e-05
156300000000,2.71476181077431,0.00753795282322009,0.00647479793866477,5.33095862886324e-05
156400000000,2.71507957834346,0.00758527385300956,0.00657821355161879,3.66719704708651e-05
156500000000,2.7145527237702,0.00755349945597329,0.00668878390224116,3.5574873364024e-05
156600000000,2.71419305589242,0.0075808813636837,0.00654932097561575,2.45196920473862e-05
156700000000,2.71386091439407,0.00754917995854795,0.0064591245652511,8.03764176076619e-05
156800000000,2.7138763927587,0.00745703301594432,0.00611878294970034,9.70823931183673e-05
156900000000,2.71500514084646,0.00752548348428423,0.00592021419702654,8.83956274276227e-05
157000000000,2.71545227338682,0.0075729594079329,0.00610463589782805,7.31731708545383e-05
157100000000,2.71550761047741,0.00760899995527159,0.00596540942120932,6.70071876442305e-05
157200000000,2.71619498311532,0.00764750764956001,0.00617747533062947,5.55229105973795e-05
