1_Freq_Hz,1_EpsReal,1_TanDelta,1_Thickness_mm,2_Freq_Hz,2_EpsReal,2_TanDelta,2_Thickness_mm,3_Freq_Hz,3_EpsReal,3_TanDelta,3_Thickness_mm,4_Freq_Hz,4_EpsReal,4_TanDelta,4_Thickness_mm,5_Freq_Hz,5_EpsReal,5_TanDelta,5_Thickness_mm
220000000000,2.76171098906288,0.00690136562671744,3,220000000000,2.76265798810432,0.00686546843216139,3,220000000000,2.76338197946075,0.00654570348970545,3,220000000000,2.76045099459802,0.00656302766623095,3,220000000000,2.76000397955318,0.00679208767779527,3
220055000000,2.76101299054281,0.00668600922185381,NaN,220055000000,2.76194299432931,0.00665147766908459,NaN,220055000000,2.76272497946885,0.0063434939096571,NaN,220055000000,2.75975697863842,0.00635093328537456,NaN,220055000000,2.75934897955718,0.00657860211712922,NaN
220110000000,2.76039797949018,0.0065047899952492,NaN,220110000000,2.76131299196699,0.00647132459648288,NaN,220110000000,2.76215798600975,0.00617344360862407,NaN,220110000000,2.75914697864766,0.00617215494627131,NaN,220110000000,2.75877599251228,0.00639862418998159,NaN
220165000000,2.75985897969113,0.00634975171739191,NaN,220165000000,2.76076299368371,0.00631721118256006,NaN,220165000000,2.76167298342996,0.00602756725612749,NaN,220165000000,2.75861499477456,0.00601885929974532,NaN,220165000000,2.75827999314237,0.00624412749680088,NaN
220220000000,2.75937597827309,0.00621574294763394,NaN,220220000000,2.76027098835892,0.00618387593640823,NaN,220220000000,2.76124899172232,0.00590125630810309,NaN,220220000000,2.75814099210475,0.00588609381817164,NaN,220220000000,2.75783899286708,0.00611019093591003,NaN
220275000000,2.75894897946474,0.00610069240238792,NaN,220275000000,2.75983698307662,0.00606920414300573,NaN,220275000000,2.76088398548304,0.00579271298695988,NaN,220275000000,2.75772199591498,0.00577174621678316,NaN,220275000000,2.75745399166687,0.00599484649578739,NaN
220330000000,2.75856698192357,0.00600066324686121,NaN,220330000000,2.75944797934717,0.00596953783977651,NaN,220330000000,2.76056597949059,0.00569805222815037,NaN,220330000000,2.7573489794348,0.00567186789661773,NaN,220330000000,2.75711198977953,0.00589407098395251,NaN
220385000000,2.75822397952858,0.00591608559182419,NaN,220385000000,2.75910097948115,0.00588494558135145,NaN,220385000000,2.76029097968882,0.0056172552865873,NaN,220385000000,2.75701599226266,0.00558688181126583,NaN,220385000000,2.75680998761866,0.00580761609046267,NaN
220440000000,2.75791697929245,0.00584391018760354,NaN,220440000000,2.75879097952223,0.00581271623593441,NaN,220440000000,2.76005497964328,0.00554778409293907,NaN,220440000000,2.75671998893889,0.00551393703463972,NaN,220440000000,2.75654297943284,0.00573298846976143,NaN
220495000000,2.75763898460853,0.00578268368098635,NaN,220495000000,2.75851097950433,0.00575123653449906,NaN,220495000000,2.75984997969161,0.00548833785121856,NaN,220495000000,2.75645297959481,0.00545143318911089,NaN,220495000000,2.75630597950099,0.00566815485507153,NaN
220550000000,2.75739297949604,0.00573140253266493,NaN,220550000000,2.75826397946564,0.00569957380918692,NaN,220550000000,2.75967797949406,0.00543800010867767,NaN,220550000000,2.75621797959153,0.00539877446932334,NaN,220550000000,2.75609997954384,0.00561229971241719,NaN
220605000000,2.7571749940906,0.00568677214680069,NaN,220605000000,2.75804597943478,0.00565434704892392,NaN,220605000000,2.75953597949724,0.0053937253488409,NaN,220605000000,2.75601197958794,0.00535248372295133,NaN,220605000000,2.75592297956424,0.00556211085704823,NaN
220660000000,2.75698798831157,0.00565073331893467,NaN,220660000000,2.75785898727809,0.00561757952543792,NaN,220660000000,2.75942297950146,0.00535692037259114,NaN,220660000000,2.75583597958404,0.00531445607378072,NaN,220660000000,2.7557749795687,0.00551927107319762,NaN
220715000000,2.7568329839349,0.00562001568812466,NaN,220715000000,2.75770498323373,0.00558601807807864,NaN,220715000000,2.75934297950443,0.00532420554192735,NaN,220715000000,2.75569299362374,0.00528152583075802,NaN,220715000000,2.75565997956068,0.00548013878492429,NaN
220770000000,2.75671097942302,0.00559712984713482,NaN,220770000000,2.75758397949904,0.00556207870989084,NaN,220770000000,2.75929397950543,0.00529850363740485,NaN,220770000000,2.75558099351285,0.00525611976191332,NaN,220770000000,2.75557597954094,0.00544777906552026,NaN
220825000000,2.75662297942361,0.00558040376668321,NaN,220825000000,2.75749797950519,0.00554419232833901,NaN,220825000000,2.75927697950369,0.00527801278859184,NaN,220825000000,2.75550399346006,0.00523665498088986,NaN,220825000000,2.75552397951427,0.00541973114666748,NaN
220880000000,2.7565659794389,0.00557011489315583,NaN,220880000000,2.75744297950702,0.00553265444001554,NaN,220880000000,2.75928997950007,0.00526313989712604,NaN,220880000000,2.75545699343829,0.00522352325898234,NaN,220880000000,2.75550297948621,0.00539660426777815,NaN
220935000000,2.75653997944858,0.00556620956385255,NaN,220935000000,2.75741897950698,0.00552741866827001,NaN,220935000000,2.759329979496,0.00525404329249974,NaN,220935000000,2.7554409934522,0.00521679603981459,NaN,220935000000,2.75551097946047,0.005378345160162,NaN
220990000000,2.75654397944689,0.00556784484959136,NaN,220990000000,2.75742597950636,0.00552772377436372,NaN,220990000000,2.75939597949247,0.00524938039703292,NaN,220990000000,2.75545499351307,0.00521560455942562,NaN,220990000000,2.75554697943779,0.00536402726974921,NaN
221045000000,2.75657497943541,0.00557488163186595,NaN,221045000000,2.75746097950575,0.00553339077332344,NaN,221045000000,2.75948397973129,0.00524925283681528,NaN,221045000000,2.75549599360819,0.00521983469230053,NaN,221045000000,2.75560897941883,0.0053536874248288,NaN
221100000000,2.75663797941907,0.00558673622750982,NaN,221100000000,2.75752597950504,0.0055438640483222,NaN,221100000000,2.75959697969086,0.00525299861573104,NaN,221100000000,2.75556599375519,0.00522901413817555,NaN,221100000000,2.75569797940261,0.00534690276314223,NaN
221155000000,2.75672597942185,0.00560245719840529,NaN,221155000000,2.75761797950327,0.00555826414390817,NaN,221155000000,2.75972797972058,0.00525953253832472,NaN,221155000000,2.75566299396068,0.00524209003269416,NaN,221155000000,2.75580997956814,0.00534262493410617,NaN
