Freq_Hz,EpsReal_mean,EpsReal_std,TanDelta_mean,TanDelta_std
220000000000,2.7616412,0.00142882283716351,0.00673354627215477,0.000168344910101115
220055000000,2.7609574,0.00142537882683876,0.00652211689137347,0.00016431903454725
220110000000,2.7603584,0.00142503238559682,0.00634408323768219,0.000160988360693436
220165000000,2.759838,0.00142709354984179,0.00619152008663637,0.000158345792423783
220220000000,2.7593752,0.00143149788683029,0.00605944917002813,0.000156173417744343
220275000000,2.7589692,0.00143799189844728,0.00594585661924158,0.000154397959787226
220330000000,2.7586084,0.00144604125114049,0.00584685125692295,0.000153056826694622
220385000000,2.7582884,0.00145598258918153,0.00576256815844819,0.000152113189840316
220440000000,2.7580052,0.00146771155204275,0.00569027609150216,0.000151506109204763
220495000000,2.7577518,0.00148060551802299,0.00562837929494369,0.000151171527959329
220550000000,2.7575306,0.00149479690928235,0.00557601764415213,0.000150989222238097
220605000000,2.7573384,0.00150992857446971,0.00552989775211145,0.000150961377562229
220660000000,2.7571762,0.00152555258840854,0.00549180410656392,0.000151232339851115
220715000000,2.7570468,0.0015417085327648,0.00545839478647272,0.000151801427942144
220770000000,2.7569492,0.00155848057414915,0.00543233156587886,0.000152634086020538
220825000000,2.7568852,0.00157524274319864,0.0054118083675415,0.000153776952343945
220880000000,2.7568518,0.00159222696246487,0.00539721672154337,0.000155225897917492
220935000000,2.7568482,0.00160845009248035,0.00538857191935354,0.000156955289448863
220990000000,2.7568736,0.00162392866222637,0.00538492554742838,0.000159159099453043
221045000000,2.756925,0.00163799984737483,0.00538621885490643,0.000161826897789864
221100000000,2.757005,0.00165102725598328,0.00539191254083799,0.000165001000169036
221155000000,2.757109,0.00166156913789341,0.00540100315325873,0.000168809869157316
221210000000,2.7572396,0.00167018421139706,0.00541447728361174,0.000173271143673641
221265000000,2.757393,0.00167596569177304,0.00543132449491468,0.000178368271637908
221320000000,2.7575646,0.00167894008231396,0.00545232382010978,0.000184013200895017
221375000000,2.7577518,0.00167858145468126,0.00547711302383117,0.00019018530548043
221430000000,2.7579464,0.00167423857320279,0.00550430985073345,0.000196796962117253
221485000000,2.7581468,0.00166647688252797,0.00553494644903918,0.000203817856476575
221540000000,2.758346,0.00165492023976988,0.00556515908766399,0.000211195076442354
221595000000,2.7585406,0.00163997493883293,0.00559644532937942,0.000218516795537879
221650000000,2.7587292,0.00162076762677444,0.00562550421451315,0.000225703779995907
221705000000,2.7589048,0.00159901772973276,0.00565386662194049,0.000232614207768678
221760000000,2.7590678,0.00157379976490032,0.00568059639365547,0.000239053343705024
221815000000,2.7592116,0.00154610423322611,0.00570596157186589,0.000244962296941911
221870000000,2.7593324,0.00151642352263475,0.00573069918551821,0.00025019095528171
221925000000,2.7594288,0.00148553700728047,0.00575318653682765,0.000254494743068067
221980000000,2.7594948,0.00145364995786469,0.00577415951573442,0.000257949474991388
