Freq_Hz,S11_mag,S11_phase,S21_mag,S21_phase,S12_mag,S12_phase,S22_mag,S22_phase
50000000000,0.433879780006125,160.714963183775,0.886667408710563,65.8516157353279,0.887432457495734,65.3681933371815,0.436265161742674,150.318860448323
50050000000,0.423202819368799,160.408896429111,0.88614719460109,65.688209499468,0.886591068806588,65.0544321805717,0.426330023058086,149.597967140308
50100000000,0.413614038145219,161.936193628098,0.885025569961837,65.0228026963073,0.885017359675362,64.3829068098784,0.41386233327792,150.556462198717
50150000000,0.411735833183879,161.039980876277,0.877551433338012,64.8137928835119,0.87789429769334,64.3267461794621,0.413003181445913,149.538956666044
50200000000,0.419034256937116,165.410817853029,0.859103750489658,64.1363193505705,0.859440264660406,63.6727143580074,0.409296700967694,154.141924771523
50250000000,0.438216424881021,164.19622996747,0.847197421974294,65.858244309622,0.847809843016389,65.2768325756492,0.431917832927971,153.661086586868
50300000000,0.447627475400937,162.326121022138,0.863999970915975,67.3169322617811,0.86512154249291,66.4681884836133,0.442155640717874,152.1009320578
50350000000,0.443212319369035,160.700859574531,0.883541825465091,66.8659898661752,0.884900553967306,66.2678335520353,0.439113709749267,150.405530646882
50400000000,0.439209343514324,160.471746189788,0.893738936587251,66.3018181850515,0.89418501710734,65.813478993659,0.434945751948139,150.162849320295
50450000000,0.443865827157991,160.885473146813,0.905190637111543,66.609390984432,0.905404107099162,66.1540038329233,0.43861238994113,150.998116921573
50500000000,0.437285288825237,158.367935912315,0.917036851319797,63.8142863241147,0.917223537424808,63.1047834868032,0.433730345458878,148.562606293918
50550000000,0.442929352943376,158.38091660996,0.918774165395875,63.5475849297921,0.918678485898937,63.1228858734062,0.444684314902993,149.382747479002
50600000000,0.436169534536748,158.193181145839,0.930224047440518,62.2078552225338,0.931020995024308,61.5337671940978,0.448385340727384,147.394407119654
50650000000,0.438948328034775,157.22180313781,0.90621689588078,60.8840638740349,0.906546041320311,59.9829512398233,0.443082290215755,145.873350615364
