1_Frequency_Hz,1_EpsilonReal,1_TanDelta,2_Frequency_Hz,2_EpsilonReal,2_TanDelta,3_Frequency_Hz,3_EpsilonReal,3_TanDelta
50000000000,2.7493532825823,0.00587092709192186,50000000000,2.7610811696107,0.00584959550273313,50000000000,2.76420717993077,0.00569516416528544
50050000000,2.74916836168273,0.00777107353385474,50050000000,2.7609974582381,0.00779672637152325,50050000000,2.76386971732447,0.00761070364538068
50100000000,2.75136372995745,0.0100442046321464,50100000000,2.76298058225351,0.0101588184399904,50100000000,2.76626992294882,0.00989650809703291
50150000000,2.75112811916278,0.0132777167751287,50150000000,2.7625118590932,0.013433574591683,50150000000,2.76613262091543,0.0131241538828951
50200000000,2.74305170545121,0.021276682456594,50200000000,2.75398457199377,0.0215325424299233,50200000000,2.75722536920106,0.0213155787467113
50250000000,2.71028673668643,0.0230384342772727,50250000000,2.7203023136602,0.0226902686521159,50250000000,2.72345483517872,0.0223582125767948
50300000000,2.68683336141092,0.0140758346023168,50300000000,2.69811057788041,0.0136660262871828,50300000000,2.70208808467885,0.013428320213194
50350000000,2.69276884734712,0.00640849272285242,50350000000,2.70448431341072,0.00616401761427833,50350000000,2.70849170721042,0.00610261450212144
50400000000,2.69678716300032,0.002977727378735,50400000000,2.70879802084455,0.00282869525756146,50400000000,2.71239617297162,0.00282202939163868
50450000000,2.6841532510279,-0.00229562140496493,50450000000,2.69576806115379,-0.00238818286968202,50450000000,2.6990284192758,-0.00240672279953895
50500000000,2.73609023863962,-0.00600529266087013,50500000000,2.7479122701688,-0.00602211467916022,50500000000,2.75136629325212,-0.00609797540510302
50550000000,2.73160042805214,-0.00787669678200207,50550000000,2.74333747300136,-0.00784627782758713,50550000000,2.74732932032029,-0.00796104945447955
50600000000,2.75434976218217,-0.0121073866144279,50600000000,2.76608759730085,-0.0120318112579494,50600000000,2.76996065693587,-0.0120990584407375
50650000000,2.77640646207776,-0.00241365335392577,50650000000,2.78831125465805,-0.00235441493193901,50650000000,2.79251128936075,-0.00228965700008186
50700000000,2.781191982548,0.00599681537733464,50700000000,2.7925881468516,0.00607400032758256,50700000000,2.79659209256976,0.00628975866795601
50750000000,2.77427633303444,0.015061004264316,50750000000,2.78552156885067,0.0152268540139166,50750000000,2.78848832611407,0.0155051408880047
50800000000,2.74637764798358,0.0204867605283839,50800000000,2.75665172879692,0.0202764340363994,50800000000,2.75989461380667,0.0202104172013924
50850000000,2.72901401112939,0.0144602074620981,50850000000,2.74037550872277,0.0141911508640281,50850000000,2.74440605833145,0.0140072492299488
50900000000,2.73842480700812,0.0120853312761262,50900000000,2.75038060630747,0.0120800093463308,50900000000,2.75530024955722,0.0123710118440252
50950000000,2.71008036832847,0.0226804886892376,50950000000,2.7194172786492,0.0212806548427394,50950000000,2.72085182943903,0.0200056962252478
51000000000,2.70902654789256,0.0086214344537808,51000000000,2.72147258375479,0.00841786358703456,51000000000,2.72588277126165,0.00826031269564521
