1_Frequency_Hz,1_EpsilonReal,1_TanDelta,2_Frequency_Hz,2_EpsilonReal,2_TanDelta,3_Frequency_Hz,3_EpsilonReal,3_TanDelta
140000000000,2.70793793203133,0.0063651781297819,140000000000,2.72123597667738,0.00636243780776278,140000000000,2.706527656609,0.00640282021769679
140100000000,2.70793602615999,0.00636527902930385,140100000000,2.72123085098328,0.00636257122198361,140100000000,2.70652379083679,0.00640291838707271
140200000000,2.70793424902431,0.00636538408443846,140200000000,2.72122549866151,0.00636270842493214,140200000000,2.70651980559854,0.00640301988124992
140300000000,2.7079326017675,0.00636549328605822,140300000000,2.72121992147514,0.00636284939734668,140300000000,2.70651570228694,0.00640312468737661
140400000000,2.70793108571339,0.00636560662569035,140400000000,2.72121412155207,0.00636299412077953,140400000000,2.70651148258152,0.00640323279335145
140500000000,2.70792970236699,0.00636572409551641,140500000000,2.7212081013867,0.00636314257759721,140500000000,2.70650714844992,0.00640334418782382
140600000000,2.707928453415,0.00636584568837178,140600000000,2.72120186384136,0.00636329475098063,140600000000,2.70650270214906,0.00640345886019371
140700000000,2.70792734072616,0.00636597139774497,140700000000,2.72119541214759,0.00636345062492492,140700000000,2.70649814622604,0.0064035768006117
140800000000,2.70792636635149,0.0063661012177768,140800000000,2.72118874990707,0.00636361018423931,140800000000,2.70649348351893,0.00640369799997858
140900000000,2.70792553252439,0.00636623514325953,140900000000,2.72118188109244,0.00636377341454661,140900000000,2.70648871715735,0.00640382244994496
141000000000,2.70792484166065,0.00636637316963568,141000000000,2.72117481004775,0.00636394030228278,141000000000,2.70648385056284,0.00640395014291074
141100000000,2.70792429635832,0.00636651529299693,141100000000,2.72116754148882,0.00636411083469619,141100000000,2.70647888744907,0.00640408107202434
141200000000,2.70792389939743,0.00636666151008274,141200000000,2.72116008050325,0.00636428499984672,141200000000,2.70647383182185,0.00640421523118189
141300000000,2.70792365373959,0.00636681181827892,141300000000,2.72115243255018,0.00636446278660474,141300000000,2.70646868797896,0.00640435261502614
141400000000,2.70792356252752,0.00636696621561595,141400000000,2.7211446034599,0.00636464418465002,141400000000,2.70646346050976,0.0064044932189454
141500000000,2.70792362908438,0.00636712470076741,141500000000,2.72113659943314,0.00636482918447025,141500000000,2.70645815429461,0.00640463703907223
141600000000,2.70792385691297,0.00636728727304796,141600000000,2.72112842704011,0.00636501777735966,141600000000,2.70645277450415,0.00640478407228197
141700000000,2.70792424969486,0.00636745393241147,141700000000,2.72112009321933,0.00636520995541729,141700000000,2.70644732659827,0.00640493431619116
141800000000,2.70792481128935,0.00636762467944886,141800000000,2.72111160527619,0.00636540571154524,141800000000,2.70644181632501,0.00640508776915587
141900000000,2.70792554573229,0.00636779951538586,141900000000,2.72110297088123,0.00636560503944663,141900000000,2.70643624971919,0.00640524443026979
142000000000,2.7079264572348,0.00636797844208067,142000000000,2.72109419806824,0.0063658079336236,142000000000,2.70643063310081,0.00640540429936223
142100000000,2.70792755018182,0.0063681614620214,142100000000,2.72108529523203,0.00636601438937486,142100000000,2.70642497307337,0.00640556737699599
142200000000,2.70792882913055,0.00636834857832352,142200000000,2.72107627112598,0.00636622440279343,142200000000,2.70641927652182,0.00640573366446502
142300000000,2.70793029880879,0.00636853979472704,142300000000,2.72106713485938,0.00636643797076394,142300000000,2.70641355061051,0.00640590316379209
142400000000,2.70793196411305,0.00636873511559369,142400000000,2.72105789589439,0.00636665509095994,142400000000,2.70640780278073,0.00640607587772608
142500000000,2.70793383010668,0.00636893454590386,142500000000,2.72104856404292,0.00636687576184101,142500000000,2.70640204074822,0.00640625180973942
142600000000,2.70793590201771,0.00636913809125353,142600000000,2.7210391494631,0.00636709998264969,142600000000,2.7063962725004,0.00640643096402514
142700000000,2.70793818523663,0.00636934575785099,142700000000,2.72102966265562,0.00636732775340832,142700000000,2.7063905062934,0.0064066133454939
142800000000,2.7079406853141,0.00636955755251346,142800000000,2.72102011445969,0.00636755907491569,142800000000,2.70638475064889,0.00640679895977093
142900000000,2.7079434079584,0.00636977348266357,142900000000,2.72101051604889,0.00636779394874351,142900000000,2.70637901435079,0.00640698781319267
143000000000,2.70794635903286,0.00636999355632581,143000000000,2.72100087892664,0.00636803237723285,143000000000,2.70637330644162,0.00640717991280349
143100000000,2.7079495445531,0.00637021778212275,143100000000,2.72099121492151,0.00636827436349026,143100000000,2.70636763621884,0.00640737526635204
143200000000,2.70795297068416,0.00637044616927117,143200000000,2.72098153618225,0.0063685199113839,143200000000,2.70636201323084,0.00640757388228772
143300000000,2.70795664373752,0.00637067872757809,143300000000,2.72097185517254,0.00636876902553946,143300000000,2.70635644727282,0.00640777576975676
143400000000,2.70796057016792,0.00637091546743671,143400000000,2.72096218466558,0.00636902171133589,143400000000,2.70635094838249,0.00640798093859836
143500000000,2.70796475657019,0.00637115639982213,143500000000,2.72095253773832,0.00636927797490107,143500000000,2.70634552683544,0.00640818939934065
143600000000,2.7079692096758,0.0063714015362871,143600000000,2.72094292776556,0.00636953782310732,143600000000,2.70634019314053,0.00640840116319642
143700000000,2.70797393634939,0.00637165088895751,143700000000,2.72093336841371,0.00636980126356673,143700000000,2.70633495803492,0.0064086162420589
143800000000,2.70797894358514,0.00637190447052787,143800000000,2.72092387363442,0.00637006830462634,143800000000,2.70632983247898,0.00640883464849725
143900000000,2.70798423850305,0.00637216229425662,143900000000,2.72091445765788,0.00637033895536328,143900000000,2.70632482765101,0.00640905639575199
144000000000,2.707989828345,0.0063724243739614,144000000000,2.72090513498591,0.00637061322557965,144000000000,2.70631995494175,0.00640928149773034
144100000000,2.70799572047088,0.00637269072401408,144100000000,2.72089592038487,0.00637089112579737,144100000000,2.70631522594879,0.00640950996900137
144200000000,2.70800192235436,0.0063729613593358,144200000000,2.72088682887827,0.00637117266725279,144200000000,2.70631065247064,0.00640974182479106
144300000000,2.7080084415788,0.0063732362953919,144300000000,2.72087787573924,0.00637145786189128,144300000000,2.70630624650083,0.00640997708097722
144400000000,2.70801528583282,0.00637351554818661,144400000000,2.72086907648266,0.0063717467223616,144400000000,2.70630202022166,0.00641021575408434
144500000000,2.7080224629059,0.00637379913425783,144500000000,2.72086044685722,0.00637203926201017,144500000000,2.70629798599785,0.00641045786127821
144600000000,2.70802998068386,0.00637408707067163,144600000000,2.72085200283712,0.00637233549487525,144600000000,2.70629415637005,0.00641070342036058
144700000000,2.70803784714413,0.00637437937501675,144700000000,2.72084376061369,0.00637263543568088,144700000000,2.70629054404811,0.00641095244976353
144800000000,2.70804607035105,0.00637467606539898,144800000000,2.72083573658671,0.00637293909983086,144800000000,2.70628716190426,0.0064112049685439
144900000000,2.70805465845097,0.00637497716043542,144900000000,2.72082794735554,0.00637324650340246,144900000000,2.70628402296609,0.00641146099637741
145000000000,2.70806361966729,0.00637528267924863,145000000000,2.72082040971013,0.00637355766314004,145000000000,2.70628114040935,0.00641172055355287
145100000000,2.70807296229542,0.00637559264146073,145100000000,2.72081314062176,0.00637387259644865,145100000000,2.70627852755069,0.00641198366096613
145200000000,2.70808269469756,0.00637590706718737,145200000000,2.72080615723355,0.00637419132138737,145200000000,2.70627619784013,0.00641225034011396
145300000000,2.7080928252975,0.0063762259770316,145300000000,2.72079947685095,0.0063745138566626,145300000000,2.70627416485345,0.00641252061308786
145400000000,2.70810336257523,0.00637654939207765,145400000000,2.72079311693186,0.00637484022162124,145400000000,2.70627244228448,0.00641279450256773
145500000000,2.70811431506155,0.00637687733388468,145500000000,2.72078709507672,0.00637517043624374,145500000000,2.70627104393714,0.00641307203181542
145600000000,2.70812569133252,0.0063772098244803,145600000000,2.72078142901834,0.00637550452113705,145600000000,2.70626998371743,0.00641335322466824
145700000000,2.70813750000384,0.00637754688635416,145700000000,2.72077613661162,0.00637584249752741,145700000000,2.70626927562531,0.00641363810553223
