Freq_Hz,S11_mag_Mean,S11_phase_Mean,S21_mag_Mean,S21_phase_Mean,S12_mag_Mean,S12_phase_Mean,S22_mag_Mean,S22_phase_Mean
140000000000,0.449678605193761,178.152899489076,0.843360249304298,-104.284956726568,0.842184719938549,-103.824938220258,0.447465180151802,154.711967019492
140100000000,0.451725168301296,177.881752492864,0.842407399459456,-104.606104275104,0.84210118262061,-104.186193467563,0.446287820263828,154.798845616606
140200000000,0.451615199847958,177.334630370735,0.841574462376534,-105.039480005649,0.84054060821605,-104.540376652656,0.443846650760785,154.81906161712
140300000000,0.454376045395157,176.67745997323,0.841244303705708,-105.329400392285,0.840726042677078,-104.668695769537,0.445319189214953,154.899617602275
140400000000,0.456790169709057,175.858250359976,0.847631913557366,-105.689073605479,0.847499067927423,-105.063166941069,0.448820986576295,154.469869478992
140500000000,0.455847073300586,175.370443893596,0.848529749401014,-105.967301131754,0.849253130032436,-105.475584954967,0.449177998495139,153.879466045182
140600000000,0.455166369240675,174.171649723285,0.855866989765707,-107.020539095309,0.856141290986877,-106.651730536126,0.451415431664487,152.563458453552
140700000000,0.446420817710464,173.411922253022,0.850116758385214,-107.794794845857,0.849718537925934,-107.21478219677,0.447626475022247,151.810433777632
140800000000,0.43733630333221,172.927402352803,0.846972050819363,-108.429180598826,0.846920175082967,-107.696941887484,0.444933162901818,151.095656740719
140900000000,0.431886509750033,173.097864153918,0.844413213892351,-108.717378745268,0.844411073148261,-107.978492497846,0.441187168689636,150.640535944924
141000000000,0.433356891944365,173.402623527673,0.845523764153511,-108.882963254601,0.845577830833879,-108.300175753864,0.439582426809267,150.253370930736
141100000000,0.43899778026148,172.794568291203,0.850112581030487,-109.217843414348,0.850243492852094,-108.714709516835,0.439020813912214,149.638320455743
141200000000,0.441780433434797,172.202231593071,0.854785103269614,-109.904662538105,0.855087059906351,-109.267820398195,0.43828301978911,149.233881448298
141300000000,0.44305749844821,171.549707189096,0.856507071295793,-110.525065055388,0.856679805188822,-109.94482334942,0.440785750781309,148.757584511436
141400000000,0.442534102832011,171.237538360887,0.860054272644122,-111.128829951436,0.859490156434868,-110.546407842765,0.443114578168039,148.168385414775
141500000000,0.44325830486359,170.447227259693,0.860056037863102,-112.060414346305,0.85905019968455,-111.415454380126,0.445360613283463,146.990348176893
141600000000,0.443232049151535,169.595412042308,0.866186187565074,-112.494438721696,0.86528608470567,-111.990969931555,0.444504415290583,146.910889508167
