Freq_Hz,S11_mag_mean,S11_mag_std,S11_phase_mean,S11_phase_std,S21_mag_mean,S21_mag_std,S21_phase_mean,S21_phase_std,S12_mag_mean,S12_mag_std,S12_phase_mean,S12_phase_std,S22_mag_mean,S22_mag_std,S22_phase_mean,S22_phase_std
140000000000,0.449973085853121,0.000696116639332843,58.1500527531807,206.207177632624,0.843468470114781,5.51646450919037e-05,-104.285030762307,1.12413633191013,0.842302677623033,6.51108867246483e-05,-103.824983418147,1.174424078644,0.447478683365069,0.000195250184099735,154.711884650295,0.545211078988506
140100000000,0.452015000026184,0.000195663997655541,177.880800600805,2.51343916648362,0.842516809489411,8.85191554510605e-05,-104.606173621275,1.13093041134873,0.842219767249131,0.000122535242485155,-104.186262227799,1.17761444267134,0.446299043113178,0.000121949608664798,154.798923747037,0.497636340557859
140200000000,0.451906171568714,0.000114248511535659,177.334267471919,2.51849125169829,0.841681709818966,0.000112972493047546,-105.039441267301,1.12020709544551,0.840656650594167,0.000147599532454258,-104.540338083479,1.16596085718732,0.443856943450851,4.04329895354404e-05,154.819038464096,0.477880074226448
140300000000,0.454665844224658,0.00030427802937333,176.677357739618,2.50581527431674,0.841353188218404,0.000272301926084647,-105.329202524114,1.12887923159415,0.840840668367076,0.000289221086683156,-104.668484611882,1.15862650619429,0.445328941767001,0.000346666697731524,154.899451552251,0.464466110646702
140400000000,0.457077508874395,0.000570634320664293,175.858419169343,2.48863267412434,0.847748282456747,0.0003679332194295,-105.688796594688,1.16259117616438,0.847625290452239,0.000393099120130207,-105.06286245223,1.21091394196932,0.448830850653937,0.00047552960981743,154.469665309789,0.46529147788964
140500000000,0.45613076392631,0.000938498194468685,175.371097297154,2.47536517079644,0.848647576343709,0.000331770254754296,-105.96707501893,1.16925734718985,0.849370040050032,0.000362038214676337,-105.475349545278,1.16422067376489,0.449188801678143,0.000561824148484571,153.879136083802,0.486695102327351
140600000000,0.45544846060197,0.00123562185451081,174.172854052549,2.47016193631049,0.85599036822518,0.000255010272301535,-107.020395178592,1.19137876901629,0.856270079748226,0.000261822975702543,-106.651599517049,1.21704337458109,0.451426884040674,0.000587537208507185,152.563026232715,0.499770623475331
140700000000,0.446708160560776,0.00167449679800758,173.415464859262,2.51655885282082,0.850236550572541,0.000197715354091841,-107.794692037014,1.17791695098814,0.849838551572464,0.000226676231554614,-107.214685615387,1.17930454985367,0.447639001496629,0.000537636986868026,151.810021413826,0.524888565980686
140800000000,0.43762108714531,0.00119426468369949,172.927347021908,2.53266170172709,0.847090882522293,0.000306298039176971,-108.429060015737,1.17535629192621,0.847037418950387,0.000330394198328692,-107.696830426689,1.16754215288597,0.444945726758362,0.000986768993499461,151.094879376334,0.527235153717104
140900000000,0.432168625470575,0.00111396252016994,173.099681003486,2.5358026545647,0.844527499555569,0.000465749185628813,-108.717049964192,1.15432155654124,0.844532640719916,0.000434633562887202,-107.978224365167,1.19057799676114,0.441199515513591,0.00105197460820181,150.639702062859,0.524932618879897
141000000000,0.433653043227958,0.00115814557186803,173.404838534821,2.59360736390044,0.845644375963143,0.00059293573647685,-108.882517556221,1.18501089374041,0.845701869829506,0.000572452096381919,-108.299754623187,1.20172085887978,0.439595890784747,0.00121479132207999,150.25235963219,0.549236948980437
141100000000,0.439304818553276,0.0011790237339354,172.796233226957,2.62416497919257,0.850233862599268,0.000607505398549196,-109.217415989612,1.18508774654172,0.850374119284439,0.000593178399494217,-108.714345012799,1.22984918633209,0.439035864774667,0.00131621336232458,149.637158757242,0.581125939697858
141200000000,0.442085594243811,0.00113653063140961,172.203084826602,2.6081910420446,0.854907927259658,0.000404725012501133,-109.90451714579,1.18945868348801,0.855221038559359,0.000471792801075166,-109.267687796679,1.24210326354998,0.438299525618487,0.00137476408904783,149.232606476707,0.609223856138488
141300000000,0.443361564801825,0.0012200421601833,171.551120830549,2.59949974500329,0.856628265696277,0.000531323957735447,-110.524890680743,1.18034506007843,0.856810558264227,0.000593099902037873,-109.944651389279,1.22591875978889,0.44080246194177,0.00137069371948122,148.756381099968,0.611352604216958
141400000000,0.442839214010456,0.00137157854947153,171.238354658115,2.60586946751357,0.860181131134325,0.000578338929705536,-111.128840763889,1.20519959414434,0.859624692050971,0.000572223276094861,-110.546397445516,1.24155857549611,0.443130869364056,0.00113582301532873,148.167381878785,0.601881428982033
141500000000,0.443569004479434,0.00151538217373487,170.446171643074,2.6282688784008,0.860179385586613,0.000718370169042151,-112.060827506283,1.18858845843678,0.859181889255616,0.000713957066506199,-111.415909088155,1.22886905194024,0.445376552937973,0.00102514642702523,146.989444745822,0.593668919986262
141600000000,0.443522428152224,0.00128580021145406,169.595368397784,2.54057100232168,0.866306302935366,0.000886411172805833,-112.494373574291,1.16855985659094,0.86541907703905,0.000779041991823055,-111.99087106959,1.2302782149159,0.444517895286045,0.00102202568619196,146.910066509907,0.546438664566736
141700000000,0.43861985171997,0.00120616730108915,169.04515677109,2.5823355253784,0.864098120241655,0.000853647030773705,-113.760480709434,1.18757249356385,0.862394367503997,0.000727219199558004,-113.088142989957,1.22169998256405,0.445857300640885,0.0010662972762506,145.559087886779,0.546157564030475
141800000000,0.439764203947386,0.00132943692973043,168.586891230726,2.604566318757,0.858029913720718,0.000971345106644801,-114.47363036912,1.15649207685977,0.855739366503144,0.000791387652024932,-113.899255224837,1.22506566732035,0.440796985186858,0.00129506770415042,144.749833573441,0.546781764120592
141900000000,0.437785965818741,0.00158092093385461,167.865766320046,2.54816063006903,0.850850690666152,0.00105476705073082,-114.848665974084,1.11698544428014,0.849004054408389,0.000847874175068905,-114.071221577399,1.20664082556877,0.433941926064139,0.00159299043345033,143.85404870562,0.521194798702379
142000000000,0.435303849726327,0.00171258450251722,167.788316859734,2.54514071622074,0.851008980610299,0.00112510859202724,-115.072514186297,1.12707850447981,0.848629994017812,0.000812383839270494,-114.369406769519,1.20132498279139,0.426878415723501,0.0015170882077355,143.701719939455,0.50949296233953
142100000000,0.435983893504325,0.00167020044473491,167.350637867587,2.53135563470532,0.850953208972324,0.000969950481762834,-115.398726036119,1.12869665625779,0.849178883606176,0.000649263233816893,-114.553935165306,1.20827942156996,0.424178577267971,0.00135056703206153,143.835459608307,0.459880685818892
142200000000,0.433339264569537,0.00162476321619481,166.747708803113,2.53720246129179,0.85303066260795,0.00108453375429546,-115.625051229356,1.163362849603,0.850513853585796,0.000674788789787465,-114.907966509969,1.2153714877083,0.42268803089121,0.00123950682298429,144.165805253175,0.479743277083269
142300000000,0.429919790210082,0.00158547393569483,166.259453110325,2.52734641565947,0.856976938042891,0.00106562055611691,-116.126756355072,1.14923763465614,0.855518471060582,0.000650080134030833,-115.405800127859,1.23772082280642,0.425065283154633,0.00143159799615847,144.023789522829,0.498364446523971
142400000000,0.427207316762061,0.00169985025104473,165.533032995517,2.53666622679969,0.859355377787069,0.00106596469875086,-116.632869399718,1.16301409621779,0.855952625678625,0.000578438973503147,-115.947691967497,1.24773720057154,0.427034215774435,0.00177521033334704,143.710525426096,0.517938828270642
142500000000,0.427301765087952,0.0018543056532262,164.581475169892,2.54719898713097,0.864804881741378,0.000972484043163649,-117.293195147595,1.12402989298467,0.863664835846077,0.000530926243865537,-116.716416100105,1.2595665299362,0.428959369603095,0.00207936150197475,142.764879614965,0.530137982231751
142600000000,0.423355034580895,0.0018301961683386,164.096637646735,2.58215371526235,0.863158095841531,0.000971194177270588,-117.898490620345,1.1269185254767,0.859646351087928,0.000444388085819648,-117.124989813767,1.26680247387054,0.427312705888294,0.0020428369909714,141.918105617714,0.548616515912059
142700000000,0.422695937905156,0.00218843067404428,163.00944555626,2.53849566593331,0.866335570797557,0.000922631773127846,-118.779557787197,1.11270024118606,0.864086925417414,0.000332119890440329,-118.151707056367,1.25815218555277,0.427840014924564,0.00196072638465439,140.452939691979,0.576734696226326
142800000000,0.415975402342427,0.00270207147119775,162.692012846057,2.56779294788754,0.859712670739545,0.00100433737818528,-119.191352379619,1.11364533164778,0.858770468413753,0.0005513642726809,-118.511624564645,1.2068661752815,0.420950550666192,0.00211098802683747,139.313312130306,0.619620372417442
142900000000,0.412784296860884,0.00229163067000877,163.000523792507,2.549884789262,0.859093726197581,0.00130615974988412,-119.618878168678,1.14334174557457,0.858677754362263,0.00101887292671935,-119.003579487761,1.25403652147763,0.415342494673217,0.00196254684698843,139.048564140029,0.601499486455544
143000000000,0.413409229463028,0.00229331031778214,162.944985493445,2.58300090781786,0.860795333112944,0.00132286328725238,-119.921046691668,1.21066005479339,0.861071349981475,0.00100133178318145,-119.284821452979,1.23217153934845,0.413413961291421,0.00183901944667758,138.843008352156,0.603499787023717
143100000000,0.413343441735244,0.00232418206623498,162.646881284147,2.62209299209262,0.864589660078832,0.00132894651582626,-120.404730477984,1.2165073378212,0.863312425520051,0.00103059580913822,-119.845238981801,1.23706196008641,0.410204587143726,0.00202775935568775,138.915560900504,0.603698840792047
143200000000,0.414054687031223,0.00231175366740119,162.144531303024,2.59659580430678,0.866266479660792,0.00124443540749272,-121.048071729305,1.18405436326277,0.866567482594679,0.000955418632114239,-120.460299133495,1.23403662347713,0.409616138098056,0.00221607959092014,139.017828577049,0.589742050432076
143300000000,0.414178547598204,0.00238657590341713,161.613965890102,2.60745129828213,0.867886656141332,0.00129587368457336,-121.745407624684,1.16440505605874,0.866807422038925,0.000989821403789531,-121.079000668559,1.23158584538075,0.409789755127481,0.00247797143733486,138.8465153729,0.587412833549866
143400000000,0.414769453415511,0.00267520709958886,160.654504565689,2.6140866478765,0.870592738303028,0.0014080675039605,-122.279606411474,1.17761065622792,0.87005965925531,0.00114683255257653,-121.780688886726,1.2537892195734,0.412392448663179,0.00256767774795786,137.875124335788,0.596074715893106
