1_Freq_Hz,1_S11_mag,1_S11_phase,1_S21_mag,1_S21_phase,1_S12_mag,1_S12_phase,1_S22_mag,1_S22_phase,2_Freq_Hz,2_S11_mag,2_S11_phase,2_S21_mag,2_S21_phase,2_S12_mag,2_S12_phase,2_S22_mag,2_S22_phase,3_Freq_Hz,3_S11_mag,3_S11_phase,3_S21_mag,3_S21_phase,3_S12_mag,3_S12_phase,3_S22_mag,3_S22_phase
140000000000,0.450369427053166,-179.947026233474,0.843516447189401,-103.643353137339,0.842376721543632,-103.267230923791,0.447281801133044,154.164383537314,140000000000,0.449169305134775,175.265759938797,0.843408193999689,-105.583044002379,0.842276949507817,-105.174353024846,0.44767225951367,154.716493944407,140000000000,0.450380525371423,179.131424554219,0.843480769155254,-103.628695147203,0.842254361817649,-103.033366305804,0.447481989448494,155.254776469165
140100000000,0.45208887087198,179.729773358638,0.842619020707404,-103.935315786035,0.842360726557086,-103.62260722846,0.446439672344061,154.322787623712,140100000000,0.451793154561415,175.018957453194,0.842465164372296,-105.911894205862,0.842159905541119,-105.539768577161,0.446234995204955,154.758401210344,140100000000,0.452162974645156,178.893670990584,0.842466243388532,-103.971310871927,0.842138669649188,-103.396410877776,0.446222461790517,155.315582407056
140200000000,0.45182489999147,179.192474845761,0.841722565810175,-104.384573699747,0.840754051343448,-103.970900592725,0.4438408120168,154.36313385032,140200000000,0.451856813355107,174.467872582899,0.841768570570078,-106.332910913979,0.840729071821688,-105.881593827066,0.443827066325741,154.777764838549,140200000000,0.452036801359566,178.342454987097,0.841553993076644,-104.400839188177,0.840486828617364,-103.768519830647,0.443902952010013,155.31621670342
140300000000,0.454364722906522,178.52225525604,0.841315130947218,-104.699265381603,0.840848705976355,-104.124370575116,0.44493644831543,154.459922918893,140300000000,0.454659626112897,173.824526880779,0.84164251682076,-106.632479102465,0.841125786873433,-105.999017098616,0.445593302127042,154.853058578436,140300000000,0.454973183654554,177.685291082034,0.841101916887235,-104.655863088275,0.840547512251441,-103.882066161913,0.445457074858531,155.385373159424
140400000000,0.456490107524267,177.670911014256,0.8477091444168,-105.035247271612,0.847627549390008,-104.468309776371,0.448294170990161,154.053213417656,140400000000,0.457112668898263,173.020995479095,0.848134220163062,-107.031087481909,0.848017255235598,-106.456128257069,0.449199737060506,154.383915022887,140400000000,0.457629750200655,176.883351014678,0.847401482790379,-105.000055030543,0.84723106673111,-104.264149323249,0.448998643911144,154.971867488825
140500000000,0.455131883809974,177.152249070217,0.848673155268962,-105.321003576796,0.849455904061501,-104.909721965368,0.448542662502147,153.451479396546,140500000000,0.456266256535095,172.544531612153,0.848965816775317,-107.316807634266,0.849681427388303,-106.814316192473,0.44946162688583,153.777204327017,140500000000,0.456994151433861,176.416511209092,0.848303756986848,-105.263413845728,0.848972788700291,-104.702010477994,0.449562115646452,154.408724527844
140600000000,0.454099799838719,175.939655580594,0.85605511759029,-106.355272027268,0.856384447643093,-106.036745726308,0.450883500658989,152.114386842009,140600000000,0.45571955782946,171.350250034102,0.856206762268087,-108.395833432698,0.856455261761838,-108.053403261416,0.451346793345996,152.473001055486,140600000000,0.456526024137732,175.228656542951,0.855709224817164,-106.31008007581,0.855970529839747,-105.864649563422,0.452050358117036,153.101690800651
140700000000,0.444774879588773,175.21981722377,0.850289156878271,-107.132300481098,0.849961544160097,-106.648235274015,0.447208058827332,151.316455465408,140700000000,0.44764726853861,170.54065012212,0.85040264230966,-109.154681483991,0.849977147086306,-108.570342475914,0.447467471744091,151.752169364411,140700000000,0.447702333554945,174.485927231897,0.850017852529693,-107.097094145953,0.849576963470988,-106.425479096232,0.448241473918463,152.36143941166
140800000000,0.436517115476619,174.791130596383,0.847259147834258,-107.769361705903,0.847265572546898,-107.117413442824,0.444054299466105,150.596705842981,140800000000,0.437457389354876,170.043761512276,0.847276163261293,-109.786070802517,0.847188143546743,-109.040750305333,0.444776842093805,151.040907971507,140800000000,0.438888756604435,173.947148957064,0.846737336471329,-107.73174753879,0.846658540757519,-106.93232753191,0.446006038715175,151.647024314514
140900000000,0.430907906286401,174.986656816013,0.844574044530931,-108.103984647985,0.844687287620297,-107.40119327233,0.440187269245585,150.127210904075,140900000000,0.432577958253577,170.217176125894,0.844968228660412,-110.048556497301,0.844868801956431,-109.347365797263,0.441124115908586,150.615646262501,140900000000,0.433020011871748,174.095210068552,0.844040225475363,-107.99860874729,0.84404183258302,-107.186114025908,0.442287161386601,151.176249022002
141000000000,0.432328799650149,175.362634378374,0.84567710501856,-108.248024879525,0.845790203418548,-107.703145578148,0.438356598682149,149.702490994743,141000000000,0.434153655340335,170.463270051207,0.846220269313634,-110.24967584359,0.846225020658047,-109.683036683815,0.439646472455217,150.253625196232,141000000000,0.434476674693389,174.388611174882,0.845035753557234,-108.149851945547,0.845090385411922,-107.513081607598,0.440784601216876,150.800962705596
141100000000,0.438001548668295,174.801213557138,0.850318471875575,-108.563848759491,0.850593497568119,-108.072008816236,0.437698057706116,149.038059210885,141100000000,0.43961555370058,169.826185630758,0.850794628240633,-110.585386606986,0.850826360289604,-110.132364139735,0.439080170998139,149.674950707316,141100000000,0.440297353290954,173.761300492976,0.849588487681596,-108.503012602358,0.849702499995593,-107.938662082426,0.440329365619746,150.198466353524
141200000000,0.440912556116858,174.195140108767,0.855164447709639,-109.251723703115,0.85558537929097,-108.632893947567,0.436844694524481,148.577843878863,141200000000,0.442162517349033,169.250926482729,0.855117972044681,-111.277435486888,0.855389624976258,-110.698906113635,0.438476871927601,149.337236429424,141200000000,0.443181709265541,173.163187888311,0.854441362024654,-109.184392247368,0.854688111410849,-108.471263328834,0.439577010403378,149.782739121835
141300000000,0.442034358767593,173.502434950867,0.856993545060792,-109.875718654403,0.85727518868072,-109.328415077756,0.439228433658288,148.113900291654,141300000000,0.443616027281169,168.600196996722,0.856872514040859,-111.887333245183,0.857013968228365,-111.356430005451,0.441445853332095,148.824311782848,141300000000,0.444434308356713,172.550730544059,0.856018737987181,-109.811620142642,0.856142517883596,-109.149109084631,0.441733098834927,149.330931225403
141400000000,0.441445356963805,173.183889073258,0.860753607652669,-110.464385699979,0.860193015653661,-109.922718470159,0.441861238702221,147.549931614981,141400000000,0.442884913221254,168.277692191396,0.860192682892736,-112.520020921205,0.859632413256452,-111.976152895224,0.44348086473597,148.199832449156,141400000000,0.44418737184631,172.25348270969,0.859597102857571,-110.402115670483,0.8590486472428,-109.740320971164,0.444050504653977,148.752381572219
141500000000,0.442379173893872,172.396217226646,0.861002294186891,-111.419215792029,0.859987345223846,-110.800290695221,0.444316950112584,146.417764177116,141500000000,0.443052789484752,167.457249905545,0.859677533407841,-113.432344232121,0.858626960071617,-112.830912776357,0.445449346050783,146.947674312889,141500000000,0.445275050059679,171.48504779703,0.859858329165108,-111.330922494698,0.858931362471385,-110.616523792888,0.446363362650552,147.602895747461
141600000000,0.442362460829384,171.528720633068,0.867143467127798,-111.856885843183,0.866156108945768,-111.400758444773,0.443615497438853,146.360225932341,141600000000,0.443299829081937,166.717903733866,0.86639771285228,-113.843039370358,0.865497209047046,-113.405038548782,0.444310462979533,146.916935089911,141600000000,0.44490499454535,170.539480826418,0.865377728826019,-111.783195509333,0.864603913124335,-111.166816215214,0.445627725439749,147.45303850747
141700000000,0.43745977540725,170.994656239754,0.865049182596769,-113.096247320667,0.863189180718028,-112.498120637112,0.444787554109543,145.027079508815,141700000000,0.438532426941243,166.11642504301,0.863846918176481,-115.131550690258,0.862231591948437,-114.492864067549,0.445864232953085,145.531811665438,141700000000,0.439867352811418,170.024389030505,0.863398259951715,-113.053644117378,0.861762329845526,-112.273444265209,0.446920114860026,146.118372486085
141800000000,0.43853889817439,170.545456130413,0.85914860041741,-113.816057041698,0.856643183037851,-113.30954170324,0.43947763945064,144.232439139754,141800000000,0.439575999872792,165.63105031752,0.857540687219031,-115.808981443655,0.855404210835208,-115.30764885574,0.440846989719251,144.695165911003,141800000000,0.441177713794975,169.584167244244,0.857400453525712,-113.795852622008,0.855170705636374,-113.080575115532,0.442066326390684,145.321895669566
141900000000,0.436790898006577,169.77236772481,0.852009213250292,-114.214585437172,0.849867051362664,-113.495676840072,0.432445185616447,143.355016862921,141900000000,0.436958097508137,164.971647256985,0.850596856167439,-116.138389586319,0.848972952995968,-115.457876684771,0.433764313272349,143.812241038542,141900000000,0.439608901941509,168.853283978342,0.849946002580724,-114.19302289876,0.848172158866536,-113.260111207355,0.435616279303621,144.394888215396
142000000000,0.43374844642255,169.671755002924,0.852277882778861,-114.457396260907,0.849445902283307,-113.779127852342,0.425424801844799,143.216823464733,142000000000,0.435023966346073,164.892822766304,0.850615951995595,-116.373314513746,0.848622898686928,-115.751679989073,0.426758575363922,143.655655377662,142000000000,0.437139136410358,168.800372809975,0.85013310705644,-114.386831784238,0.847821181083202,-113.577412467142,0.428451869961781,144.232680975969
142100000000,0.434562014590446,169.214024757528,0.852016144191928,-114.81642866392,0.849680708540202,-113.996149566217,0.422914286157781,143.41067837121,142100000000,0.435566442607135,164.468661539763,0.850727405354947,-116.699653643367,0.849410331531898,-115.94034572077,0.424020022311106,143.771877545876,142100000000,0.437823223315394,168.36922730547,0.850116077370096,-114.680095801071,0.848445610746429,-113.725310208932,0.425601423335025,144.323822907835
142200000000,0.432008486546699,168.603227732546,0.854164103774612,-115.010503053987,0.850940748713546,-114.324761768241,0.421492293044543,143.715660383475,142200000000,0.432859390336479,163.856487228634,0.852925132663609,-116.966811191738,0.850864906086801,-116.305024454365,0.422604698364339,144.111269374274,142200000000,0.435149916825432,167.783411448158,0.852002751385628,-114.897839442342,0.84973590595704,-114.0941133073,0.423967101264748,144.670486001776
142300000000,0.428722157056836,168.093510336514,0.857979861252958,-115.520286941942,0.855811067394416,-114.802829421747,0.423575153451794,143.56588704205,142300000000,0.42931944719622,163.376551797119,0.857092854721936,-117.452191276425,0.855970833665498,-116.829458631942,0.42519058359586,143.95089459357,142300000000,0.43171776637719,167.308297197343,0.85585809815378,-115.407790846848,0.854773512121832,-114.585112329887,0.426430112416246,144.554586932867
142400000000,0.425942479724225,167.365255592815,0.86030599047426,-116.003511608207,0.85621408681558,-115.351569602676,0.425221244307226,143.246354919648,142400000000,0.426539877086111,162.637806790742,0.859557221632277,-117.974939830235,0.856354173422183,-117.381678638798,0.427112315986716,143.616007042571,142400000000,0.429139593475847,166.596036602993,0.85820292125467,-115.920156760712,0.855289616798111,-115.109827661018,0.428769087029362,144.26921431607
142500000000,0.425754921963013,166.443828845894,0.86573135939263,-116.684152385413,0.864016484156227,-116.129466058351,0.426859955682657,142.270040281665,142500000000,0.426793037394014,161.678762948198,0.864891146860694,-118.59031079912,0.863923914296077,-118.162334212722,0.429000072029679,142.700214668299,142500000000,0.42935733590683,165.621833715583,0.863792138970811,-116.605122258252,0.863054109085926,-115.857448029242,0.43101808109695,143.324383894932
142600000000,0.421701124119047,165.985497607249,0.863933364393078,-117.304954944786,0.859831108881712,-116.52602637866,0.425303923058808,141.411589721235,142600000000,0.423042668455597,161.154290289203,0.863472200217038,-119.198120320218,0.859968555341978,-118.58020532868,0.427246220732348,141.841877122391,142600000000,0.425321311168041,165.150125043754,0.862068722914477,-117.192396596031,0.859139389040093,-116.268737733962,0.429387973873727,142.500850009517
142700000000,0.420659368296938,164.856850781072,0.86722230869483,-118.157016403355,0.86438244098242,-117.554632962051,0.426056138215818,139.897182902654,142700000000,0.42241864678009,160.114885085594,0.866403593396505,-120.064190434296,0.864150843176143,-119.59722876621,0.42752456524211,140.413054490284,142700000000,0.425009798638441,164.056600802114,0.865380810301337,-118.117466523939,0.86372749209368,-117.303259440841,0.429939341315765,141.048581683
142800000000,0.413305115340271,164.600747175348,0.860440377200026,-118.556806909048,0.85900011658584,-117.919433453712,0.419336550140312,138.692943247057,142800000000,0.415912917234021,159.772674799093,0.860130818819885,-120.477242665352,0.859169890230932,-119.900198143294,0.420175614717936,139.314811874486,142800000000,0.418708174452989,163.702616563731,0.858566816198723,-118.540007564458,0.858141398424486,-117.715242096928,0.423339487140329,139.932181269376
142900000000,0.410442142490359,164.918950826368,0.859861126548427,-118.966666384556,0.859194649788154,-118.408592032023,0.413766957165626,138.415658253153,142900000000,0.412888928639106,160.106978162075,0.859834470693255,-120.939064132294,0.859334575123494,-120.444357975799,0.414719642535966,139.117278842628,142900000000,0.415021819453187,163.975642389078,0.857585581351061,-118.950903989184,0.857504038175141,-118.15778845546,0.417540884318058,139.612755324307
143000000000,0.410998591096375,164.854801014895,0.861673265802806,-119.245379125167,0.861617352659296,-118.682163985059,0.411855672522703,138.213461224734,143000000000,0.413665396807838,160.006054750164,0.861438906799982,-121.31874026421,0.861681001545392,-120.702326555015,0.412943788017926,138.899006330266,143000000000,0.415563700484872,163.974100715275,0.859273826736045,-119.199020685628,0.859915695739738,-118.469973818864,0.415442423333633,139.416557501469
143100000000,0.411056460539057,164.583062506043,0.865473766393838,-119.729647976132,0.863950611578054,-119.274894306053,0.408454679130306,138.287113361266,143100000000,0.413270745656373,159.662910377605,0.865233823225641,-121.809083715505,0.863863198364814,-121.26458613258,0.409732257044166,138.968551903815,143100000000,0.415703119010301,163.694670968793,0.863061390617018,-119.675459742315,0.862123466617284,-118.996236506771,0.412426825256705,139.491017436431
143200000000,0.411697342960598,164.066353394008,0.867376512548245,-120.38357715853,0.86741383574696,-119.875999952055,0.407389982491457,138.389667497334,143200000000,0.414148738525398,159.190567408534,0.866501709839964,-122.415123324318,0.866757159605303,-121.877967377108,0.409636429479085,139.104190146472,143200000000,0.416317979607674,163.176673106529,0.864921216594168,-120.345514705067,0.865531452431775,-119.626930071323,0.411822002323626,139.559628087342
143300000000,0.411749673961902,163.53867686462,0.869045041047493,-121.091507004646,0.867725604807742,-120.529472255082,0.407059550407252,138.231046864414,143300000000,0.414265520808547,158.646512394929,0.868127766628178,-123.089780963197,0.866937781003303,-122.489686345571,0.410413352879736,138.907363573841,143300000000,0.416520448024162,162.656708410757,0.866487160748324,-121.054934906208,0.865758880305729,-120.217843405024,0.411896362095455,139.401135680446
143400000000,0.412122912990876,162.564634288872,0.871739525800345,-121.613493048936,0.871010705830151,-121.215937323505,0.409712064098821,137.295078434326,143400000000,0.414713013201227,157.675334387404,0.871017499313266,-123.639301587466,0.870382169621949,-123.217525218116,0.41263508777684,137.844265484176,143400000000,0.417472434054429,161.72354502079,0.869021189795473,-121.586024598019,0.86878610231383,-120.908604118556,0.414830194113875,138.486029088862
143500000000,0.408292448558923,162.25984577653,0.874316863263264,-122.325792823715,0.874158766174331,-121.77041773908,0.40758859753242,136.460901488178,143500000000,0.41097814950608,157.395623055263,0.873086074261959,-124.397776111222,0.873141237922524,-123.773895918032,0.410230930710561,137.066744389738,143500000000,0.413995331286222,161.405354531247,0.871759011272508,-122.309119061152,0.871895971564317,-121.466284630155,0.412809574680811,137.665710867116
143600000000,0.40694442173065,161.959653048432,0.873646284336384,-123.372085608973,0.872910823166908,-122.696179410649,0.406116748804662,135.389126477767,143600000000,0.409777410774153,157.130237120785,0.872042241364377,-125.404264200813,0.871614909399129,-124.731090916806,0.408832079191375,136.018448630041,143600000000,0.412832423282683,161.113336660969,0.871084054417531,-123.335002785447,0.870528377793426,-122.395431473232,0.411365809817021,136.595199750013
143700000000,0.407857213272113,161.640352157954,0.872337165193999,-123.904365048231,0.872935440753703,-123.199151381026,0.401477544971469,135.103135860556,143700000000,0.410619188532161,156.761261755582,0.870447819228257,-125.882369060018,0.871326843825074,-125.168731883457,0.404429898620132,135.712238913642,143700000000,0.413732408682533,160.785899337407,0.869725663002492,-123.83789562216,0.870375206273543,-122.867776256694,0.406832544637606,136.308152760559
143800000000,0.403464216703016,160.763833051016,0.870526448183155,-124.834960951676,0.870535358459054,-123.962258486581,0.404171490087745,134.442164112841,143800000000,0.405458359536456,155.871764214243,0.868418469270154,-126.749387330245,0.868579772390845,-125.986856148192,0.407325184397665,134.961264818992,143800000000,0.409348621783171,159.878915969347,0.867994717604629,-124.742058620637,0.867871956551389,-123.67001282949,0.410100126738236,135.632675402565
