1_Frequency_Hz,1_EpsilonReal,1_TanDelta,2_Frequency_Hz,2_EpsilonReal,2_TanDelta,3_Frequency_Hz,3_EpsilonReal,3_TanDelta
140000000000,2.70793800815809,0.00636042087667773,140000000000,2.72123605338898,0.0063576688317515,140000000000,2.70652773188176,0.00639806252386409
140100000000,2.70793610229893,0.00636052164230903,140100000000,2.72123092771047,0.00635780210913881,140100000000,2.70652386613355,0.00639816055974978
140200000000,2.7079343251784,0.00636062654572439,140200000000,2.72122557540704,0.00635793915735307,140200000000,2.70651988092258,0.0063982619026489
140300000000,2.70793267793972,0.00636073557780361,140300000000,2.72121999824176,0.00635807995714029,140300000000,2.70651577764155,0.00639836653971705
140400000000,2.70793116190672,0.00636084873008177,140400000000,2.72121419834253,0.00635822449006102,140400000000,2.70651155796996,0.00639847445886079
140500000000,2.7079297785844,0.00636096599474874,140500000000,2.72120817820373,0.00635837273849051,140500000000,2.70650722387545,0.00639858564873787
140600000000,2.70792852965945,0.00636108736464876,140600000000,2.72120194068769,0.00635852468561886,140600000000,2.70650277761493,0.00639870009875716
140700000000,2.70792741700061,0.00636121283327963,140700000000,2.72119548902595,0.00635868031545096,140700000000,2.70649822173549,0.00639881779907861
140800000000,2.70792644265888,0.00636134239479201,140800000000,2.72118882682015,0.00635883961280623,140800000000,2.70649355907519,0.00639893874061285
140900000000,2.70792560886765,0.00636147604398846,140900000000,2.72118195804293,0.00635900256331825,140900000000,2.70648879276363,0.00639906291502091
141000000000,2.70792491804271,0.00636161377632234,141000000000,2.72117488703833,0.00635916915343419,141000000000,2.70648392622232,0.00639919031471351
141100000000,2.70792437278207,0.00636175558789666,141100000000,2.72116761852214,0.00635933937041417,141100000000,2.70647896316494,0.00639932093285044
141200000000,2.70792397586576,0.0063619014754627,141200000000,2.72116015758195,0.00635951320233031,141200000000,2.70647390759726,0.00639945476333968
141300000000,2.70792373025537,0.0063620514364186,141300000000,2.72115250967688,0.00635969063806581,141300000000,2.70646876381704,0.00639959180083637
141400000000,2.70792363909359,0.00636220546880775,141400000000,2.72114468063719,0.00635987166731363,141400000000,2.70646353641363,0.00639973204074169
141500000000,2.70792370570356,0.006362363571317,141500000000,2.72113667666361,0.00636005628057529,141500000000,2.70645823026735,0.00639987547920157
141600000000,2.70792393358807,0.00636252574327495,141600000000,2.7211285043263,0.00636024446915931,141600000000,2.70645285054882,0.00640002211310524
141700000000,2.70792432642865,0.00636269198464982,141700000000,2.72112017056377,0.00636043622517957,141700000000,2.7064474027179,0.00640017194008364
141800000000,2.70792488808458,0.00636286229604744,141800000000,2.72111168268138,0.0063606315415535,141800000000,2.70644189252261,0.00640032495850775
141900000000,2.70792562259169,0.00636303667870893,141900000000,2.72110304834964,0.00636083041200007,141900000000,2.70643632599773,0.00640048116748668
142000000000,2.70792653416104,0.00636321513450844,142000000000,2.7210942756023,0.00636103283103777,142000000000,2.70643070946324,0.00640064056686566
142100000000,2.70792762717757,0.00636339766595051,142100000000,2.72108537283415,0.00636123879398223,142100000000,2.70642504952258,0.00640080315722393
142200000000,2.70792890619844,0.00636358427616757,142200000000,2.72107634879854,0.00636144829694389,142200000000,2.70641935306071,0.00640096893987242
142300000000,2.7079303759514,0.00636377496891711,142300000000,2.72106721260472,0.00636166133682528,142300000000,2.7064136272419,0.00640113791685134
142400000000,2.70793204133294,0.00636396974857886,142400000000,2.72105797371481,0.00636187791131845,142400000000,2.70640787950742,0.0064013100909276
142500000000,2.70793390740637,0.00636416862015174,142500000000,2.7210486419407,0.00636209801890191,142500000000,2.70640211757297,0.00640148546559211
142600000000,2.70793597939965,0.00636437158925075,142600000000,2.72103922744047,0.00636232165883772,142600000000,2.70639634942593,0.00640166404505692
142700000000,2.70793826270328,0.00636457866210374,142700000000,2.72102974071477,0.00636254883116828,142700000000,2.70639058332238,0.00640184583425225
142800000000,2.70794076286785,0.006364789845548,142800000000,2.72102019260278,0.00636277953671289,142800000000,2.70638482778396,0.00640203083882336
142900000000,2.70794348560159,0.0063650051470268,142900000000,2.72101059427802,0.00636301377706435,142900000000,2.70637909159453,0.0064022190651273
143000000000,2.70794643676781,0.00636522457458574,143000000000,2.72100095724388,0.00636325155458532,143000000000,2.70637338379658,0.0064024105202295
