Frequency_Hz,EpsilonReal_mean,EpsilonReal_std,TanDelta_mean,TanDelta_std
140000000000,2.71190059780961,0.00811543393477441,0.00637205074409777,2.25688491682123e-05
140100000000,2.71189696538098,0.00811423085220711,0.00637216143706587,2.25569224500067e-05
140200000000,2.71189326050267,0.00811290572137395,0.00637227586857545,2.25446443576812e-05
140300000000,2.71188948460768,0.00811145887745237,0.00637239402488698,2.25320155606502e-05
140400000000,2.7118856394064,0.0081098907331055,0.00637251589300119,2.25190367253327e-05
140500000000,2.71188172688786,0.00810820177878285,0.00637264146065904,2.25057085160074e-05
140600000000,2.71187774932069,0.00810639258298301,0.00637277071634159,2.24920315954805e-05
140700000000,2.71187370925402,0.00810446379249011,0.00637290364926973,2.24780066259402e-05
140800000000,2.71186960951807,0.00810241613246284,0.0063730402494037,2.24636342696378e-05
140900000000,2.71186545322474,0.00810025040660822,0.00637318050744254,2.24489151897399e-05
141000000000,2.71186124376779,0.00809796749714448,0.00637332441482335,2.24338500510342e-05
141100000000,2.71185698482305,0.00809556836480904,0.00637347196372042,2.24184395207179e-05
141200000000,2.71185268034832,0.00809305404879316,0.00637362314704423,2.24026842691951e-05
141300000000,2.7118483345831,0.00809042566655172,0.00637377795844026,2.2386584970782e-05
141400000000,2.71184395204814,0.00808768441362744,0.00637393639228769,2.23701423045377e-05
141500000000,2.71183953754484,0.00808483156341897,0.00637409844369795,2.2353356955002e-05
141600000000,2.7118350961544,0.00808186846677752,0.00637426410851317,2.23362296129319e-05
141700000000,2.71183063323677,0.0080787965517206,0.00637443338330434,2.23187609760871e-05
141800000000,2.71182615442952,0.00807561732291886,0.00637460626536956,2.23009517499863e-05
141900000000,2.71182166564635,0.00807233236121051,0.00637478275273189,2.2282802648667e-05
142000000000,2.71181717307553,0.00806894332306508,0.00637496284413729,2.22643143953686e-05
142100000000,2.7118126831781,0.00806545193993382,0.00637514653905222,2.2245487723366e-05
142200000000,2.7118082026859,0.00806186001756949,0.00637533383766129,2.22263233766223e-05
142300000000,2.71180373859934,0.00805816943531263,0.00637552474086458,2.22068221105946e-05
142400000000,2.71179929818506,0.00805438214523839,0.00637571925027497,2.21869846928833e-05
142500000000,2.71179488897335,0.00805050017135745,0.00637591736821525,2.21668119040218e-05
142600000000,2.71179051875535,0.00804652560864976,0.00637611909771513,2.21463045381316e-05
142700000000,2.71178619558014,0.00804246062212473,0.00637632444250809,2.21254634036398e-05
142800000000,2.71178192775153,0.00803830744576883,0.00637653340702808,2.21042893240028e-05
142900000000,2.71177772382471,0.00803406838146084,0.00637674599640615,2.20827831383672e-05
143000000000,2.71177359260276,0.00802974579782957,0.00637696221646685,2.20609457022465e-05
