freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.030303030303031616e+11	1.670042234799462566e+00	7.988035706604196262e-03	1.014647567930829997e+00	2.788977257299533274e+00	2.668071400623035078e-02	9.566486760119488966e-03	2.182357965216076991e+04	6.797119637821056415e+01	8.394948512122036854e-01	6.646780928262084609e-02	8.421220664978628090e-01	7.901113082645142005e-02	8.394948512122034634e-01	6.646780928261983301e-02	8.421220664978624759e-01	7.901113082645024044e-02
3.128054740957968140e+11	1.670620367833426823e+00	7.956025361955077271e-03	1.043180990772231143e+00	2.790909115080334235e+00	2.658299603336292810e-02	9.524851916432885285e-03	2.654331718541846567e+04	6.930321657463495910e+01	7.380366082956700824e-01	-3.148656020249133158e-01	8.023954028551555373e-01	-4.032470729292653711e-01	7.380366082956707485e-01	-3.148656020249120946e-01	8.023954028551557593e-01	-4.032470729292636502e-01
3.225806451612904663e+11	1.670871034824387813e+00	7.525056920812578549e-03	1.017506650799232304e+00	2.791753388533459113e+00	2.514679928878106943e-02	9.007528885633763263e-03	2.402484636769204371e+04	6.862498785000518353e+01	5.684324986728149787e-01	-5.254149185042953363e-01	7.740648177861432222e-01	-7.460915626501675169e-01	5.684324986728160889e-01	-5.254149185042945591e-01	7.740648177861434442e-01	-7.460915626501657405e-01
3.323558162267841187e+11	1.670357833094453293e+00	7.798632957333535148e-03	1.086452954244961466e+00	2.790034471903994007e+00	2.605301529542126265e-02	9.337882939360957549e-03	2.606018176317686084e+04	6.917824149028980685e+01	3.534865463295754906e-01	-7.479848334012618727e-01	8.273052939721372567e-01	-1.129320110755158479e+00	3.534865463295731036e-01	-7.479848334012614286e-01	8.273052939721359245e-01	-1.129320110755160922e+00
3.421309872922777710e+11	1.669813144146791384e+00	8.328584201531159803e-03	1.194408134611843142e+00	2.788206571050591442e+00	2.781435874370008152e-02	9.975716660483902737e-03	2.894845927567723265e+04	6.989333783311926140e+01	-1.892841828881571334e-02	-7.944609274400035170e-01	7.946863848385392615e-01	-1.594617306856008332e+00	-1.892841828881411045e-02	-7.944609274400031840e-01	7.946863848385389284e-01	-1.594617306856006334e+00
3.519061583577714233e+11	1.670037261636736936e+00	8.529154100760315618e-03	1.258119776905850085e+00	2.788951708785456507e+00	2.848801031702300618e-02	1.021459433208654448e-02	2.645360294822053402e+04	6.928018263995465986e+01	-2.780631819983179764e-01	-6.930860642512184366e-01	7.467847250997262654e-01	-1.952333095953668218e+00	-2.780631819983204744e-01	-6.930860642512172154e-01	7.467847250997261543e-01	-1.952333095953671771e+00
3.616813294232650757e+11	1.670042110944407021e+00	8.799029634855636689e-03	1.333982191503515491e+00	2.788963229405136079e+00	2.938950005131340387e-02	1.053778685263697529e-02	2.825553363659235401e+04	6.972850697917299101e+01	-5.420162363274864115e-01	-5.734094826845037574e-01	7.890374105675369565e-01	-2.328057285998994530e+00	-5.420162363274825257e-01	-5.734094826845049786e-01	7.890374105675351801e-01	-2.328057285998989645e+00
3.714565004887587280e+11	1.669552991066635572e+00	8.766911248990262931e-03	1.365034833558868232e+00	2.787330331246701931e+00	2.927364579633485314e-02	1.050239559630576636e-02	3.085860545878632547e+04	7.032806705184215446e+01	-7.355008305312009664e-01	-2.675895642837811117e-01	7.826657310919332700e-01	-2.792659887487088266e+00	-7.355008305312012995e-01	-2.675895642837810007e-01	7.826657310919333810e-01	-2.792659887487088710e+00
3.812316715542523804e+11	1.669591924822336093e+00	9.077617454282855755e-03	1.450607809886367061e+00	2.787454792293306838e+00	3.031183359659389565e-02	1.087437675416275118e-02	2.890236198588863044e+04	6.988249549529790272e+01	-7.271383158656991030e-01	1.575332429113362673e-02	7.273089423527162589e-01	-3.163254089876230690e+00	-7.271383158656992141e-01	1.575332429113258589e-02	7.273089423527163699e-01	-3.163254089876228026e+00
3.910068426197460327e+11	1.669569187932892218e+00	9.563520541937042818e-03	1.567441401380364585e+00	2.787369812369741240e+00	3.193391844996272544e-02	1.145664931443504155e-02	3.224838527143669489e+04	7.062777325487417102e+01	-6.991282042284254761e-01	2.818862804734287852e-01	7.538170342110925848e-01	-3.524851882919735946e+00	-6.991282042284243659e-01	2.818862804734297844e-01	7.538170342110919186e-01	-3.524851882919736834e+00
