freq_roi_Hz	n_opt	k_opt	alpha_cm	eps_r	eps_i	loss_tan	DR	alpha_max	H_meas_real	H_meas_imag	H_meas_mag	H_meas_phase	H_model_real	H_model_imag	H_model_mag	H_model_phase
3.030303030303031616e+11	1.669547849037944287e+00	7.697583146479047671e-03	9.777540193095322074e-01	2.787330767440929336e+00	2.570296676998964913e-02	9.221355093635962355e-03	1.279853650365473368e+04	6.456009903893856006e+01	8.339899548961593467e-01	1.178060638498965307e-01	8.422692642780595929e-01	1.403275591351046125e-01	8.339899541426286644e-01	1.178060637315428150e-01	8.422692635153821161e-01	1.403275591210997042e-01
3.128054740957968140e+11	1.670442966179433109e+00	7.895340442803882794e-03	1.035224083748304880e+00	2.790317366857634873e+00	2.637743181654751343e-02	9.453201320340462108e-03	1.556644782113134170e+04	6.589666584490122148e+01	7.615336508975104612e-01	-2.826423375917332392e-01	8.122931690274212135e-01	-3.553900507844836021e-01	7.615336508975103502e-01	-2.826423375917346825e-01	8.122931690274216576e-01	-3.553900507844853229e-01
3.225806451612904663e+11	1.670756369685372666e+00	7.238392543966398578e-03	9.787450954970421391e-01	2.791374452517625393e+00	2.418718089822993744e-02	8.664971794240928712e-03	1.408947927574106143e+04	6.521612210943541754e+01	5.893871637867598157e-01	-5.046650954372737807e-01	7.759278880084884422e-01	-7.081136263681724330e-01	5.893871637868248747e-01	-5.046650954373267384e-01	7.759278880085724861e-01	-7.081136263681697685e-01
3.323558162267841187e+11	1.670144886235356951e+00	7.309105048082722468e-03	1.018255227014989162e+00	2.789330518001509773e+00	2.441452883802478283e-02	8.752827490489447151e-03	1.528311087841508925e+04	6.577126418075489767e+01	3.983067804693261604e-01	-7.276107371813784752e-01	8.294972430511562411e-01	-1.069938077598101556e+00	3.983067794552625496e-01	-7.276107364101001007e-01	8.294972418876818132e-01	-1.069938078223969358e+00
3.421309872922777710e+11	1.669139356227988813e+00	7.817608581911853968e-03	1.121128760603782748e+00	2.785965075505245192e+00	2.609735631130950459e-02	9.367438429419885568e-03	1.697695422426422374e+04	6.648880137535360291e+01	3.397973727626049656e-02	-8.126066476625229962e-01	8.133167810703819667e-01	-1.529004947189502195e+00	3.397973727625654833e-02	-8.126066476625217749e-01	8.133167810703805234e-01	-1.529004947189507080e+00
3.519061583577714233e+11	1.669652618531711319e+00	8.468985659767029259e-03	1.249244441243606785e+00	2.787668142851694952e+00	2.828052816627506585e-02	1.014486901491258412e-02	1.551383450296923183e+04	6.587355328805932686e+01	-2.456173551377727471e-01	-7.063162168049861300e-01	7.478037732363904677e-01	-1.905460097072110504e+00	-2.456173551377777431e-01	-7.063162168049991196e-01	7.478037732364044565e-01	-1.905460097072111170e+00
3.616813294232650757e+11	1.670199127523036564e+00	8.399396601757948971e-03	1.273395584637564637e+00	2.789494575715438796e+00	2.805732975195216958e-02	1.005821269423194143e-02	1.657058486472296863e+04	6.632340790115968332e+01	-5.111045856995307668e-01	-6.013845044071375323e-01	7.892345783505100298e-01	-2.275220646478088415e+00	-5.111045857139734361e-01	-6.013845040115461948e-01	7.892345780584285597e-01	-2.275220646816629166e+00
3.714565004887587280e+11	1.669275993240848299e+00	8.294912441906353295e-03	1.291543178999005281e+00	2.786413536037801730e+00	2.769299641061819667e-02	9.938580922197508272e-03	1.809716804992860853e+04	6.692501446347854710e+01	-7.323172832466788851e-01	-3.214465625805143500e-01	7.997602740425564516e-01	-2.727970515497338155e+00	-7.323172832466459115e-01	-3.214465625804991400e-01	7.997602740425200363e-01	-2.727970515497339044e+00
3.812316715542523804e+11	1.669235237545428019e+00	8.655960884806862196e-03	1.383226879168341972e+00	2.786271352604502205e+00	2.889766984746903328e-02	1.037144850247861613e-02	1.694992026120763694e+04	6.647792202917703719e+01	-7.360040448980021965e-01	-2.134894254418833598e-02	7.363136094450348779e-01	-3.112594228667405094e+00	-7.360040448980045280e-01	-2.134894254418595247e-02	7.363136094450372093e-01	-3.112594228667408647e+00
3.910068426197460327e+11	1.669465407637906962e+00	9.060658608562560667e-03	1.485023361904946437e+00	2.787032651765182223e+00	3.025291223482361180e-02	1.085488259911944996e-02	1.891221067573757318e+04	6.722574365931880891e+01	-7.162188078666347213e-01	2.397281996805918358e-01	7.552741161088476485e-01	-3.464584963448205546e+00	-7.162188078423424864e-01	2.397281997127593822e-01	7.552741160960216860e-01	-3.464584963498801518e+00
